"App name","Date","Time","Duration"
"App Usage","11/13/18","11:10:05 PM","0:00:00"
"Gmail","11/13/18","11:09:15 PM","0:00:50"
"App Usage","11/13/18","11:08:16 PM","0:00:54"
"Package installer","11/13/18","11:08:15 PM","0:00:01"
"Gallery Lock","11/13/18","11:08:12 PM","0:00:04"
"App Usage","11/13/18","11:08:01 PM","0:00:11"
"Screen on (unlocked)","11/13/18","11:07:58 PM","0:00:03"
"Lenovo Launcher","11/13/18","11:07:58 PM","0:00:01"
"Screen on (locked)","11/13/18","11:07:56 PM","0:00:02"
"Screen off (locked)","11/13/18","11:02:05 PM","0:05:51"
"Screen on (unlocked)","11/13/18","11:02:00 PM","0:00:05"
"Lenovo Launcher","11/13/18","11:01:59 PM","0:00:00"
"Screen on (locked)","11/13/18","11:01:57 PM","0:00:02"
"Screen off (locked)","11/13/18","10:56:29 PM","0:05:28"
"Lenovo Launcher","11/13/18","10:56:18 PM","0:00:11"
"Instagram","11/13/18","10:40:19 PM","0:15:59"
"Lenovo Launcher","11/13/18","10:40:16 PM","0:00:03"
"System UI","11/13/18","10:40:14 PM","0:00:02"
"WhatsApp","11/13/18","10:37:59 PM","0:02:15"
"Lenovo Launcher","11/13/18","10:37:16 PM","0:00:43"
"Screen on (locked)","11/13/18","10:37:13 PM","0:00:04"
"Screen off (locked)","11/13/18","10:14:06 PM","0:23:07"
"InCallUI","11/13/18","10:12:32 PM","0:01:33"
"Screen on (locked)","11/13/18","10:12:32 PM","0:00:01"
"Screen off (locked)","11/13/18","9:10:59 PM","1:01:32"
"Lenovo Launcher","11/13/18","9:10:56 PM","0:00:04"
"System UI","11/13/18","9:10:55 PM","0:00:01"
"Firefox","11/13/18","9:10:49 PM","0:00:06"
"Lenovo Launcher","11/13/18","9:10:46 PM","0:00:03"
"System UI","11/13/18","9:10:44 PM","0:00:01"
"Instagram","11/13/18","9:02:51 PM","0:07:53"
"System UI","11/13/18","9:02:46 PM","0:00:05"
"WhatsApp","11/13/18","9:01:52 PM","0:00:54"
"Instagram","11/13/18","8:38:52 PM","0:23:00"
"System UI","11/13/18","8:38:50 PM","0:00:01"
"Chrome","11/13/18","8:37:49 PM","0:01:01"
"Lenovo Launcher","11/13/18","8:37:47 PM","0:00:02"
"Instagram","11/13/18","8:37:41 PM","0:00:06"
"System UI","11/13/18","8:37:39 PM","0:00:01"
"YouTube","11/13/18","8:36:55 PM","0:00:44"
"Lenovo Launcher","11/13/18","8:36:53 PM","0:00:03"
"Instagram","11/13/18","8:30:53 PM","0:05:59"
"Lenovo Launcher","11/13/18","8:30:50 PM","0:00:04"
"System UI","11/13/18","8:30:48 PM","0:00:02"
"Firefox","11/13/18","8:30:40 PM","0:00:08"
"Lenovo Launcher","11/13/18","8:30:31 PM","0:00:09"
"System UI","11/13/18","8:30:29 PM","0:00:02"
"Instagram","11/13/18","8:29:57 PM","0:00:32"
"Lenovo Launcher","11/13/18","8:29:54 PM","0:00:03"
"WhatsApp","11/13/18","8:27:16 PM","0:02:38"
"Lenovo Launcher","11/13/18","8:27:15 PM","0:00:01"
"Screen on (unlocked)","11/13/18","8:27:12 PM","0:00:03"
"Screen on (locked)","11/13/18","8:27:09 PM","0:00:02"
"Screen off (locked)","11/13/18","7:54:40 PM","0:32:29"
"Lenovo Launcher","11/13/18","7:54:03 PM","0:00:37"
"System UI","11/13/18","7:54:02 PM","0:00:01"
"Instagram","11/13/18","7:46:12 PM","0:07:50"
"Lenovo Launcher","11/13/18","7:46:10 PM","0:00:02"
"System UI","11/13/18","7:46:09 PM","0:00:01"
"WhatsApp","11/13/18","7:45:55 PM","0:00:14"
"Lenovo Launcher","11/13/18","7:45:43 PM","0:00:11"
"Screen on (unlocked)","11/13/18","7:45:40 PM","0:00:03"
"Screen on (locked)","11/13/18","7:45:38 PM","0:00:03"
