"App name","Date","Time","Duration"
"App Usage","14/11/2018","5:49:40 pm","0:00:00"
"Gmail","14/11/2018","5:47:49 pm","0:01:51"
"App Usage","14/11/2018","5:45:25 pm","0:02:09"
"Settings","14/11/2018","5:45:20 pm","0:00:04"
"App Usage","14/11/2018","5:45:14 pm","0:00:06"
"System launcher","14/11/2018","5:45:10 pm","0:00:04"
"System UI","14/11/2018","5:45:10 pm","0:00:00"
"System launcher","14/11/2018","5:40:24 pm","0:04:46"
"System UI","14/11/2018","5:40:21 pm","0:00:03"
"WhatsApp","14/11/2018","5:39:34 pm","0:00:47"
"Chrome","14/11/2018","5:39:10 pm","0:00:24"
"WhatsApp","14/11/2018","5:38:54 pm","0:00:15"
"System launcher","14/11/2018","5:38:54 pm","0:00:00"
"Screen on (unlocked)","14/11/2018","5:38:53 pm","0:00:01"
"Screen off (locked)","14/11/2018","5:17:16 pm","0:21:38"
"System launcher","14/11/2018","5:17:15 pm","0:00:01"
"System UI","14/11/2018","5:17:13 pm","0:00:01"
"System launcher","14/11/2018","5:17:13 pm","0:00:00"
"Instagram","14/11/2018","5:15:04 pm","0:02:09"
"Screen on (unlocked)","14/11/2018","5:15:03 pm","0:00:01"
"Screen off (locked)","14/11/2018","5:14:20 pm","0:00:43"
"Instagram","14/11/2018","5:13:36 pm","0:00:44"
"System UI","14/11/2018","5:13:35 pm","0:00:01"
"System launcher","14/11/2018","5:13:35 pm","0:00:00"
"Instagram","14/11/2018","5:13:35 pm","0:00:01"
"WhatsApp","14/11/2018","5:12:51 pm","0:00:44"
"Instagram","14/11/2018","5:12:50 pm","0:00:00"
"Screen on (unlocked)","14/11/2018","5:12:50 pm","0:00:01"
"Screen off (locked)","14/11/2018","4:59:45 pm","0:13:05"
"Instagram","14/11/2018","4:53:50 pm","0:05:54"
"System UI","14/11/2018","4:53:49 pm","0:00:01"
"System launcher","14/11/2018","4:53:49 pm","0:00:00"
"hike","14/11/2018","4:53:20 pm","0:00:29"
"Instagram","14/11/2018","4:50:40 pm","0:02:40"
"System launcher","14/11/2018","4:50:32 pm","0:00:09"
"System UI","14/11/2018","4:50:31 pm","0:00:01"
"WhatsApp","14/11/2018","4:48:10 pm","0:02:21"
"Screen on (unlocked)","14/11/2018","4:48:09 pm","0:00:01"
"Screen off (locked)","14/11/2018","4:47:25 pm","0:00:44"
"WhatsApp","14/11/2018","4:47:25 pm","0:00:00"
"InCallUI","14/11/2018","4:46:58 pm","0:00:27"
"WhatsApp","14/11/2018","3:22:29 pm","1:24:29"
"Truecaller","14/11/2018","3:22:28 pm","0:00:00"
"Screen on (unlocked)","14/11/2018","3:22:28 pm","0:00:01"
