"App name","Date","Time","Duration"
"Chrome","11/13/18","1:11:40 PM","0:06:11"
"Screen on (unlocked)","11/13/18","1:11:40 PM","0:00:01"
"Screen off (locked)","11/13/18","12:56:35 PM","0:15:05"
"Recorder","11/13/18","12:56:23 PM","0:00:13"
"Screen on (unlocked)","11/13/18","12:56:22 PM","0:00:01"
"Screen off (locked)","11/13/18","12:55:07 PM","0:01:15"
"Psych!","11/13/18","12:26:10 PM","0:28:57"
"Screen on (unlocked)","11/13/18","12:26:09 PM","0:00:01"
"Screen off (locked)","11/13/18","12:12:20 PM","0:13:49"
"Screen on (unlocked)","11/13/18","12:12:17 PM","0:00:01"
"Screen off (locked)","11/13/18","12:11:19 PM","0:00:59"
"Google","11/13/18","12:11:11 PM","0:00:07"
"Drive","11/13/18","12:11:08 PM","0:00:04"
"Screen on (unlocked)","11/13/18","12:11:07 PM","0:00:01"
"Screen off (locked)","11/13/18","12:07:23 PM","0:03:44"
"Albums","11/13/18","12:07:11 PM","0:00:12"
"Screen on (unlocked)","11/13/18","12:07:10 PM","0:00:01"
"Screen off (locked)","11/13/18","11:29:41 AM","0:37:29"
"JioTV","11/13/18","11:18:16 AM","0:11:26"
"Screen on (unlocked)","11/13/18","11:18:15 AM","0:00:01"
"Screen off (locked)","11/13/18","11:08:35 AM","0:09:40"
"Paytm","11/13/18","11:08:31 AM","0:00:04"
"Screen on (unlocked)","11/13/18","11:08:31 AM","0:00:01"
"Screen off (locked)","11/13/18","11:08:06 AM","0:00:25"
"Package installer","11/13/18","11:08:06 AM","0:00:00"
"Screen on (unlocked)","11/13/18","11:08:05 AM","0:00:01"
"Screen off (locked)","11/13/18","11:07:51 AM","0:00:14"
"Contacts","11/13/18","11:07:47 AM","0:00:04"
"Screen on (unlocked)","11/13/18","11:07:47 AM","0:00:01"
"Screen off (locked)","11/13/18","9:01:31 AM","2:06:16"
"Seekers Notes: Hidden Mystery","11/13/18","9:00:01 AM","0:01:30"
"Screen on (unlocked)","11/13/18","9:00:00 AM","0:00:01"
"Screen off (locked)","11/13/18","8:59:48 AM","0:00:12"
"DAWebmail","11/13/18","8:59:45 AM","0:00:03"
"Screen on (unlocked)","11/13/18","8:59:45 AM","0:00:01"
"Screen off (locked)","11/13/18","8:59:43 AM","0:00:02"
"File Manager","11/13/18","8:59:39 AM","0:00:04"
"Screen on (unlocked)","11/13/18","8:59:39 AM","0:00:01"
"Screen off (locked)","11/13/18","8:07:22 AM","0:52:17"
"Clock","11/13/18","8:07:15 AM","0:00:06"
"Screen on (unlocked)","11/13/18","8:07:15 AM","0:00:01"
"Screen off (locked)","11/13/18","12:09:54 AM","7:57:21"
"Camera","11/13/18","12:09:40 AM","0:00:14"
"Screen on (unlocked)","11/13/18","12:09:40 AM","0:00:01"
"Screen off (locked)","11/12/18","10:19:24 PM","1:50:15"
""
"Activity history, November 13, 2018"
"Created by App Usage on Tuesday, November 13, 2018, 7:38 PM"
