"App name","Date","Time","Duration"
"App Usage","11/13/18","7:38:10 PM","0:00:00"
"Gmail","11/13/18","7:37:35 PM","0:00:35"
"App Usage","11/13/18","7:37:19 PM","0:00:14"
"Package installer","11/13/18","7:37:16 PM","0:00:03"
"App Usage","11/13/18","7:36:59 PM","0:00:17"
"FuntouchOS Launcher","11/13/18","7:36:54 PM","0:00:05"
"Screen on (unlocked)","11/13/18","7:36:54 PM","0:00:01"
"Screen off (locked)","11/13/18","7:35:52 PM","0:01:02"
"Google","11/13/18","7:35:48 PM","0:00:04"
"Screen on (unlocked)","11/13/18","7:35:48 PM","0:00:01"
"Screen off (locked)","11/13/18","7:30:33 PM","0:05:15"
"WhatsApp","11/13/18","7:29:36 PM","0:00:57"
"Screen on (unlocked)","11/13/18","7:29:35 PM","0:00:01"
"Screen off (locked)","11/13/18","7:00:05 PM","0:29:30"
"Phone","11/13/18","6:59:59 PM","0:00:06"
"Phone management","11/13/18","6:59:55 PM","0:00:03"
"Screen on (unlocked)","11/13/18","6:59:55 PM","0:00:01"
"Screen off (locked)","11/13/18","6:59:23 PM","0:00:32"
"Keep Notes","11/13/18","6:58:57 PM","0:00:26"
"Screen on (unlocked)","11/13/18","6:58:57 PM","0:00:01"
"Screen off (locked)","11/13/18","6:51:18 PM","0:07:39"
"Drive","11/13/18","6:51:13 PM","0:00:05"
"Screen on (unlocked)","11/13/18","6:51:12 PM","0:00:01"
"Screen off (locked)","11/13/18","5:48:59 PM","1:02:13"
"Wi-Fi","11/13/18","5:48:58 PM","0:00:01"
"Screen on (unlocked)","11/13/18","5:48:58 PM","0:00:01"
"Screen off (locked)","11/13/18","5:48:25 PM","0:00:32"
"Instagram","11/13/18","5:47:57 PM","0:00:29"
"Screen on (unlocked)","11/13/18","5:47:56 PM","0:00:01"
"Screen off (locked)","11/13/18","5:07:17 PM","0:40:39"
"Snake VS Block","11/13/18","5:06:12 PM","0:01:04"
"Google Play Store","11/13/18","5:05:41 PM","0:00:31"
"Screen on (unlocked)","11/13/18","5:05:41 PM","0:00:01"
"Screen off (locked)","11/13/18","5:04:55 PM","0:00:46"
"Screen on (unlocked)","11/13/18","5:04:52 PM","0:00:01"
"Screen off (locked)","11/13/18","5:03:14 PM","0:01:38"
"Hello Cats","11/13/18","5:01:15 PM","0:02:00"
"Screen on (unlocked)","11/13/18","5:01:14 PM","0:00:01"
"Screen off (locked)","11/13/18","4:56:53 PM","0:04:21"
"Control Center","11/13/18","4:56:52 PM","0:00:01"
"Screen on (unlocked)","11/13/18","4:56:51 PM","0:00:01"
"Screen off (locked)","11/13/18","3:54:32 PM","1:02:20"
"Settings","11/13/18","3:54:30 PM","0:00:02"
"Screen on (unlocked)","11/13/18","3:54:29 PM","0:00:01"
"Screen off (locked)","11/13/18","3:37:00 PM","0:17:29"
"Albums","11/13/18","3:36:59 PM","0:00:01"
"Screen on (unlocked)","11/13/18","3:36:58 PM","0:00:01"
"Screen off (locked)","11/13/18","2:44:02 PM","0:52:56"
"DAWebmail","11/13/18","2:43:59 PM","0:00:03"
"Screen on (unlocked)","11/13/18","2:43:58 PM","0:00:01"
"Screen off (locked)","11/13/18","2:43:47 PM","0:00:12"
"inshorts","11/13/18","2:43:44 PM","0:00:02"
"Screen on (unlocked)","11/13/18","2:43:44 PM","0:00:01"
"Screen off (locked)","11/13/18","2:39:39 PM","0:04:05"
"Saavn","11/13/18","2:39:07 PM","0:00:32"
"Screen on (unlocked)","11/13/18","2:39:06 PM","0:00:01"
"Screen off (locked)","11/13/18","2:11:59 PM","0:27:08"
"File Manager","11/13/18","2:11:47 PM","0:00:11"
"Screen on (unlocked)","11/13/18","2:11:47 PM","0:00:01"
"Screen off (locked)","11/13/18","2:11:25 PM","0:00:22"
"Truecaller","11/13/18","2:11:24 PM","0:00:01"
"Screen on (unlocked)","11/13/18","2:11:23 PM","0:00:01"
"Screen off (locked)","11/13/18","2:03:56 PM","0:07:27"
"Truecaller","11/13/18","2:03:55 PM","0:00:01"
"Phone management","11/13/18","2:03:55 PM","0:00:00"
"Screen on (unlocked)","11/13/18","2:03:54 PM","0:00:01"
"Screen off (locked)","11/13/18","2:00:57 PM","0:02:58"
"Instagram","11/13/18","2:00:42 PM","0:00:14"
"Screen on (unlocked)","11/13/18","2:00:42 PM","0:00:01"
"Screen off (locked)","11/13/18","2:00:38 PM","0:00:03"
"Control Center","11/13/18","2:00:35 PM","0:00:03"
"Screen on (unlocked)","11/13/18","2:00:34 PM","0:00:01"
"Screen off (locked)","11/13/18","2:00:34 PM","0:00:01"
"FuntouchOS Launcher","11/13/18","2:00:32 PM","0:00:01"
"Snapchat","11/13/18","1:56:57 PM","0:03:35"
"Screen on (unlocked)","11/13/18","1:56:57 PM","0:00:01"
"Screen off (locked)","11/13/18","1:50:53 PM","0:06:04"
"Phone","11/13/18","1:50:51 PM","0:00:02"
"Screen on (unlocked)","11/13/18","1:50:51 PM","0:00:01"
"Screen off (locked)","11/13/18","1:20:28 PM","0:30:22"
"WhatsApp","11/13/18","1:20:26 PM","0:00:02"
"Screen on (unlocked)","11/13/18","1:20:25 PM","0:00:01"
"Screen off (locked)","11/13/18","1:17:52 PM","0:02:33"
