"App name","Date","Time","Duration"
"App Usage","13/11/18","8:22:05 PM","0:00:00"
"System UI","13/11/18","8:22:04 PM","0:00:01"
"System launcher","13/11/18","8:21:49 PM","0:00:14"
"Gmail","13/11/18","8:21:46 PM","0:00:04"
"System UI","13/11/18","8:21:45 PM","0:00:01"
"System launcher","13/11/18","8:21:42 PM","0:00:02"
"InCallUI","13/11/18","8:21:35 PM","0:00:07"
"Gmail","13/11/18","8:20:56 PM","0:00:39"
"Security","13/11/18","8:20:49 PM","0:00:07"
"App Usage","13/11/18","8:20:04 PM","0:00:41"
"Package installer","13/11/18","8:19:57 PM","0:00:07"
"App Usage","13/11/18","8:17:53 PM","0:02:04"
"System launcher","13/11/18","8:17:48 PM","0:00:05"
"Swiggy","13/11/18","8:14:18 PM","0:03:30"
"System launcher","13/11/18","8:14:12 PM","0:00:06"
"Screen on (unlocked)","13/11/18","8:14:12 PM","0:00:01"
"Screen off (locked)","13/11/18","8:13:59 PM","0:00:13"
"System launcher","13/11/18","8:13:39 PM","0:00:20"
"Screen on (unlocked)","13/11/18","8:13:39 PM","0:00:01"
"Screen off (locked)","13/11/18","8:13:35 PM","0:00:04"
"System launcher","13/11/18","8:13:34 PM","0:00:01"
"Swiggy","13/11/18","8:12:53 PM","0:00:41"
"System launcher","13/11/18","8:12:41 PM","0:00:12"
"Camera","13/11/18","8:12:40 PM","0:00:01"
"System launcher","13/11/18","8:12:38 PM","0:00:02"
"Screen on (unlocked)","13/11/18","8:12:37 PM","0:00:01"
"Screen off (locked)","13/11/18","8:12:36 PM","0:00:01"
"System launcher","13/11/18","8:12:35 PM","0:00:01"
"Screen on (unlocked)","13/11/18","8:12:35 PM","0:00:01"
"Screen off (locked)","13/11/18","8:12:33 PM","0:00:01"
"System launcher","13/11/18","8:12:32 PM","0:00:01"
"Screen on (unlocked)","13/11/18","8:12:31 PM","0:00:01"
"Screen off (locked)","13/11/18","8:11:57 PM","0:00:34"
"System launcher","13/11/18","8:11:56 PM","0:00:01"
"Camera","13/11/18","8:11:37 PM","0:00:19"
"System launcher","13/11/18","8:11:36 PM","0:00:01"
"Xender","13/11/18","8:11:36 PM","0:00:01"
"Screen on (unlocked)","13/11/18","8:11:35 PM","0:00:01"
"Screen off (locked)","13/11/18","8:11:34 PM","0:00:00"
"Xender","13/11/18","8:11:29 PM","0:00:05"
"System launcher","13/11/18","8:11:25 PM","0:00:04"
"Camera","13/11/18","8:11:15 PM","0:00:11"
"Screen on (unlocked)","13/11/18","8:11:14 PM","0:00:01"
"Screen off (locked)","13/11/18","8:10:59 PM","0:00:15"
"Camera","13/11/18","8:10:50 PM","0:00:09"
"Screen on (unlocked)","13/11/18","8:10:49 PM","0:00:01"
"Screen off (locked)","13/11/18","8:10:34 PM","0:00:15"
"Camera","13/11/18","8:10:33 PM","0:00:01"
"Screen on (unlocked)","13/11/18","8:10:32 PM","0:00:01"
"Screen off (locked)","13/11/18","8:10:31 PM","0:00:01"
"Camera","13/11/18","8:10:26 PM","0:00:06"
"Screen on (unlocked)","13/11/18","8:10:25 PM","0:00:01"
"Screen off (locked)","13/11/18","8:10:13 PM","0:00:12"
"Camera","13/11/18","8:10:04 PM","0:00:09"
"System launcher","13/11/18","8:10:03 PM","0:00:01"
"Screen on (unlocked)","13/11/18","8:10:02 PM","0:00:01"
"Screen off (locked)","13/11/18","8:09:41 PM","0:00:21"
"System launcher","13/11/18","8:09:41 PM","0:00:01"
"Camera","13/11/18","8:09:18 PM","0:00:22"
"System launcher","13/11/18","8:09:18 PM","0:00:01"
"WhatsApp","13/11/18","8:09:16 PM","0:00:02"
"Security","13/11/18","8:09:14 PM","0:00:02"
"System launcher","13/11/18","8:09:07 PM","0:00:07"
"Screen on (unlocked)","13/11/18","8:09:07 PM","0:00:01"
"Screen off (locked)","13/11/18","8:08:26 PM","0:00:41"
"System launcher","13/11/18","8:08:09 PM","0:00:16"
"Screen on (unlocked)","13/11/18","8:08:09 PM","0:00:01"
"Screen off (locked)","13/11/18","8:04:51 PM","0:03:18"
"System launcher","13/11/18","8:04:50 PM","0:00:01"
"InCallUI","13/11/18","8:03:57 PM","0:00:52"
"Call Management","13/11/18","8:03:57 PM","0:00:00"
"Contacts and dialer","13/11/18","8:03:51 PM","0:00:06"
"System launcher","13/11/18","8:03:50 PM","0:00:01"
"WhatsApp","13/11/18","8:01:34 PM","0:02:16"
"Security","13/11/18","8:01:32 PM","0:00:02"
"System launcher","13/11/18","8:01:29 PM","0:00:03"
"Swiggy","13/11/18","8:01:26 PM","0:00:03"
"System UI","13/11/18","8:01:25 PM","0:00:01"
"System launcher","13/11/18","8:01:24 PM","0:00:01"
"Swiggy","13/11/18","7:58:02 PM","0:03:22"
"System launcher","13/11/18","7:57:53 PM","0:00:09"
"MYBYK","13/11/18","7:57:24 PM","0:00:29"
"System UI","13/11/18","7:57:23 PM","0:00:01"
"Contacts and dialer","13/11/18","7:57:22 PM","0:00:00"
"InCallUI","13/11/18","7:56:43 PM","0:00:39"
"Contacts and dialer","13/11/18","7:56:43 PM","0:00:00"
