"App name","Date","Time","Duration"
"App Usage","13/11/2018","7:29:10 pm","0:00:05"
"System launcher","13/11/2018","7:29:04 pm","0:00:06"
"Gmail","13/11/2018","7:28:55 pm","0:00:09"
"System UI","13/11/2018","7:28:51 pm","0:00:04"
"Gmail","13/11/2018","7:28:44 pm","0:00:07"
"App Usage","13/11/2018","7:28:41 pm","0:00:01"
"System launcher","13/11/2018","7:28:40 pm","0:00:01"
"WhatsApp","13/11/2018","7:28:38 pm","0:00:02"
"System UI","13/11/2018","7:28:33 pm","0:00:04"
"System launcher","13/11/2018","7:28:33 pm","0:00:01"
"Gmail","13/11/2018","7:28:21 pm","0:00:11"
"WhatsApp","13/11/2018","7:28:14 pm","0:00:06"
"Security","13/11/2018","7:28:13 pm","0:00:01"
"System launcher","13/11/2018","7:28:12 pm","0:00:01"
"Gmail","13/11/2018","7:28:02 pm","0:00:11"
"App Usage","13/11/2018","7:27:13 pm","0:00:48"
"App Usage","13/11/2018","7:26:39 pm","0:00:13"
"Package installer","13/11/2018","7:26:37 pm","0:00:02"
"App Usage","13/11/2018","7:26:21 pm","0:00:16"
"Screen off (locked)","11/11/2018","11:59:19 pm","43:27:02"
"Instagram","11/11/2018","11:55:45 pm","0:03:34"
"Security","11/11/2018","11:55:43 pm","0:00:01"
"System launcher","11/11/2018","11:55:41 pm","0:00:02"
"Snapchat","11/11/2018","11:55:14 pm","0:00:27"
"System launcher","11/11/2018","11:55:10 pm","0:00:04"
"WhatsApp","11/11/2018","11:55:08 pm","0:00:02"
"Drive","11/11/2018","11:54:41 pm","0:00:27"
"WhatsApp","11/11/2018","11:54:28 pm","0:00:12"
"System launcher","11/11/2018","11:54:27 pm","0:00:01"
"WhatsApp","11/11/2018","11:53:37 pm","0:00:50"
"Security","11/11/2018","11:53:36 pm","0:00:01"
"System launcher","11/11/2018","11:53:35 pm","0:00:01"
"Splitwise","11/11/2018","11:53:33 pm","0:00:02"
"Screen on (unlocked)","11/11/2018","11:53:31 pm","0:00:02"
"Screen on (locked)","11/11/2018","11:53:03 pm","0:00:28"
"Screen off (locked)","11/11/2018","11:52:22 pm","0:00:42"
"Screen on (locked)","11/11/2018","11:52:11 pm","0:00:10"
"Screen off (locked)","11/11/2018","11:19:42 pm","0:32:29"
"Screen on (locked)","11/11/2018","11:19:24 pm","0:00:18"
"Screen off (locked)","11/11/2018","10:57:51 pm","0:21:33"
"Screen on (locked)","11/11/2018","10:57:40 pm","0:00:11"
"Screen off (locked)","11/11/2018","10:55:43 pm","0:01:57"
"Screen on (locked)","11/11/2018","10:55:33 pm","0:00:10"
"Screen off (locked)","11/11/2018","10:50:59 pm","0:04:34"
"Screen on (locked)","11/11/2018","10:50:40 pm","0:00:19"
"Screen off (locked)","11/11/2018","10:50:35 pm","0:00:05"
"Screen on (locked)","11/11/2018","10:50:27 pm","0:00:08"
"Screen off (locked)","11/11/2018","10:44:31 pm","0:05:56"
"Screen on (locked)","11/11/2018","10:44:09 pm","0:00:22"
"Screen off (locked)","11/11/2018","10:09:03 pm","0:35:06"
"Screen on (locked)","11/11/2018","10:08:44 pm","0:00:19"
"Screen off (locked)","11/11/2018","10:08:05 pm","0:00:39"
"Screen on (locked)","11/11/2018","10:08:03 pm","0:00:02"
"Screen off (locked)","11/11/2018","10:08:00 pm","0:00:03"
"Splitwise","11/11/2018","10:07:45 pm","0:00:14"
"System launcher","11/11/2018","10:07:44 pm","0:00:01"
"App Usage","11/11/2018","10:05:21 pm","0:02:23"
"Settings","11/11/2018","10:05:17 pm","0:00:04"
"App Usage","11/11/2018","10:05:14 pm","0:00:03"
"Package installer","11/11/2018","10:05:14 pm","0:00:01"
"App Usage","11/11/2018","10:04:58 pm","0:00:16"
"System launcher","11/11/2018","10:04:34 pm","0:00:24"
"Contacts and dialer","11/11/2018","10:04:30 pm","0:00:03"
"Screen on (unlocked)","11/11/2018","10:04:30 pm","0:00:01"
"Screen off (locked)","11/11/2018","10:03:40 pm","0:00:50"
"Contacts and dialer","11/11/2018","10:03:40 pm","0:00:00"
"System launcher","11/11/2018","10:03:37 pm","0:00:02"
"System UI","11/11/2018","10:03:32 pm","0:00:05"
"System launcher","11/11/2018","10:03:31 pm","0:00:01"
"WhatsApp","11/11/2018","10:03:15 pm","0:00:16"
"Security","11/11/2018","10:03:14 pm","0:00:01"
"System launcher","11/11/2018","10:03:04 pm","0:00:10"
"System UI","11/11/2018","10:02:58 pm","0:00:07"
"System launcher","11/11/2018","10:02:57 pm","0:00:01"
"Gallery","11/11/2018","10:02:33 pm","0:00:24"
"Security","11/11/2018","10:02:33 pm","0:00:00"
"System launcher","11/11/2018","10:01:48 pm","0:00:44"
"System UI","11/11/2018","10:01:46 pm","0:00:02"
"System launcher","11/11/2018","10:01:46 pm","0:00:00"
"Snapchat","11/11/2018","10:00:21 pm","0:01:25"
"Security","11/11/2018","10:00:20 pm","0:00:01"
"System launcher","11/11/2018","10:00:19 pm","0:00:02"
"Drive","11/11/2018","9:55:49 pm","0:04:29"
"Screen on (unlocked)","11/11/2018","9:55:49 pm","0:00:01"
"Screen off (locked)","11/11/2018","9:49:25 pm","0:06:24"
"Drive","11/11/2018","9:41:21 pm","0:08:04"
"System UI","11/11/2018","9:41:20 pm","0:00:01"
"System launcher","11/11/2018","9:41:18 pm","0:00:02"
"Screen on (unlocked)","11/11/2018","9:41:17 pm","0:00:01"
"Screen off (locked)","11/11/2018","9:40:36 pm","0:00:41"
