"App name","Date","Time","Duration"
"App Usage","13/11/2018","7:29:20 pm","0:00:00"
"Gmail","13/11/2018","7:28:47 pm","0:00:33"
"App Usage","13/11/2018","7:28:09 pm","0:00:33"
"Home & app drawer","13/11/2018","7:28:06 pm","0:00:03"
"Gmail","13/11/2018","7:28:06 pm","0:00:01"
"Screen on (unlocked)","13/11/2018","7:28:03 pm","0:00:03"
"Home & app drawer","13/11/2018","7:28:03 pm","0:00:00"
"Screen on (locked)","13/11/2018","7:28:01 pm","0:00:02"
"Screen off (locked)","13/11/2018","7:27:25 pm","0:00:36"
"Home & app drawer","13/11/2018","7:27:23 pm","0:00:02"
"Lite","13/11/2018","7:26:55 pm","0:00:28"
"Home & app drawer","13/11/2018","7:26:50 pm","0:00:05"
"Screen on (unlocked)","13/11/2018","7:26:50 pm","0:00:00"
"Screen on (locked)","13/11/2018","7:26:47 pm","0:00:03"
"Screen off (locked)","13/11/2018","7:12:29 pm","0:14:18"
"Screen on (locked)","13/11/2018","7:12:19 pm","0:00:10"
"Screen off (locked)","13/11/2018","7:10:38 pm","0:01:40"
"Screen on (locked)","13/11/2018","7:10:35 pm","0:00:03"
"Screen off (locked)","13/11/2018","7:08:18 pm","0:02:17"
"Screen on (locked)","13/11/2018","7:08:15 pm","0:00:02"
"Screen off (locked)","13/11/2018","7:08:05 pm","0:00:11"
"Screen on (locked)","13/11/2018","7:08:03 pm","0:00:02"
"Screen off (locked)","13/11/2018","7:07:54 pm","0:00:08"
"Screen on (locked)","13/11/2018","7:07:50 pm","0:00:05"
"Screen off (locked)","13/11/2018","7:07:29 pm","0:00:20"
"Screen on (locked)","13/11/2018","7:07:24 pm","0:00:05"
"Home & app drawer","13/11/2018","7:07:22 pm","0:00:02"
"WhatsApp","13/11/2018","7:06:57 pm","0:00:25"
"Home & app drawer","13/11/2018","7:06:54 pm","0:00:03"
"Screen on (unlocked)","13/11/2018","7:06:54 pm","0:00:00"
"Screen on (locked)","13/11/2018","7:06:47 pm","0:00:07"
"Screen off (locked)","13/11/2018","7:06:42 pm","0:00:04"
"Home & app drawer","13/11/2018","7:06:41 pm","0:00:02"
"WhatsApp","13/11/2018","7:06:10 pm","0:00:30"
"Home & app drawer","13/11/2018","7:06:07 pm","0:00:03"
"Screen on (unlocked)","13/11/2018","7:06:07 pm","0:00:00"
"Screen on (locked)","13/11/2018","7:06:05 pm","0:00:02"
"Screen off (locked)","13/11/2018","7:05:59 pm","0:00:06"
"Screen on (locked)","13/11/2018","7:05:52 pm","0:00:06"
"Screen off (locked)","13/11/2018","7:03:19 pm","0:02:33"
"Screen on (locked)","13/11/2018","7:03:17 pm","0:00:02"
"Home & app drawer","13/11/2018","7:03:15 pm","0:00:02"
"Screen on (unlocked)","13/11/2018","7:03:12 pm","0:00:03"
"WhatsApp","13/11/2018","7:03:11 pm","0:00:01"
"Call screen","13/11/2018","7:02:49 pm","0:00:23"
"Screen on (locked)","13/11/2018","7:02:48 pm","0:00:01"
"Screen off (locked)","13/11/2018","7:00:40 pm","0:02:08"
"Home & app drawer","13/11/2018","7:00:38 pm","0:00:02"
"WhatsApp","13/11/2018","7:00:34 pm","0:00:04"
"Screen on (unlocked)","13/11/2018","7:00:32 pm","0:00:02"
"Screen on (locked)","13/11/2018","7:00:17 pm","0:00:15"
"Screen off (locked)","13/11/2018","6:58:24 pm","0:01:53"
"Screen on (locked)","13/11/2018","6:58:21 pm","0:00:03"
"Screen off (locked)","13/11/2018","6:53:59 pm","0:04:23"
"Screen on (locked)","13/11/2018","6:53:55 pm","0:00:04"
"Screen off (locked)","13/11/2018","6:48:52 pm","0:05:03"
"Screen on (locked)","13/11/2018","6:48:51 pm","0:00:02"
"Screen off (locked)","13/11/2018","6:47:32 pm","0:01:19"
"Call screen","13/11/2018","6:46:47 pm","0:00:44"
"Screen on (locked)","13/11/2018","6:46:46 pm","0:00:01"
"Screen off (locked)","13/11/2018","6:46:46 pm","0:00:01"
"Call screen","13/11/2018","6:44:19 pm","0:02:27"
"Screen on (locked)","13/11/2018","6:44:18 pm","0:00:01"
"Screen off (locked)","13/11/2018","6:39:21 pm","0:04:58"
"Screen on (locked)","13/11/2018","6:39:16 pm","0:00:05"
"Screen off (locked)","13/11/2018","6:38:13 pm","0:01:03"
"Contacts","13/11/2018","6:37:59 pm","0:00:15"
"Truecaller","13/11/2018","6:37:56 pm","0:00:03"
"Call screen","13/11/2018","6:37:34 pm","0:00:22"
"Screen on (unlocked)","13/11/2018","6:37:31 pm","0:00:03"
"Screen on (locked)","13/11/2018","6:37:27 pm","0:00:04"
"Screen off (locked)","13/11/2018","6:34:29 pm","0:02:58"
"Screen on (locked)","13/11/2018","6:34:18 pm","0:00:11"
"Screen off (locked)","13/11/2018","6:16:14 pm","0:18:04"
"Call screen","13/11/2018","6:15:36 pm","0:00:38"
"Screen on (locked)","13/11/2018","6:15:35 pm","0:00:01"
"Screen off (locked)","13/11/2018","6:03:21 pm","0:12:14"
"Screen on (locked)","13/11/2018","6:03:19 pm","0:00:02"
"Screen off (locked)","13/11/2018","6:01:04 pm","0:02:15"
"Home & app drawer","13/11/2018","6:00:32 pm","0:00:32"
"Call screen","13/11/2018","6:00:18 pm","0:00:14"
"Screen on (locked)","13/11/2018","6:00:17 pm","0:00:01"
"Screen off (locked)","13/11/2018","5:44:19 pm","0:15:58"
"Screen on (locked)","13/11/2018","5:44:17 pm","0:00:02"
"Screen off (locked)","13/11/2018","5:42:02 pm","0:02:15"
"Screen on (locked)","13/11/2018","5:42:00 pm","0:00:02"
"Screen off (locked)","13/11/2018","5:41:21 pm","0:00:39"
"Screen on (locked)","13/11/2018","5:41:10 pm","0:00:11"
"Screen off (locked)","13/11/2018","5:40:51 pm","0:00:18"
"Screen on (locked)","13/11/2018","5:40:47 pm","0:00:05"
"Screen off (locked)","13/11/2018","5:40:32 pm","0:00:15"
"Contacts","13/11/2018","5:40:29 pm","0:00:03"
"Call screen","13/11/2018","5:39:56 pm","0:00:33"
"Call management","13/11/2018","5:39:55 pm","0:00:01"
"Contacts","13/11/2018","5:39:51 pm","0:00:04"
"Screen on (unlocked)","13/11/2018","5:39:51 pm","0:00:01"
"Home & app drawer","13/11/2018","5:39:51 pm","0:00:00"
"Screen on (locked)","13/11/2018","5:39:45 pm","0:00:06"
"Screen off (locked)","13/11/2018","5:38:33 pm","0:01:13"
"Screen on (locked)","13/11/2018","5:38:27 pm","0:00:05"
"Screen off (locked)","13/11/2018","5:38:12 pm","0:00:15"
"Home & app drawer","13/11/2018","5:38:10 pm","0:00:02"
"WhatsApp","13/11/2018","5:38:05 pm","0:00:06"
"Home & app drawer","13/11/2018","5:38:03 pm","0:00:01"
"WhatsApp","13/11/2018","5:37:37 pm","0:00:26"
"Screen on (unlocked)","13/11/2018","5:37:37 pm","0:00:00"
"Screen on (locked)","13/11/2018","5:37:35 pm","0:00:03"
"Screen off (locked)","13/11/2018","5:37:18 pm","0:00:16"
"Screen on (locked)","13/11/2018","5:37:12 pm","0:00:06"
"Screen off (locked)","13/11/2018","5:35:42 pm","0:01:30"
"Home & app drawer","13/11/2018","5:35:38 pm","0:00:04"
"WhatsApp","13/11/2018","5:35:11 pm","0:00:27"
"Screen on (unlocked)","13/11/2018","5:35:09 pm","0:00:02"
"Screen on (locked)","13/11/2018","5:35:06 pm","0:00:03"
"Screen off (locked)","13/11/2018","5:32:32 pm","0:02:34"
"Home & app drawer","13/11/2018","5:32:28 pm","0:00:04"
"Screen on (unlocked)","13/11/2018","5:32:27 pm","0:00:00"
"Screen on (locked)","13/11/2018","5:32:24 pm","0:00:03"
"Screen off (locked)","13/11/2018","5:28:39 pm","0:03:45"
"Home & app drawer","13/11/2018","5:28:35 pm","0:00:04"
"Chrome","13/11/2018","5:27:43 pm","0:00:52"
"Screen on (unlocked)","13/11/2018","5:27:37 pm","0:00:06"
"Gmail","13/11/2018","5:27:37 pm","0:00:01"
"Screen on (locked)","13/11/2018","5:27:27 pm","0:00:10"
"Screen off (locked)","13/11/2018","5:26:01 pm","0:01:26"
"Screen on (locked)","13/11/2018","5:25:54 pm","0:00:07"
"Screen off (locked)","13/11/2018","5:23:40 pm","0:02:15"
"Screen on (locked)","13/11/2018","5:23:37 pm","0:00:03"
"Screen off (locked)","13/11/2018","5:22:37 pm","0:00:59"
"Home & app drawer","13/11/2018","5:22:34 pm","0:00:03"
"System UI","13/11/2018","5:22:31 pm","0:00:03"
"Home & app drawer","13/11/2018","5:22:27 pm","0:00:04"
"WhatsApp","13/11/2018","5:21:50 pm","0:00:37"
"Home & app drawer","13/11/2018","5:21:48 pm","0:00:02"
"Instagram","13/11/2018","5:21:39 pm","0:00:09"
"System UI","13/11/2018","5:21:35 pm","0:00:04"
"WhatsApp","13/11/2018","5:19:33 pm","0:02:03"
"Screen on (unlocked)","13/11/2018","5:19:33 pm","0:00:00"
"Screen on (locked)","13/11/2018","5:19:23 pm","0:00:10"
"Screen off (locked)","13/11/2018","5:17:50 pm","0:01:33"
"Screen on (locked)","13/11/2018","5:17:47 pm","0:00:03"
"Screen off (locked)","13/11/2018","5:17:42 pm","0:00:05"
"Screen on (locked)","13/11/2018","5:17:36 pm","0:00:05"
"Screen off (locked)","13/11/2018","5:17:30 pm","0:00:06"
"Screen on (locked)","13/11/2018","5:17:04 pm","0:00:26"
"Screen off (locked)","13/11/2018","5:16:44 pm","0:00:20"
"Screen on (locked)","13/11/2018","5:16:30 pm","0:00:14"
"Screen off (locked)","13/11/2018","5:15:25 pm","0:01:05"
"Screen on (locked)","13/11/2018","5:15:19 pm","0:00:06"
"Screen off (locked)","13/11/2018","5:15:07 pm","0:00:12"
"Screen on (locked)","13/11/2018","5:15:04 pm","0:00:03"
"Screen off (locked)","13/11/2018","5:14:25 pm","0:00:39"
"Home & app drawer","13/11/2018","5:14:22 pm","0:00:03"
"WhatsApp","13/11/2018","5:14:10 pm","0:00:13"
"Screen on (unlocked)","13/11/2018","5:14:06 pm","0:00:03"
"Home & app drawer","13/11/2018","5:14:06 pm","0:00:00"
"Screen on (locked)","13/11/2018","5:14:04 pm","0:00:02"
"Screen off (locked)","13/11/2018","5:13:29 pm","0:00:35"
"Home & app drawer","13/11/2018","5:13:15 pm","0:00:14"
"Calculator","13/11/2018","5:12:54 pm","0:00:20"
"Home & app drawer","13/11/2018","5:12:46 pm","0:00:08"
"WhatsApp","13/11/2018","5:12:37 pm","0:00:09"
"Home & app drawer","13/11/2018","5:12:32 pm","0:00:05"
"Screen on (unlocked)","13/11/2018","5:12:29 pm","0:00:02"
"Screen on (locked)","13/11/2018","5:12:26 pm","0:00:04"
"Screen off (locked)","13/11/2018","5:11:54 pm","0:00:32"
"Screen on (locked)","13/11/2018","5:11:51 pm","0:00:03"
"Screen off (locked)","13/11/2018","5:11:40 pm","0:00:10"
"Screen on (locked)","13/11/2018","5:11:29 pm","0:00:11"
"Screen off (locked)","13/11/2018","5:09:18 pm","0:02:11"
"Home & app drawer","13/11/2018","5:09:15 pm","0:00:04"
"Instagram","13/11/2018","5:08:38 pm","0:00:37"
"Home & app drawer","13/11/2018","5:08:36 pm","0:00:02"
"WhatsApp","13/11/2018","5:07:56 pm","0:00:39"
"Home & app drawer","13/11/2018","5:07:54 pm","0:00:02"
"Screen on (unlocked)","13/11/2018","5:07:54 pm","0:00:00"
"Screen on (locked)","13/11/2018","5:07:51 pm","0:00:03"
"Screen off (locked)","13/11/2018","5:06:17 pm","0:01:34"
"Home & app drawer","13/11/2018","5:06:05 pm","0:00:13"
"WhatsApp","13/11/2018","5:05:00 pm","0:01:04"
"Drive","13/11/2018","5:04:23 pm","0:00:38"
"WhatsApp","13/11/2018","5:04:20 pm","0:00:03"
"Home & app drawer","13/11/2018","5:04:12 pm","0:00:08"
"Instagram","13/11/2018","5:03:25 pm","0:00:47"
"System UI","13/11/2018","5:03:23 pm","0:00:02"
"Cyberoam iAccess","13/11/2018","5:03:20 pm","0:00:03"
