"App name","Date","Time","Duration"
"InCallUI","10/11/2018","21:11:04","0:00:00"
"Screen on (unlocked)","10/11/2018","21:11:03","0:00:01"
"Screen off (locked)","10/11/2018","21:06:03","0:05:00"
"InCallUI","10/11/2018","21:06:03","0:00:01"
"Google","10/11/2018","21:05:44","0:00:19"
"Screen on (unlocked)","10/11/2018","21:05:43","0:00:01"
"Screen off (locked)","10/11/2018","21:05:42","0:00:01"
"Google","10/11/2018","21:05:42","0:00:00"
"InCallUI","10/11/2018","21:05:38","0:00:04"
"Screen on (unlocked)","10/11/2018","21:05:38","0:00:01"
"Screen off (locked)","10/11/2018","20:28:09","0:37:28"
"Contacts and dialer","10/11/2018","20:28:09","0:00:01"
"InCallUI","10/11/2018","20:27:26","0:00:43"
"Call Management","10/11/2018","20:27:26","0:00:00"
"Contacts and dialer","10/11/2018","20:27:25","0:00:01"
"Truecaller","10/11/2018","20:27:23","0:00:01"
"Screen on (unlocked)","10/11/2018","20:27:23","0:00:01"
"Screen off (locked)","10/11/2018","20:27:22","0:00:01"
"Truecaller","10/11/2018","20:27:22","0:00:00"
"InCallUI","10/11/2018","20:27:17","0:00:05"
"Screen on (unlocked)","10/11/2018","20:27:16","0:00:01"
"Screen off (locked)","10/11/2018","20:25:52","0:01:25"
"Contacts and dialer","10/11/2018","20:25:51","0:00:01"
"Truecaller","10/11/2018","20:25:49","0:00:02"
"InCallUI","10/11/2018","20:22:06","0:03:43"
"Call Management","10/11/2018","20:22:06","0:00:00"
"Truecaller","10/11/2018","20:22:06","0:00:00"
"Contacts and dialer","10/11/2018","20:22:05","0:00:01"
"InCallUI","10/11/2018","20:22:02","0:00:03"
"Call Management","10/11/2018","20:22:02","0:00:00"
"Contacts and dialer","10/11/2018","20:22:01","0:00:01"
"System launcher","10/11/2018","20:22:00","0:00:02"
"Contacts and dialer","10/11/2018","20:21:55","0:00:05"
"System launcher","10/11/2018","20:21:54","0:00:01"
"Instagram","10/11/2018","20:21:08","0:00:46"
"System launcher","10/11/2018","20:21:04","0:00:04"
"Screen on (unlocked)","10/11/2018","20:21:03","0:00:01"
"Screen off (locked)","10/11/2018","20:05:52","0:15:11"
"System launcher","10/11/2018","20:05:48","0:00:04"
"Instagram","10/11/2018","20:02:26","0:03:22"
"System launcher","10/11/2018","20:02:20","0:00:06"
"Screen on (unlocked)","10/11/2018","20:02:20","0:00:01"
"Screen off (locked)","10/11/2018","19:57:03","0:05:16"
"System launcher","10/11/2018","19:57:02","0:00:02"
"Contacts and dialer","10/11/2018","19:57:01","0:00:01"
"InCallUI","10/11/2018","19:33:09","0:23:52"
"Call Management","10/11/2018","19:33:09","0:00:00"
"Contacts and dialer","10/11/2018","19:33:07","0:00:02"
"Screen on (unlocked)","10/11/2018","19:33:07","0:00:01"
"Screen off (locked)","10/11/2018","19:32:11","0:00:56"
"Contacts and dialer","10/11/2018","19:32:10","0:00:00"
"InCallUI","10/11/2018","19:31:56","0:00:15"
"Screen on (unlocked)","10/11/2018","19:31:55","0:00:01"
"Screen off (locked)","10/11/2018","19:31:32","0:00:24"
"InCallUI","10/11/2018","19:25:35","0:05:57"
"Screen on (unlocked)","10/11/2018","19:25:34","0:00:01"
"Screen off (locked)","10/11/2018","19:18:53","0:06:40"
"Contacts and dialer","10/11/2018","19:18:53","0:00:00"
"InCallUI","10/11/2018","19:18:19","0:00:35"
"Call Management","10/11/2018","19:18:18","0:00:00"
"Contacts and dialer","10/11/2018","19:18:08","0:00:11"
"System launcher","10/11/2018","19:18:07","0:00:01"
"Screen on (unlocked)","10/11/2018","19:18:06","0:00:01"
"Screen off (locked)","10/11/2018","19:12:00","0:06:06"
"System launcher","10/11/2018","19:11:27","0:00:33"
"Screen on (unlocked)","10/11/2018","19:11:26","0:00:01"
"Screen off (locked)","10/11/2018","19:00:46","0:10:41"
"System launcher","10/11/2018","19:00:41","0:00:04"
"Instagram","10/11/2018","18:59:52","0:00:49"
"System launcher","10/11/2018","18:59:46","0:00:06"
"Screen on (unlocked)","10/11/2018","18:59:46","0:00:01"
"Screen off (locked)","10/11/2018","18:50:58","0:08:48"
"System launcher","10/11/2018","18:50:38","0:00:20"
"Screen on (unlocked)","10/11/2018","18:50:37","0:00:01"
"Screen off (locked)","10/11/2018","18:50:35","0:00:02"
"System launcher","10/11/2018","18:50:35","0:00:00"
"InCallUI","10/11/2018","18:48:37","0:01:58"
"Screen on (unlocked)","10/11/2018","18:48:36","0:00:01"
"Screen off (locked)","10/11/2018","18:46:30","0:02:06"
"System launcher","10/11/2018","18:46:28","0:00:02"
"Instagram","10/11/2018","18:45:39","0:00:50"
"System launcher","10/11/2018","18:45:37","0:00:02"
"Screen on (unlocked)","10/11/2018","18:45:36","0:00:01"
"Screen off (locked)","10/11/2018","18:44:43","0:00:53"
"System launcher","10/11/2018","18:44:41","0:00:02"
"Instagram","10/11/2018","18:40:35","0:04:06"
"System launcher","10/11/2018","18:40:32","0:00:04"
"Truecaller","10/11/2018","18:40:30","0:00:01"
"Screen on (unlocked)","10/11/2018","18:40:30","0:00:01"
"Screen off (locked)","10/11/2018","18:32:09","0:08:20"
"Truecaller","10/11/2018","18:32:09","0:00:00"
"InCallUI","10/11/2018","18:32:05","0:00:04"
"Screen on (unlocked)","10/11/2018","18:32:04","0:00:01"
"Screen off (locked)","10/11/2018","18:18:08","0:13:57"
"System launcher","10/11/2018","18:18:06","0:00:02"
"Screen on (unlocked)","10/11/2018","18:18:05","0:00:01"
"Screen off (locked)","10/11/2018","18:17:35","0:00:30"
"System launcher","10/11/2018","18:17:33","0:00:02"
"Screen on (unlocked)","10/11/2018","18:17:32","0:00:01"
"Screen off (locked)","10/11/2018","18:09:15","0:08:17"
"System launcher","10/11/2018","18:09:13","0:00:02"
"Instagram","10/11/2018","18:08:24","0:00:49"
"System launcher","10/11/2018","18:08:21","0:00:04"
"Screen on (unlocked)","10/11/2018","18:08:20","0:00:01"
"Screen off (locked)","10/11/2018","18:05:22","0:02:58"
"System launcher","10/11/2018","18:05:21","0:00:02"
"Instagram","10/11/2018","18:03:20","0:02:00"
"System launcher","10/11/2018","18:03:17","0:00:03"
"Gallery","10/11/2018","18:03:12","0:00:05"
"System launcher","10/11/2018","18:03:02","0:00:10"
"Screen on (unlocked)","10/11/2018","18:03:02","0:00:01"
"Screen off (locked)","10/11/2018","18:01:50","0:01:12"
"System launcher","10/11/2018","18:01:48","0:00:02"
"Instagram","10/11/2018","18:01:23","0:00:26"
"System launcher","10/11/2018","18:01:18","0:00:04"
"Screen on (unlocked)","10/11/2018","18:01:18","0:00:01"
"Screen off (locked)","10/11/2018","17:52:16","0:09:02"
"System launcher","10/11/2018","17:52:13","0:00:02"
"Score! Hero","10/11/2018","17:52:07","0:00:07"
"Score! Hero","10/11/2018","17:52:04","0:00:02"
"Score! Hero","10/11/2018","17:44:57","0:07:05"
"Score! Hero","10/11/2018","17:42:33","0:02:24"
"System launcher","10/11/2018","17:42:29","0:00:03"
"Instagram","10/11/2018","17:42:24","0:00:05"
"System launcher","10/11/2018","17:42:06","0:00:18"
"Google Play Store","10/11/2018","17:41:49","0:00:17"
"InCallUI","10/11/2018","17:40:53","0:00:56"
"Google Play Store","10/11/2018","17:40:38","0:00:14"
"System launcher","10/11/2018","17:40:36","0:00:02"
"InCallUI","10/11/2018","17:40:34","0:00:02"
"Contacts and dialer","10/11/2018","17:40:34","0:00:00"
"Call Management","10/11/2018","17:40:33","0:00:00"
"Contacts and dialer","10/11/2018","17:40:28","0:00:05"
"System launcher","10/11/2018","17:40:27","0:00:02"
"Instagram","10/11/2018","17:39:30","0:00:56"
"System launcher","10/11/2018","17:39:25","0:00:05"
"Screen on (unlocked)","10/11/2018","17:39:25","0:00:01"
"Screen off (locked)","10/11/2018","17:29:31","0:09:53"
"System launcher","10/11/2018","17:29:28","0:00:03"
"Contacts and dialer","10/11/2018","17:29:27","0:00:01"
"Truecaller","10/11/2018","17:29:22","0:00:05"
"System launcher","10/11/2018","17:29:21","0:00:01"
"InCallUI","10/11/2018","17:29:17","0:00:04"
"Screen on (unlocked)","10/11/2018","17:29:16","0:00:01"
"Screen off (locked)","10/11/2018","17:10:00","0:19:16"
"System launcher","10/11/2018","17:09:59","0:00:02"
"Instagram","10/11/2018","17:08:18","0:01:41"
"System launcher","10/11/2018","17:08:15","0:00:03"
"Screen on (unlocked)","10/11/2018","17:08:14","0:00:01"
"Screen off (locked)","10/11/2018","16:50:15","0:17:59"
"System launcher","10/11/2018","16:50:14","0:00:01"
"WhatsApp","10/11/2018","16:49:53","0:00:21"
"System launcher","10/11/2018","16:49:51","0:00:01"
"Instagram","10/11/2018","16:46:49","0:03:02"
"System launcher","10/11/2018","16:46:47","0:00:02"
"WhatsApp","10/11/2018","16:46:03","0:00:44"
"System launcher","10/11/2018","16:45:56","0:00:07"
"WhatsApp","10/11/2018","16:44:12","0:01:44"
"System launcher","10/11/2018","16:44:10","0:00:02"
"Screen on (unlocked)","10/11/2018","16:44:09","0:00:01"
"Screen off (locked)","10/11/2018","16:28:35","0:15:34"
"System launcher","10/11/2018","16:28:33","0:00:01"
"WhatsApp","10/11/2018","16:28:03","0:00:30"
"System launcher","10/11/2018","16:28:01","0:00:02"
"Contacts and dialer","10/11/2018","16:28:00","0:00:01"
"InCallUI","10/11/2018","16:27:29","0:00:31"
"Contacts and dialer","10/11/2018","16:27:29","0:00:00"
"Call Management","10/11/2018","16:27:29","0:00:00"
"Contacts and dialer","10/11/2018","16:27:25","0:00:04"
"InCallUI","10/11/2018","16:27:25","0:00:00"
"Truecaller","10/11/2018","16:27:22","0:00:03"
"InCallUI","10/11/2018","16:27:02","0:00:20"
"Contacts and dialer","10/11/2018","16:27:01","0:00:01"
"Call Management","10/11/2018","16:27:01","0:00:00"
"Contacts and dialer","10/11/2018","16:26:58","0:00:03"
"System launcher","10/11/2018","16:26:57","0:00:01"
"WhatsApp","10/11/2018","16:26:53","0:00:04"
"System launcher","10/11/2018","16:26:52","0:00:01"
"Contacts and dialer","10/11/2018","16:26:51","0:00:01"
"System launcher","10/11/2018","16:26:49","0:00:01"
"Instagram","10/11/2018","16:26:30","0:00:20"
"System launcher","10/11/2018","16:26:29","0:00:01"
"WhatsApp","10/11/2018","16:25:58","0:00:31"
"System launcher","10/11/2018","16:25:55","0:00:02"
"Instagram","10/11/2018","16:25:50","0:00:05"
"System launcher","10/11/2018","16:25:49","0:00:01"
"WhatsApp","10/11/2018","16:22:22","0:03:27"
"System launcher","10/11/2018","16:22:18","0:00:03"
"IRCTC Rail Connect","10/11/2018","16:21:48","0:00:31"
"System launcher","10/11/2018","16:21:43","0:00:04"
"WhatsApp","10/11/2018","16:21:21","0:00:22"
"System launcher","10/11/2018","16:21:18","0:00:03"
"Screen on (unlocked)","10/11/2018","16:21:17","0:00:01"
"Screen off (locked)","10/11/2018","15:25:01","0:56:16"
"System launcher","10/11/2018","15:24:59","0:00:02"
"Score! Hero","10/11/2018","15:11:52","0:13:08"
"InCallUI","10/11/2018","15:11:39","0:00:12"
"Score! Hero","10/11/2018","15:10:47","0:00:52"
"Screen on (unlocked)","10/11/2018","15:10:46","0:00:01"
"Screen off (locked)","10/11/2018","15:10:36","0:00:10"
"Score! Hero","10/11/2018","15:10:31","0:00:05"
"Screen on (unlocked)","10/11/2018","15:10:31","0:00:01"
"Screen off (locked)","10/11/2018","15:10:27","0:00:03"
"Score! Hero","10/11/2018","15:09:41","0:00:47"
"Screen on (unlocked)","10/11/2018","15:09:40","0:00:01"
"Screen off (locked)","10/11/2018","15:09:30","0:00:10"
"Score! Hero","10/11/2018","15:07:03","0:02:27"
"Screen on (unlocked)","10/11/2018","15:07:02","0:00:01"
"Screen off (locked)","10/11/2018","15:04:42","0:02:20"
"Score! Hero","10/11/2018","15:03:35","0:01:07"
"Screen on (unlocked)","10/11/2018","15:03:34","0:00:01"
"Screen off (locked)","10/11/2018","15:00:29","0:03:05"
"Score! Hero","10/11/2018","14:58:42","0:01:48"
"Screen on (unlocked)","10/11/2018","14:58:41","0:00:01"
"Screen off (locked)","10/11/2018","14:58:03","0:00:38"
"Score! Hero","10/11/2018","14:57:53","0:00:11"
"System launcher","10/11/2018","14:57:46","0:00:07"
"Instagram","10/11/2018","14:57:36","0:00:10"
"System launcher","10/11/2018","14:57:32","0:00:03"
"Instagram","10/11/2018","14:55:57","0:01:35"
"System launcher","10/11/2018","14:55:56","0:00:01"
"WhatsApp","10/11/2018","14:55:15","0:00:41"
"System launcher","10/11/2018","14:55:12","0:00:03"
"Screen on (unlocked)","10/11/2018","14:55:12","0:00:01"
"Screen off (locked)","10/11/2018","14:50:22","0:04:50"
"System launcher","10/11/2018","14:50:20","0:00:02"
"Chrome","10/11/2018","14:42:08","0:08:12"
"Screen on (unlocked)","10/11/2018","14:42:07","0:00:01"
"Screen off (locked)","10/11/2018","14:41:44","0:00:23"
"Chrome","10/11/2018","14:41:23","0:00:21"
"Screen on (unlocked)","10/11/2018","14:41:23","0:00:01"
"Screen off (locked)","10/11/2018","14:41:07","0:00:16"
"Chrome","10/11/2018","14:40:32","0:00:35"
"Screen on (unlocked)","10/11/2018","14:40:31","0:00:01"
"Screen off (locked)","10/11/2018","14:39:06","0:01:25"
"Chrome","10/11/2018","14:36:43","0:02:23"
"System launcher","10/11/2018","14:36:40","0:00:03"
"Screen on (unlocked)","10/11/2018","14:36:39","0:00:01"
"Screen off (locked)","10/11/2018","14:36:24","0:00:16"
"System launcher","10/11/2018","14:36:22","0:00:02"
"Chrome","10/11/2018","14:36:02","0:00:20"
"Screen on (unlocked)","10/11/2018","14:36:01","0:00:01"
"Screen off (locked)","10/11/2018","14:35:38","0:00:23"
"Chrome","10/11/2018","14:35:09","0:00:29"
"System launcher","10/11/2018","14:35:05","0:00:04"
"WhatsApp","10/11/2018","14:35:03","0:00:02"
"System launcher","10/11/2018","14:34:57","0:00:06"
"Screen on (unlocked)","10/11/2018","14:34:56","0:00:01"
"Screen off (locked)","10/11/2018","14:29:11","0:05:45"
"System launcher","10/11/2018","14:29:11","0:00:00"
"InCallUI","10/11/2018","14:28:45","0:00:26"
"Screen on (unlocked)","10/11/2018","14:28:45","0:00:01"
"Screen off (locked)","10/11/2018","13:54:57","0:33:47"
"System launcher","10/11/2018","13:54:55","0:00:02"
"Instagram","10/11/2018","13:52:24","0:02:31"
"System launcher","10/11/2018","13:48:53","0:03:32"
"Instagram","10/11/2018","13:36:31","0:12:21"
"System launcher","10/11/2018","13:36:30","0:00:01"
"WhatsApp","10/11/2018","13:36:22","0:00:08"
"System launcher","10/11/2018","13:36:18","0:00:04"
"Screen on (unlocked)","10/11/2018","13:36:18","0:00:01"
"Screen off (locked)","10/11/2018","13:34:03","0:02:15"
"System launcher","10/11/2018","13:34:00","0:00:03"
