"App name","Date","Time","Duration"
"App Usage","14/11/2018","11:18:07 pm","0:00:00"
"App Usage","14/11/2018","11:16:45 pm","0:00:44"
"Package installer","14/11/2018","11:16:42 pm","0:00:02"
"App Usage","14/11/2018","11:16:16 pm","0:00:26"
"Secure Folder","14/11/2018","11:16:14 pm","0:00:03"
"Instagram","14/11/2018","11:04:03 pm","0:12:10"
"Screen on (unlocked)","14/11/2018","11:03:58 pm","0:00:05"
"Screen off","14/11/2018","11:03:55 pm","0:00:04"
"Instagram","14/11/2018","10:23:19 pm","0:40:36"
"Screen on (unlocked)","14/11/2018","10:23:16 pm","0:00:03"
"Screen off","14/11/2018","10:23:13 pm","0:00:03"
"Instagram","14/11/2018","10:22:25 pm","0:00:48"
"Screen on (unlocked)","14/11/2018","10:22:24 pm","0:00:01"
"Screen on (locked)","14/11/2018","10:22:18 pm","0:00:06"
"Screen off","14/11/2018","10:21:52 pm","0:00:26"
"Instagram","14/11/2018","10:20:30 pm","0:01:23"
"Screen on (unlocked)","14/11/2018","10:20:27 pm","0:00:02"
"Screen off","14/11/2018","10:20:02 pm","0:00:25"
"Instagram","14/11/2018","10:19:14 pm","0:00:48"
"Screen on (unlocked)","14/11/2018","10:19:08 pm","0:00:06"
"Screen off","14/11/2018","10:19:06 pm","0:00:02"
"Instagram","14/11/2018","10:17:05 pm","0:02:01"
"Screen on (unlocked)","14/11/2018","10:17:00 pm","0:00:05"
"Screen off","14/11/2018","10:16:59 pm","0:00:01"
"Instagram","14/11/2018","10:07:28 pm","0:09:30"
"Screen on (unlocked)","14/11/2018","10:07:26 pm","0:00:02"
"Screen off","14/11/2018","10:07:22 pm","0:00:05"
"Instagram","14/11/2018","10:02:06 pm","0:05:15"
"Screen on (unlocked)","14/11/2018","10:02:01 pm","0:00:05"
"Screen off","14/11/2018","10:01:55 pm","0:00:06"
"Instagram","14/11/2018","10:01:01 pm","0:00:54"
"Screen on (unlocked)","14/11/2018","10:00:55 pm","0:00:06"
"Screen off","14/11/2018","10:00:49 pm","0:00:05"
"Instagram","14/11/2018","9:59:22 pm","0:01:28"
"Screen on (unlocked)","14/11/2018","9:59:21 pm","0:00:01"
"Screen off","14/11/2018","9:58:53 pm","0:00:28"
"Instagram","14/11/2018","9:53:28 pm","0:05:25"
"WhatsApp","14/11/2018","9:53:17 pm","0:00:11"
