"App name","Date","Time","Duration"
"App Usage","11/14/18","5:43:21 PM","0:00:00"
"Gmail","11/14/18","5:42:32 PM","0:00:49"
"App Usage","11/14/18","5:42:09 PM","0:00:17"
"Truecaller","11/14/18","5:42:07 PM","0:00:01"
"App Usage","11/14/18","5:41:18 PM","0:00:50"
"Trebuchet","11/14/18","5:41:13 PM","0:00:05"
"WhatsApp","11/14/18","5:40:47 PM","0:00:25"
"Chrome","11/14/18","5:40:14 PM","0:00:33"
"WhatsApp","11/14/18","5:40:02 PM","0:00:12"
"Trebuchet","11/14/18","5:39:55 PM","0:00:07"
"Screen on (unlocked)","11/14/18","5:39:54 PM","0:00:00"
"Screen on (locked)","11/14/18","5:39:54 PM","0:00:00"
"Screen off (locked)","11/14/18","5:29:18 PM","0:10:36"
"Screen on (locked)","11/14/18","5:29:16 PM","0:00:02"
"Screen off (locked)","11/14/18","5:28:39 PM","0:00:36"
"Trebuchet","11/14/18","5:28:33 PM","0:00:06"
"Phone","11/14/18","5:28:17 PM","0:00:16"
"Screen on (unlocked)","11/14/18","5:28:16 PM","0:00:01"
"Screen off","11/14/18","5:28:16 PM","0:00:00"
"Screen off (locked)","11/14/18","5:28:04 PM","0:00:12"
"Screen on (unlocked)","11/14/18","5:28:02 PM","0:00:02"
"Phone","11/14/18","5:28:02 PM","0:00:00"
"Screen on (locked)","11/14/18","5:28:01 PM","0:00:01"
"Screen off (locked)","11/14/18","5:27:57 PM","0:00:04"
"Trebuchet","11/14/18","5:27:55 PM","0:00:02"
"System UI","11/14/18","5:27:54 PM","0:00:01"
"Trebuchet","11/14/18","5:27:53 PM","0:00:01"
"System UI","11/14/18","5:27:53 PM","0:00:01"
"Trebuchet","11/14/18","5:27:48 PM","0:00:04"
"Screen on (unlocked)","11/14/18","5:27:48 PM","0:00:00"
"Screen on (locked)","11/14/18","5:27:47 PM","0:00:01"
"Screen off (locked)","11/14/18","5:24:43 PM","0:03:05"
"Trebuchet","11/14/18","5:24:38 PM","0:00:04"
"Chrome","11/14/18","5:24:06 PM","0:00:32"
"Trebuchet","11/14/18","5:23:48 PM","0:00:18"
"Screen on (unlocked)","11/14/18","5:23:48 PM","0:00:00"
"Screen on (locked)","11/14/18","5:23:46 PM","0:00:01"
"Screen off (locked)","11/14/18","5:22:43 PM","0:01:03"
"Trebuchet","11/14/18","5:22:38 PM","0:00:05"
"Phone","11/14/18","5:21:21 PM","0:01:17"
"Screen on (unlocked)","11/14/18","5:21:21 PM","0:00:01"
"Trebuchet","11/14/18","5:21:20 PM","0:00:01"
"Screen on (locked)","11/14/18","5:21:19 PM","0:00:02"
"Screen off (locked)","11/14/18","5:21:15 PM","0:00:03"
"Screen on (locked)","11/14/18","5:20:17 PM","0:00:58"
