"App name","Date","Time","Duration"
"App Usage","13/11/2018","11:47:17 pm","0:00:00"
"Gmail","13/11/2018","11:46:42 pm","0:00:35"
"App Lock","13/11/2018","11:46:37 pm","0:00:05"
"App Usage","13/11/2018","11:45:55 pm","0:00:40"
"Package installer","13/11/2018","11:45:47 pm","0:00:07"
"App Usage","13/11/2018","11:45:16 pm","0:00:32"
"Samsung Experience Home","13/11/2018","11:45:07 pm","0:00:08"
"Cyberoam iAccess","13/11/2018","11:45:05 pm","0:00:02"
"Screen on (unlocked)","13/11/2018","11:45:02 pm","0:00:03"
"Screen on (locked)","13/11/2018","11:45:00 pm","0:00:02"
"Screen off (locked)","13/11/2018","11:40:49 pm","0:04:11"
"Screen on (locked)","13/11/2018","11:40:46 pm","0:00:03"
"Screen off (locked)","13/11/2018","11:39:35 pm","0:01:11"
"Samsung Experience Home","13/11/2018","11:39:31 pm","0:00:04"
"Screen on (unlocked)","13/11/2018","11:39:31 pm","0:00:00"
"Screen on (locked)","13/11/2018","11:39:29 pm","0:00:02"
"Screen off (locked)","13/11/2018","11:38:39 pm","0:00:50"
"Samsung Experience Home","13/11/2018","11:38:35 pm","0:00:04"
"System UI","13/11/2018","11:38:35 pm","0:00:01"
"Settings","13/11/2018","11:37:42 pm","0:00:52"
"Samsung Experience Home","13/11/2018","11:37:38 pm","0:00:04"
"Screen on (unlocked)","13/11/2018","11:37:38 pm","0:00:00"
"Screen on (locked)","13/11/2018","11:37:36 pm","0:00:02"
"Screen off (locked)","13/11/2018","11:35:30 pm","0:02:06"
"Samsung Experience Home","13/11/2018","11:35:27 pm","0:00:02"
"System UI","13/11/2018","11:35:27 pm","0:00:01"
"Samsung Experience Home","13/11/2018","11:35:20 pm","0:00:06"
"System UI","13/11/2018","11:35:20 pm","0:00:01"
"Samsung Experience Home","13/11/2018","11:35:17 pm","0:00:02"
"System UI","13/11/2018","11:35:17 pm","0:00:01"
"WhatsApp","13/11/2018","11:34:01 pm","0:01:16"
"Samsung Experience Home","13/11/2018","11:33:40 pm","0:00:20"
"Screen on (unlocked)","13/11/2018","11:33:38 pm","0:00:03"
"Screen on (locked)","13/11/2018","11:33:35 pm","0:00:03"
"Screen off (locked)","13/11/2018","11:28:12 pm","0:05:23"
"Screen on (locked)","13/11/2018","11:28:02 pm","0:00:10"
"Screen off (locked)","13/11/2018","10:55:25 pm","0:32:37"
"Screen on (locked)","13/11/2018","10:55:14 pm","0:00:10"
"Screen off (locked)","13/11/2018","10:36:36 pm","0:18:38"
"Screen on (locked)","13/11/2018","10:36:25 pm","0:00:12"
"Screen off (locked)","13/11/2018","10:33:19 pm","0:03:06"
"Samsung Experience Home","13/11/2018","10:33:17 pm","0:00:02"
"System UI","13/11/2018","10:33:17 pm","0:00:01"
"WhatsApp","13/11/2018","10:32:50 pm","0:00:27"
"App Lock","13/11/2018","10:32:48 pm","0:00:02"
"Samsung Experience Home","13/11/2018","10:32:47 pm","0:00:01"
"Screen on (unlocked)","13/11/2018","10:32:47 pm","0:00:00"
"Screen on (locked)","13/11/2018","10:32:45 pm","0:00:02"
"Screen off (locked)","13/11/2018","10:32:26 pm","0:00:19"
"Samsung Experience Home","13/11/2018","10:32:20 pm","0:00:06"
"System UI","13/11/2018","10:32:18 pm","0:00:01"
"WPS Office","13/11/2018","10:31:43 pm","0:00:35"
"System UI","13/11/2018","10:31:37 pm","0:00:06"
"WhatsApp","13/11/2018","10:29:47 pm","0:01:50"
"App Lock","13/11/2018","10:29:45 pm","0:00:02"
"Samsung Experience Home","13/11/2018","10:29:43 pm","0:00:01"
"Settings","13/11/2018","10:29:37 pm","0:00:06"
"Samsung Experience Home","13/11/2018","10:29:23 pm","0:00:14"
"Screen on (unlocked)","13/11/2018","10:29:20 pm","0:00:03"
"Screen on (locked)","13/11/2018","10:29:18 pm","0:00:02"
"Screen off (locked)","13/11/2018","10:01:33 pm","0:27:45"
"Screen on (locked)","13/11/2018","10:01:23 pm","0:00:10"
"Screen off (locked)","13/11/2018","10:00:58 pm","0:00:25"
"Samsung Experience Home","13/11/2018","10:00:57 pm","0:00:01"
"System UI","13/11/2018","10:00:56 pm","0:00:01"
"Samsung Experience Home","13/11/2018","10:00:52 pm","0:00:04"
"System UI","13/11/2018","10:00:50 pm","0:00:01"
"Cyberoam iAccess","13/11/2018","10:00:49 pm","0:00:01"
"System UI","13/11/2018","10:00:48 pm","0:00:01"
"WhatsApp","13/11/2018","10:00:05 pm","0:00:44"
"Samsung Experience Home","13/11/2018","10:00:01 pm","0:00:04"
"System UI","13/11/2018","9:59:58 pm","0:00:04"
"Paytm","13/11/2018","9:59:57 pm","0:00:01"
"System UI","13/11/2018","9:59:55 pm","0:00:01"
"Contacts","13/11/2018","9:59:53 pm","0:00:03"
"Phone","13/11/2018","9:59:51 pm","0:00:01"
"Contacts","13/11/2018","9:59:46 pm","0:00:06"
"App Lock","13/11/2018","9:59:44 pm","0:00:01"
"Samsung Experience Home","13/11/2018","9:59:43 pm","0:00:01"
"Paytm","13/11/2018","9:59:41 pm","0:00:02"
"System UI","13/11/2018","9:59:39 pm","0:00:01"
"WhatsApp","13/11/2018","9:58:40 pm","0:00:59"
"Paytm","13/11/2018","9:58:12 pm","0:00:28"
"Settings","13/11/2018","9:58:05 pm","0:00:07"
"Paytm","13/11/2018","9:57:18 pm","0:00:47"
"Samsung Experience Home","13/11/2018","9:57:16 pm","0:00:01"
"Paytm","13/11/2018","9:54:53 pm","0:02:24"
"System UI","13/11/2018","9:54:51 pm","0:00:02"
"WhatsApp","13/11/2018","9:48:22 pm","0:06:29"
"App Lock","13/11/2018","9:48:21 pm","0:00:01"
"Samsung Experience Home","13/11/2018","9:48:20 pm","0:00:01"
"System UI","13/11/2018","9:48:19 pm","0:00:01"
"Instagram","13/11/2018","9:47:15 pm","0:01:04"
"App Lock","13/11/2018","9:47:14 pm","0:00:01"
"Samsung Experience Home","13/11/2018","9:47:11 pm","0:00:03"
"Cyberoam iAccess","13/11/2018","9:47:09 pm","0:00:02"
"Screen on (unlocked)","13/11/2018","9:47:05 pm","0:00:03"
"Screen on (locked)","13/11/2018","9:47:03 pm","0:00:02"
"Screen off (locked)","13/11/2018","9:38:41 pm","0:08:22"
"Screen on (locked)","13/11/2018","9:38:31 pm","0:00:10"
"Screen off (locked)","13/11/2018","9:18:06 pm","0:20:25"
"Screen on (locked)","13/11/2018","9:17:30 pm","0:00:36"
"Screen off (locked)","13/11/2018","9:08:53 pm","0:08:37"
"Screen on (locked)","13/11/2018","9:08:42 pm","0:00:10"
"Screen off (locked)","13/11/2018","9:08:41 pm","0:00:02"
"Samsung Experience Home","13/11/2018","9:08:39 pm","0:00:02"
"System UI","13/11/2018","9:08:36 pm","0:00:02"
"WhatsApp","13/11/2018","9:08:29 pm","0:00:07"
"App Lock","13/11/2018","9:08:28 pm","0:00:01"
"Samsung Experience Home","13/11/2018","9:08:27 pm","0:00:01"
"Phone","13/11/2018","9:06:54 pm","0:01:33"
"Samsung Experience Home","13/11/2018","9:06:08 pm","0:00:46"
"System UI","13/11/2018","9:06:02 pm","0:00:06"
"Contacts","13/11/2018","9:06:01 pm","0:00:01"
"Phone","13/11/2018","9:05:49 pm","0:00:13"
"Contacts","13/11/2018","9:05:44 pm","0:00:05"
"App Lock","13/11/2018","9:05:42 pm","0:00:01"
"Samsung Experience Home","13/11/2018","9:05:40 pm","0:00:03"
"Screen on (unlocked)","13/11/2018","9:05:37 pm","0:00:03"
"Screen on (locked)","13/11/2018","9:05:35 pm","0:00:02"
"Screen off (locked)","13/11/2018","8:41:28 pm","0:24:06"
"Samsung Experience Home","13/11/2018","8:41:22 pm","0:00:06"
"System UI","13/11/2018","8:41:21 pm","0:00:01"
"WhatsApp","13/11/2018","8:40:50 pm","0:00:31"
"App Lock","13/11/2018","8:40:48 pm","0:00:02"
"Samsung Experience Home","13/11/2018","8:40:46 pm","0:00:01"
"Settings","13/11/2018","8:40:41 pm","0:00:06"
"Screen on (unlocked)","13/11/2018","8:40:37 pm","0:00:03"
"Screen on (locked)","13/11/2018","8:40:34 pm","0:00:03"
"Screen off (locked)","13/11/2018","8:38:04 pm","0:02:30"
"Screen on (locked)","13/11/2018","8:37:54 pm","0:00:11"
"Screen off (locked)","13/11/2018","8:37:53 pm","0:00:01"
"Screen on (locked)","13/11/2018","8:37:42 pm","0:00:10"
"Screen off (locked)","13/11/2018","8:01:44 pm","0:35:58"
"Phone","13/11/2018","8:01:19 pm","0:00:25"
"Screen on (locked)","13/11/2018","8:01:18 pm","0:00:01"
"Screen off (locked)","13/11/2018","7:56:06 pm","0:05:13"
"Samsung Experience Home","13/11/2018","7:56:04 pm","0:00:02"
"System UI","13/11/2018","7:56:04 pm","0:00:01"
"Samsung Experience Home","13/11/2018","7:55:59 pm","0:00:04"
"System UI","13/11/2018","7:55:58 pm","0:00:01"
"Contacts","13/11/2018","7:55:56 pm","0:00:02"
"Phone","13/11/2018","7:55:33 pm","0:00:23"
"Contacts","13/11/2018","7:55:07 pm","0:00:26"
"App Lock","13/11/2018","7:55:05 pm","0:00:03"
"Samsung Experience Home","13/11/2018","7:55:04 pm","0:00:01"
"Screen on (unlocked)","13/11/2018","7:55:04 pm","0:00:00"
