"App name","Date","Time","Duration"
"App Usage","14/11/2018","2:08:17 pm","0:00:00"
"Gmail","14/11/2018","2:07:59 pm","0:00:18"
"App Lock","14/11/2018","2:07:55 pm","0:00:04"
"App Usage","14/11/2018","2:07:40 pm","0:00:11"
"Package installer","14/11/2018","2:07:37 pm","0:00:03"
"App Usage","14/11/2018","2:07:19 pm","0:00:18"
"TouchWiz home","14/11/2018","2:07:13 pm","0:00:06"
"WhatsApp","14/11/2018","2:06:59 pm","0:00:14"
"TouchWiz home","14/11/2018","2:06:57 pm","0:00:02"
"Screen on (unlocked)","14/11/2018","2:06:57 pm","0:00:00"
"Screen on (locked)","14/11/2018","2:06:56 pm","0:00:01"
"Screen off (locked)","14/11/2018","2:04:49 pm","0:02:07"
"TouchWiz home","14/11/2018","2:04:46 pm","0:00:03"
"System UI","14/11/2018","2:04:45 pm","0:00:01"
"Calculator","14/11/2018","2:04:12 pm","0:00:33"
"TouchWiz home","14/11/2018","2:04:10 pm","0:00:01"
"Screen on (unlocked)","14/11/2018","2:04:09 pm","0:00:01"
"Screen off","14/11/2018","2:04:09 pm","0:00:00"
"Screen off (locked)","14/11/2018","2:02:47 pm","0:01:22"
"Screen on (locked)","14/11/2018","2:02:45 pm","0:00:02"
"Screen off (locked)","14/11/2018","2:01:16 pm","0:01:29"
"Screen on (locked)","14/11/2018","2:01:12 pm","0:00:04"
"Screen off (locked)","14/11/2018","2:01:02 pm","0:00:10"
"TouchWiz home","14/11/2018","2:00:57 pm","0:00:05"
"Screen on (unlocked)","14/11/2018","2:00:57 pm","0:00:01"
"Screen off","14/11/2018","2:00:56 pm","0:00:00"
"Screen off (locked)","14/11/2018","2:00:55 pm","0:00:02"
"Screen on (locked)","14/11/2018","2:00:53 pm","0:00:02"
"Screen off (locked)","14/11/2018","1:59:36 pm","0:01:17"
"Screen on (locked)","14/11/2018","1:59:29 pm","0:00:07"
"Screen off (locked)","14/11/2018","1:56:09 pm","0:03:20"
"TouchWiz home","14/11/2018","1:56:07 pm","0:00:02"
