"App name","Date","Time","Duration"
"App Usage","14/11/2018","22:17:30","0:00:00"
"WhatsApp","14/11/2018","22:17:28","0:00:02"
"Excel","14/11/2018","22:16:46","0:00:43"
"WhatsApp","14/11/2018","22:16:35","0:00:09"
"App Usage","14/11/2018","22:13:52","0:02:40"
"System launcher","14/11/2018","22:13:27","0:00:25"
"App Usage","14/11/2018","22:08:41","0:04:45"
"Package installer","14/11/2018","22:08:38","0:00:04"
"App Usage","14/11/2018","22:07:36","0:01:02"
"Settings","14/11/2018","22:07:35","0:00:01"
"App Usage","14/11/2018","22:07:34","0:00:01"
"Settings","14/11/2018","22:07:30","0:00:04"
"App Usage","14/11/2018","22:07:16","0:00:14"
"System launcher","14/11/2018","22:07:08","0:00:08"
"WhatsApp","14/11/2018","22:06:45","0:00:23"
"Screen on (unlocked)","14/11/2018","22:06:44","0:00:01"
"Screen off (locked)","14/11/2018","22:05:12","0:01:32"
"WhatsApp","14/11/2018","22:04:31","0:00:41"
"System launcher","14/11/2018","22:04:30","0:00:02"
"Contacts and dialer","14/11/2018","22:04:27","0:00:03"
"Screen on (unlocked)","14/11/2018","22:04:26","0:00:01"
"Screen off (locked)","14/11/2018","22:03:51","0:00:35"
"Contacts and dialer","14/11/2018","22:03:51","0:00:00"
"InCallUI","14/11/2018","22:02:15","0:01:36"
"Screen on (unlocked)","14/11/2018","22:02:14","0:00:01"
"Screen off (locked)","14/11/2018","21:51:22","0:10:52"
"Contacts and dialer","14/11/2018","21:51:11","0:00:11"
"System launcher","14/11/2018","21:51:10","0:00:01"
"DAWebmail","14/11/2018","21:51:07","0:00:04"
"System launcher","14/11/2018","21:50:49","0:00:18"
"System UI","14/11/2018","21:50:47","0:00:02"
"System launcher","14/11/2018","21:50:35","0:00:12"
"Instagram","14/11/2018","21:50:25","0:00:10"
"System launcher","14/11/2018","21:50:24","0:00:01"
"WhatsApp","14/11/2018","21:49:45","0:00:39"
"System launcher","14/11/2018","21:49:43","0:00:02"
"Screen on (unlocked)","14/11/2018","21:49:43","0:00:01"
"Screen off (locked)","14/11/2018","21:49:37","0:00:06"
"System launcher","14/11/2018","21:49:36","0:00:01"
"System UI","14/11/2018","21:49:33","0:00:03"
"System launcher","14/11/2018","21:49:28","0:00:05"
"Instagram","14/11/2018","21:49:12","0:00:15"
"System launcher","14/11/2018","21:48:55","0:00:17"
"Screen on (unlocked)","14/11/2018","21:48:54","0:00:01"
"Screen off (locked)","14/11/2018","21:37:00","0:11:54"
"System launcher","14/11/2018","21:36:58","0:00:02"
"WhatsApp","14/11/2018","21:35:09","0:01:49"
"Screen on (unlocked)","14/11/2018","21:35:08","0:00:01"
"Screen off (locked)","14/11/2018","21:35:07","0:00:01"
"WhatsApp","14/11/2018","21:35:01","0:00:07"
"System launcher","14/11/2018","21:34:57","0:00:04"
"Screen on (unlocked)","14/11/2018","21:34:56","0:00:01"
"Screen off (locked)","14/11/2018","21:18:50","0:16:06"
"System launcher","14/11/2018","21:18:48","0:00:02"
"WhatsApp","14/11/2018","21:18:32","0:00:16"
"System launcher","14/11/2018","21:18:31","0:00:01"
"Instagram","14/11/2018","21:17:49","0:00:43"
"System launcher","14/11/2018","21:17:47","0:00:02"
"WhatsApp","14/11/2018","21:16:39","0:01:07"
"System launcher","14/11/2018","21:16:28","0:00:11"
"Screen on (unlocked)","14/11/2018","21:16:27","0:00:01"
"Screen off (locked)","14/11/2018","21:06:45","0:09:43"
"System launcher","14/11/2018","21:06:42","0:00:02"
"WhatsApp","14/11/2018","21:01:51","0:04:52"
"Settings","14/11/2018","21:01:48","0:00:03"
"WhatsApp","14/11/2018","21:00:34","0:01:13"
"System launcher","14/11/2018","21:00:33","0:00:02"
"Screen on (unlocked)","14/11/2018","21:00:32","0:00:01"
"Screen off (locked)","14/11/2018","20:49:05","0:11:27"
"System launcher","14/11/2018","20:49:03","0:00:02"
"Screen on (unlocked)","14/11/2018","20:49:02","0:00:01"
"Screen off (locked)","14/11/2018","20:31:38","0:17:24"
"System launcher","14/11/2018","20:31:34","0:00:04"
"Screen on (unlocked)","14/11/2018","20:31:33","0:00:01"
"Screen off (locked)","14/11/2018","20:29:56","0:01:37"
"System launcher","14/11/2018","20:29:52","0:00:04"
"Screen on (unlocked)","14/11/2018","20:29:52","0:00:01"
"Screen off (locked)","14/11/2018","20:29:10","0:00:42"
"System launcher","14/11/2018","20:29:07","0:00:03"
"Screen on (unlocked)","14/11/2018","20:29:06","0:00:01"
"Screen off (locked)","14/11/2018","20:27:25","0:01:42"
"System launcher","14/11/2018","20:27:23","0:00:02"
"Quora","14/11/2018","20:26:40","0:00:43"
"System launcher","14/11/2018","20:26:38","0:00:02"
"Snapchat","14/11/2018","20:25:42","0:00:56"
"System launcher","14/11/2018","20:25:38","0:00:04"
"Instagram","14/11/2018","20:25:08","0:00:30"
"System launcher","14/11/2018","20:24:50","0:00:18"
"Screen on (unlocked)","14/11/2018","20:24:49","0:00:01"
"Screen off (locked)","14/11/2018","20:22:26","0:02:23"
"System launcher","14/11/2018","20:22:22","0:00:04"
"Screen on (unlocked)","14/11/2018","20:22:22","0:00:01"
"Screen off (locked)","14/11/2018","20:21:28","0:00:54"
"System launcher","14/11/2018","20:21:26","0:00:02"
"Screen on (unlocked)","14/11/2018","20:21:25","0:00:01"
"Screen off (locked)","14/11/2018","19:56:07","0:25:18"
"System launcher","14/11/2018","19:56:04","0:00:03"
"Screen on (unlocked)","14/11/2018","19:56:03","0:00:01"
"Screen off (locked)","14/11/2018","19:54:28","0:01:35"
"System launcher","14/11/2018","19:54:26","0:00:03"
"Screen on (unlocked)","14/11/2018","19:54:25","0:00:01"
"Screen off (locked)","14/11/2018","19:53:47","0:00:38"
"System launcher","14/11/2018","19:53:45","0:00:02"
"Screen on (unlocked)","14/11/2018","19:53:44","0:00:01"
"Screen off (locked)","14/11/2018","19:50:11","0:03:33"
"System launcher","14/11/2018","19:50:08","0:00:03"
"Screen on (unlocked)","14/11/2018","19:50:08","0:00:01"
"Screen off (locked)","14/11/2018","19:44:19","0:05:49"
"System launcher","14/11/2018","19:44:12","0:00:07"
"System UI","14/11/2018","19:44:09","0:00:03"
"System launcher","14/11/2018","19:44:07","0:00:01"
"PUBG MOBILE","14/11/2018","19:44:05","0:00:03"
"Google Play services","14/11/2018","19:44:04","0:00:01"
"PUBG MOBILE","14/11/2018","19:44:01","0:00:03"
"Facebook","14/11/2018","19:44:00","0:00:01"
"PUBG MOBILE","14/11/2018","19:42:25","0:01:35"
"System launcher","14/11/2018","19:42:24","0:00:01"
"System UI","14/11/2018","19:42:23","0:00:01"
"Settings","14/11/2018","19:42:10","0:00:13"
"PUBG MOBILE","14/11/2018","19:32:09","0:10:01"
"System launcher","14/11/2018","19:32:04","0:00:05"
"Gmail","14/11/2018","19:32:03","0:00:01"
"Screen on (unlocked)","14/11/2018","19:32:02","0:00:01"
"Screen off (locked)","14/11/2018","19:29:47","0:02:15"
"Gmail","14/11/2018","19:28:46","0:01:01"
"System launcher","14/11/2018","19:28:45","0:00:01"
"Gmail","14/11/2018","19:27:58","0:00:47"
"Settings","14/11/2018","19:27:55","0:00:02"
"Gmail","14/11/2018","19:27:50","0:00:06"
"Settings","14/11/2018","19:27:47","0:00:03"
"Gmail","14/11/2018","19:27:10","0:00:37"
"System launcher","14/11/2018","19:27:07","0:00:03"
"Screen on (unlocked)","14/11/2018","19:27:07","0:00:01"
"Screen off (locked)","14/11/2018","19:18:59","0:08:08"
"System launcher","14/11/2018","19:18:56","0:00:03"
"Screen on (unlocked)","14/11/2018","19:18:55","0:00:01"
"Screen off (locked)","14/11/2018","19:18:51","0:00:04"
"System launcher","14/11/2018","19:18:50","0:00:02"
"Oxford Dictionary of English","14/11/2018","19:18:47","0:00:03"
"Screen on (unlocked)","14/11/2018","19:18:46","0:00:01"
"Screen off (locked)","14/11/2018","19:03:14","0:15:32"
"Oxford Dictionary of English","14/11/2018","19:03:05","0:00:09"
"System launcher","14/11/2018","19:03:04","0:00:01"
"Screen on (unlocked)","14/11/2018","19:03:03","0:00:01"
"Screen off (locked)","14/11/2018","18:59:35","0:03:28"
"System launcher","14/11/2018","18:59:34","0:00:01"
"Instagram","14/11/2018","18:55:52","0:03:42"
"System launcher","14/11/2018","18:55:47","0:00:05"
"Screen on (unlocked)","14/11/2018","18:55:46","0:00:01"
"Screen off (locked)","14/11/2018","18:54:43","0:01:03"
"System launcher","14/11/2018","18:54:36","0:00:07"
"Screen on (unlocked)","14/11/2018","18:54:36","0:00:01"
"Screen off (locked)","14/11/2018","18:53:31","0:01:05"
"System launcher","14/11/2018","18:53:26","0:00:05"
"System UI","14/11/2018","18:53:23","0:00:03"
"System launcher","14/11/2018","18:53:21","0:00:02"
"Google Play Music","14/11/2018","18:53:16","0:00:04"
"Screen on (unlocked)","14/11/2018","18:53:16","0:00:01"
"Screen off (locked)","14/11/2018","18:50:59","0:02:17"
"Google Play Music","14/11/2018","18:50:43","0:00:16"
"System launcher","14/11/2018","18:50:38","0:00:05"
"Screen on (unlocked)","14/11/2018","18:50:37","0:00:01"
"Screen off (locked)","14/11/2018","18:47:23","0:03:14"
"System launcher","14/11/2018","18:47:18","0:00:05"
"Screen on (unlocked)","14/11/2018","18:47:17","0:00:01"
"Screen off (locked)","14/11/2018","18:20:43","0:26:35"
"System launcher","14/11/2018","18:20:41","0:00:02"
"WhatsApp","14/11/2018","18:19:37","0:01:04"
"System launcher","14/11/2018","18:19:35","0:00:02"
"YouTube","14/11/2018","18:19:32","0:00:03"
"Screen on (unlocked)","14/11/2018","18:19:31","0:00:01"
"Screen off (locked)","14/11/2018","18:18:21","0:01:10"
"YouTube","14/11/2018","18:17:19","0:01:02"
"Screen on (unlocked)","14/11/2018","18:17:18","0:00:01"
"Screen off (locked)","14/11/2018","17:58:17","0:19:01"
"YouTube","14/11/2018","17:52:47","0:05:29"
"Screen on (unlocked)","14/11/2018","17:52:47","0:00:01"
"Screen off (locked)","14/11/2018","17:49:49","0:02:58"
"YouTube","14/11/2018","17:43:18","0:06:31"
"System launcher","14/11/2018","17:43:17","0:00:02"
"Google Play Store","14/11/2018","17:42:58","0:00:19"
"System launcher","14/11/2018","17:42:56","0:00:02"
"System UI","14/11/2018","17:42:56","0:00:00"
"YouTube","14/11/2018","17:42:52","0:00:04"
"Settings","14/11/2018","17:41:35","0:01:17"
"YouTube","14/11/2018","17:38:49","0:02:46"
"System UI","14/11/2018","17:38:48","0:00:01"
"Drive","14/11/2018","17:38:41","0:00:07"
"YouTube","14/11/2018","17:38:35","0:00:06"
