"App name","Date","Time","Duration"
"App Usage","13/11/18","7:30:22 PM","0:00:00"
"App Usage","13/11/18","7:30:16 PM","0:00:04"
"Gmail","13/11/18","7:29:27 PM","0:00:49"
"Security","13/11/18","7:29:26 PM","0:00:01"
"App Usage","13/11/18","7:28:16 PM","0:01:06"
"System launcher","13/11/18","7:28:14 PM","0:00:02"
"App Usage","13/11/18","7:27:54 PM","0:00:20"
"System launcher","13/11/18","7:27:52 PM","0:00:02"
"WhatsApp","13/11/18","7:27:49 PM","0:00:03"
"Security","13/11/18","7:27:48 PM","0:00:01"
"System launcher","13/11/18","7:27:45 PM","0:00:04"
"Screen on (unlocked)","13/11/18","7:27:44 PM","0:00:00"
"Screen on (locked)","13/11/18","7:27:43 PM","0:00:02"
"Screen off (locked)","13/11/18","7:26:01 PM","0:01:42"
"System launcher","13/11/18","7:25:58 PM","0:00:03"
"WhatsApp","13/11/18","7:25:45 PM","0:00:13"
"Word","13/11/18","7:15:14 PM","0:10:31"
"WhatsApp","13/11/18","7:15:12 PM","0:00:01"
"WhatsApp","13/11/18","7:12:38 PM","0:02:30"
"Security","13/11/18","7:12:36 PM","0:00:01"
"System launcher","13/11/18","7:12:32 PM","0:00:05"
"Screen on (unlocked)","13/11/18","7:12:32 PM","0:00:00"
"Screen on (locked)","13/11/18","7:12:31 PM","0:00:00"
"Screen off (locked)","13/11/18","7:06:52 PM","0:05:39"
"Screen on (locked)","13/11/18","7:06:47 PM","0:00:05"
"Screen off (locked)","13/11/18","7:06:37 PM","0:00:10"
"Screen on (locked)","13/11/18","7:06:31 PM","0:00:06"
"Screen off (locked)","13/11/18","7:05:38 PM","0:00:53"
"System launcher","13/11/18","7:05:29 PM","0:00:08"
"WhatsApp","13/11/18","7:05:02 PM","0:00:27"
"Security","13/11/18","7:05:02 PM","0:00:01"
"Screen on (unlocked)","13/11/18","7:05:01 PM","0:00:00"
"Screen on (locked)","13/11/18","7:04:58 PM","0:00:03"
"Screen off (locked)","13/11/18","7:03:26 PM","0:01:32"
"Screen on (locked)","13/11/18","7:03:16 PM","0:00:10"
"Screen off (locked)","13/11/18","7:02:25 PM","0:00:51"
"System launcher","13/11/18","7:02:17 PM","0:00:07"
"Facebook","13/11/18","6:31:51 PM","0:30:27"
"Security","13/11/18","6:31:49 PM","0:00:01"
"System launcher","13/11/18","6:31:46 PM","0:00:04"
"WhatsApp","13/11/18","6:30:53 PM","0:00:52"
"Browser","13/11/18","6:30:35 PM","0:00:18"
"WhatsApp","13/11/18","6:30:21 PM","0:00:14"
"System launcher","13/11/18","6:30:18 PM","0:00:03"
"Instagram","13/11/18","6:25:39 PM","0:04:39"
"System launcher","13/11/18","6:25:30 PM","0:00:09"
"WhatsApp","13/11/18","6:24:46 PM","0:00:43"
"Security","13/11/18","6:24:45 PM","0:00:01"
"System launcher","13/11/18","6:24:41 PM","0:00:04"
"InCallUI","13/11/18","6:24:21 PM","0:00:21"
"System launcher","13/11/18","6:24:16 PM","0:00:05"
"Instagram","13/11/18","6:21:13 PM","0:03:03"
"Security","13/11/18","6:21:12 PM","0:00:01"
"System launcher","13/11/18","6:20:58 PM","0:00:13"
"Screen on (unlocked)","13/11/18","6:20:57 PM","0:00:01"
"Screen off","13/11/18","6:20:57 PM","0:00:00"
"Screen off (locked)","13/11/18","6:19:56 PM","0:01:01"
"Screen on (unlocked)","13/11/18","6:19:17 PM","0:00:39"
"System launcher","13/11/18","6:19:17 PM","0:00:00"
"Screen on (locked)","13/11/18","6:19:16 PM","0:00:01"
"Screen off (locked)","13/11/18","6:16:40 PM","0:02:37"
"System launcher","13/11/18","6:16:38 PM","0:00:02"
"Contacts and dialer","13/11/18","6:16:33 PM","0:00:05"
"InCallUI","13/11/18","6:15:49 PM","0:00:43"
"Contacts and dialer","13/11/18","6:14:51 PM","0:00:58"
"Security","13/11/18","6:14:50 PM","0:00:01"
"System launcher","13/11/18","6:14:46 PM","0:00:04"
"Screen on (unlocked)","13/11/18","6:14:46 PM","0:00:00"
"Screen on (locked)","13/11/18","6:14:45 PM","0:00:01"
"Screen off (locked)","13/11/18","6:14:17 PM","0:00:28"
"Screen on (locked)","13/11/18","6:14:15 PM","0:00:02"
"Screen off (locked)","13/11/18","6:14:14 PM","0:00:02"
"System launcher","13/11/18","6:14:02 PM","0:00:12"
"hike","13/11/18","6:00:18 PM","0:13:44"
"System launcher","13/11/18","6:00:12 PM","0:00:06"
"Personal stickers for WhatsApp","13/11/18","5:59:50 PM","0:00:23"
"Browser","13/11/18","5:57:15 PM","0:02:35"
"Personal stickers for WhatsApp","13/11/18","5:57:09 PM","0:00:04"
"Personal stickers for WhatsApp","13/11/18","5:57:03 PM","0:00:02"
"System launcher","13/11/18","5:57:02 PM","0:00:01"
"WhatsApp","13/11/18","5:57:00 PM","0:00:01"
"Google Play Store","13/11/18","5:56:38 PM","0:00:22"
"WhatsApp","13/11/18","5:56:11 PM","0:00:27"
"System launcher","13/11/18","5:53:53 PM","0:02:18"
"WhatsApp Stickers","13/11/18","5:53:49 PM","0:00:04"
"System launcher","13/11/18","5:53:47 PM","0:00:02"
"WhatsApp","13/11/18","5:53:30 PM","0:00:17"
"Google Play Store","13/11/18","5:53:26 PM","0:00:04"
"WhatsApp","13/11/18","5:51:00 PM","0:02:26"
"System launcher","13/11/18","5:51:00 PM","0:00:01"
"Personal stickers for WhatsApp","13/11/18","5:50:37 PM","0:00:22"
"UC Browser","13/11/18","5:50:06 PM","0:00:32"
"Security","13/11/18","5:50:03 PM","0:00:03"
"Personal stickers for WhatsApp","13/11/18","5:49:43 PM","0:00:18"
"Chrome","13/11/18","5:49:19 PM","0:00:23"
"Personal stickers for WhatsApp","13/11/18","5:48:59 PM","0:00:09"
"Package installer","13/11/18","5:48:57 PM","0:00:02"
"Personal stickers for WhatsApp","13/11/18","5:48:56 PM","0:00:01"
"System launcher","13/11/18","5:47:23 PM","0:01:33"
"WhatsApp","13/11/18","5:47:22 PM","0:00:01"
"Google Play Store","13/11/18","5:47:07 PM","0:00:15"
"WhatsApp","13/11/18","5:47:02 PM","0:00:04"
"Google Play Store","13/11/18","5:47:00 PM","0:00:02"
"WhatsApp","13/11/18","5:46:46 PM","0:00:14"
"Google Play Store","13/11/18","5:46:45 PM","0:00:01"
"WhatsApp","13/11/18","5:46:40 PM","0:00:05"
"Google Play Store","13/11/18","5:46:29 PM","0:00:11"
"WhatsApp","13/11/18","5:44:11 PM","0:02:18"
"Google Play Store","13/11/18","5:40:10 PM","0:04:01"
"WhatsApp","13/11/18","5:40:03 PM","0:00:07"
"Google Play Store","13/11/18","5:39:55 PM","0:00:08"
"WhatsApp","13/11/18","5:38:55 PM","0:01:00"
"System launcher","13/11/18","5:38:53 PM","0:00:03"
