"App name","Date","Time","Duration"
"App Usage","14/11/2018","23:25:01","0:00:00"
"Gmail","14/11/2018","23:24:34","0:00:27"
"App Usage","14/11/2018","23:23:54","0:00:38"
"Package installer","14/11/2018","23:23:52","0:00:01"
"App Usage","14/11/2018","23:23:44","0:00:08"
"Settings","14/11/2018","23:23:42","0:00:01"
"App Usage","14/11/2018","23:23:42","0:00:01"
"Settings","14/11/2018","23:23:39","0:00:03"
"App Usage","14/11/2018","23:23:36","0:00:03"
"Screen off (locked)","05/11/2018","22:59:41","216:23:55"
"WhatsApp","05/11/2018","22:59:33","0:00:08"
"inshorts","05/11/2018","22:59:28","0:00:05"
"WhatsApp","05/11/2018","22:58:04","0:01:24"
"Screen on (unlocked)","05/11/2018","22:58:04","0:00:00"
"Screen on (locked)","05/11/2018","22:58:04","0:00:01"
"Screen off (locked)","05/11/2018","22:49:50","0:08:14"
"Screen on (locked)","05/11/2018","22:49:39","0:00:10"
"Screen off (locked)","05/11/2018","22:41:19","0:08:21"
"Screen on (locked)","05/11/2018","22:41:08","0:00:11"
"Screen off (locked)","05/11/2018","22:27:02","0:14:06"
"Screen on (locked)","05/11/2018","22:25:51","0:01:11"
"Screen off (locked)","05/11/2018","22:25:38","0:00:14"
"Screen on (locked)","05/11/2018","22:25:36","0:00:01"
"Screen off (locked)","05/11/2018","22:24:27","0:01:10"
"WhatsApp","05/11/2018","22:24:23","0:00:04"
"Screen on (unlocked)","05/11/2018","22:24:23","0:00:00"
"Screen on (locked)","05/11/2018","22:24:21","0:00:02"
"Screen off (locked)","05/11/2018","22:16:33","0:07:48"
"WhatsApp","05/11/2018","22:16:09","0:00:24"
"System launcher","05/11/2018","22:16:03","0:00:06"
"Instagram","05/11/2018","22:14:54","0:01:08"
"Screen on (unlocked)","05/11/2018","22:14:54","0:00:00"
"Screen on (locked)","05/11/2018","22:14:53","0:00:01"
"Screen off (locked)","05/11/2018","22:14:48","0:00:04"
"Instagram","05/11/2018","22:14:47","0:00:01"
"Screen on (unlocked)","05/11/2018","22:14:47","0:00:01"
"Screen off","05/11/2018","22:14:45","0:00:01"
"Screen off (locked)","05/11/2018","22:12:26","0:02:19"
"Instagram","05/11/2018","22:08:03","0:04:23"
"Screen on (unlocked)","05/11/2018","22:08:02","0:00:01"
"Screen off","05/11/2018","22:08:02","0:00:00"
"Screen off (locked)","05/11/2018","22:05:43","0:02:19"
"Instagram","05/11/2018","22:03:47","0:01:55"
"System launcher","05/11/2018","22:03:46","0:00:01"
"WhatsApp","05/11/2018","22:00:46","0:03:00"
"System launcher","05/11/2018","22:00:35","0:00:11"
"App Usage","05/11/2018","22:00:26","0:00:09"
