"App name","Date","Time","Duration"
"App Usage","13/11/18","11:24:20 PM","0:00:00"
"Gmail","13/11/18","11:23:19 PM","0:01:01"
"App Usage","13/11/18","11:21:54 PM","0:01:15"
"System launcher","13/11/18","11:21:45 PM","0:00:10"
"Instagram","13/11/18","11:20:51 PM","0:00:54"
"Security","13/11/18","11:20:50 PM","0:00:01"
"System launcher","13/11/18","11:20:22 PM","0:00:28"
"WhatsApp","13/11/18","11:19:32 PM","0:00:50"
"Security","13/11/18","11:19:31 PM","0:00:01"
"System launcher","13/11/18","11:19:27 PM","0:00:04"
"Screen on (unlocked)","13/11/18","11:19:26 PM","0:00:01"
"Screen off (locked)","13/11/18","10:37:34 PM","0:41:52"
"System launcher","13/11/18","10:37:33 PM","0:00:01"
"WhatsApp","13/11/18","10:36:37 PM","0:00:56"
"Security","13/11/18","10:36:37 PM","0:00:01"
"System launcher","13/11/18","10:36:35 PM","0:00:02"
"Screen on (unlocked)","13/11/18","10:36:34 PM","0:00:01"
"Screen off (locked)","13/11/18","10:22:13 PM","0:14:21"
"System launcher","13/11/18","10:22:12 PM","0:00:01"
"WhatsApp","13/11/18","10:19:05 PM","0:03:07"
"Security","13/11/18","10:19:05 PM","0:00:01"
"System launcher","13/11/18","10:19:02 PM","0:00:03"
"Screen on (unlocked)","13/11/18","10:19:01 PM","0:00:01"
"Screen off (locked)","13/11/18","9:19:32 PM","0:59:29"
"System launcher","13/11/18","9:19:31 PM","0:00:01"
"Instagram","13/11/18","9:18:24 PM","0:01:07"
"Security","13/11/18","9:18:24 PM","0:00:01"
"System launcher","13/11/18","9:18:08 PM","0:00:16"
"WhatsApp","13/11/18","9:17:45 PM","0:00:23"
"Security","13/11/18","9:17:45 PM","0:00:01"
"System launcher","13/11/18","9:17:43 PM","0:00:02"
"Screen on (unlocked)","13/11/18","9:17:42 PM","0:00:01"
"Screen off (locked)","13/11/18","9:14:16 PM","0:03:26"
"System launcher","13/11/18","9:14:15 PM","0:00:01"
"WhatsApp","13/11/18","9:13:40 PM","0:00:35"
"Security","13/11/18","9:13:39 PM","0:00:01"
"System launcher","13/11/18","9:13:37 PM","0:00:02"
"Screen on (unlocked)","13/11/18","9:13:37 PM","0:00:01"
"Screen off (locked)","13/11/18","9:02:36 PM","0:11:01"
"System launcher","13/11/18","9:02:33 PM","0:00:03"
"WhatsApp","13/11/18","9:01:59 PM","0:00:34"
"Security","13/11/18","9:01:58 PM","0:00:01"
"System launcher","13/11/18","9:01:55 PM","0:00:03"
"Screen on (unlocked)","13/11/18","9:01:55 PM","0:00:01"
"Screen off (locked)","13/11/18","8:57:05 PM","0:04:49"
"System launcher","13/11/18","8:57:01 PM","0:00:04"
