"App name","Date","Time","Duration"
"App Usage","14/11/2018","9:43:46 pm","0:00:00"
"WhatsApp","14/11/2018","9:43:40 pm","0:00:06"
"Huawei Share","14/11/2018","9:43:31 pm","0:00:08"
"App Usage","14/11/2018","9:43:09 pm","0:00:23"
"System UI","14/11/2018","9:43:08 pm","0:00:01"
"WhatsApp","14/11/2018","9:42:56 pm","0:00:13"
"Phone Manager","14/11/2018","9:42:55 pm","0:00:01"
"App Usage","14/11/2018","9:42:42 pm","0:00:13"
"Instagram","14/11/2018","9:40:20 pm","0:02:22"
"Phone Manager","14/11/2018","9:40:19 pm","0:00:01"
"System UI","14/11/2018","9:40:18 pm","0:00:02"
"Huawei Home","14/11/2018","9:40:16 pm","0:00:01"
"Screen on (unlocked)","14/11/2018","9:40:16 pm","0:00:00"
"Screen on (locked)","14/11/2018","9:40:11 pm","0:00:05"
"Screen off (locked)","14/11/2018","9:39:15 pm","0:00:56"
"Huawei Home","14/11/2018","9:39:13 pm","0:00:02"
"Instagram","14/11/2018","9:35:34 pm","0:03:39"
"Phone Manager","14/11/2018","9:35:29 pm","0:00:05"
"Huawei Home","14/11/2018","9:35:28 pm","0:00:01"
"WhatsApp","14/11/2018","9:35:06 pm","0:00:22"
"Docs","14/11/2018","9:34:58 pm","0:00:08"
"WhatsApp","14/11/2018","9:34:47 pm","0:00:11"
"Phone Manager","14/11/2018","9:34:45 pm","0:00:02"
"Screen on (unlocked)","14/11/2018","9:34:43 pm","0:00:02"
"Screen off","14/11/2018","9:34:43 pm","0:00:00"
"Screen off (locked)","14/11/2018","9:12:28 pm","0:22:15"
"Screen on (locked)","14/11/2018","9:12:27 pm","0:00:01"
"Screen off (locked)","14/11/2018","9:12:11 pm","0:00:16"
"Huawei Home","14/11/2018","9:12:09 pm","0:00:02"
"Docs","14/11/2018","9:12:01 pm","0:00:08"
"WhatsApp","14/11/2018","9:11:57 pm","0:00:04"
"Screen on (unlocked)","14/11/2018","9:11:54 pm","0:00:04"
"Screen on (locked)","14/11/2018","9:11:50 pm","0:00:04"
"Screen off (locked)","14/11/2018","8:41:46 pm","0:30:05"
"Huawei Home","14/11/2018","8:41:44 pm","0:00:02"
"Instagram","14/11/2018","8:41:38 pm","0:00:06"
"Phone Manager","14/11/2018","8:41:35 pm","0:00:03"
"Screen on (unlocked)","14/11/2018","8:41:27 pm","0:00:07"
"Huawei Home","14/11/2018","8:41:27 pm","0:00:00"
"Screen on (locked)","14/11/2018","8:41:24 pm","0:00:03"
"Screen off (locked)","14/11/2018","8:41:23 pm","0:00:01"
"Screen on (locked)","14/11/2018","8:41:22 pm","0:00:01"
"Screen off (locked)","14/11/2018","8:41:19 pm","0:00:03"
"Screen on (locked)","14/11/2018","8:41:16 pm","0:00:03"
"Screen off (locked)","14/11/2018","8:18:51 pm","0:22:25"
"Huawei Home","14/11/2018","8:18:49 pm","0:00:02"
"Contacts","14/11/2018","8:18:48 pm","0:00:01"
"Screen on (unlocked)","14/11/2018","8:18:47 pm","0:00:01"
"Screen off","14/11/2018","8:18:18 pm","0:00:30"
"Dialler","14/11/2018","8:18:16 pm","0:00:02"
"Screen on (unlocked)","14/11/2018","8:18:15 pm","0:00:01"
"Screen off","14/11/2018","8:18:14 pm","0:00:01"
"Dialler","14/11/2018","8:18:12 pm","0:00:02"
"Call Management","14/11/2018","8:18:12 pm","0:00:01"
"Contacts","14/11/2018","8:18:10 pm","0:00:01"
"Screen on (unlocked)","14/11/2018","8:18:08 pm","0:00:02"
"Screen off","14/11/2018","8:18:08 pm","0:00:00"
"Screen off (locked)","14/11/2018","8:15:16 pm","0:02:52"
"Huawei Home","14/11/2018","8:15:14 pm","0:00:01"
"Instagram","14/11/2018","8:11:52 pm","0:03:22"
"Phone Manager","14/11/2018","8:11:51 pm","0:00:01"
"Huawei Home","14/11/2018","8:11:50 pm","0:00:01"
"WhatsApp","14/11/2018","8:11:24 pm","0:00:27"
"Huawei Home","14/11/2018","8:11:16 pm","0:00:07"
"Screen on (unlocked)","14/11/2018","8:11:16 pm","0:00:01"
"Screen off","14/11/2018","8:11:15 pm","0:00:01"
"Screen off (locked)","14/11/2018","8:05:34 pm","0:05:41"
"Huawei Home","14/11/2018","8:05:30 pm","0:00:04"
"WhatsApp","14/11/2018","8:05:27 pm","0:00:03"
"System UI","14/11/2018","8:05:26 pm","0:00:01"
"App Usage","14/11/2018","8:05:22 pm","0:00:04"
"System UI","14/11/2018","8:05:21 pm","0:00:01"
"WhatsApp","14/11/2018","8:05:13 pm","0:00:08"
"App Usage","14/11/2018","8:05:06 pm","0:00:07"
"Package installer","14/11/2018","8:05:01 pm","0:00:04"
"App Usage","14/11/2018","8:04:59 pm","0:00:02"
"System UI","14/11/2018","8:04:54 pm","0:00:05"
"App Usage","14/11/2018","8:04:08 pm","0:00:46"
"Huawei Home","14/11/2018","8:04:02 pm","0:00:06"
"WhatsApp","14/11/2018","8:03:41 pm","0:00:21"
"Phone Manager","14/11/2018","8:03:40 pm","0:00:01"
"Huawei Home","14/11/2018","8:03:37 pm","0:00:03"
"Screen on (unlocked)","14/11/2018","8:03:36 pm","0:00:02"
"Screen on (locked)","14/11/2018","8:03:28 pm","0:00:08"
"Screen off (locked)","14/11/2018","8:01:47 pm","0:01:41"
"Screen on (locked)","14/11/2018","8:01:45 pm","0:00:02"
"Screen off (locked)","14/11/2018","8:00:36 pm","0:01:09"
"Huawei Home","14/11/2018","8:00:33 pm","0:00:03"
"Screen on (unlocked)","14/11/2018","8:00:32 pm","0:00:01"
"Screen off","14/11/2018","8:00:32 pm","0:00:00"
