"App name","Date","Time","Duration"
"App Usage","14/11/18","5:56:34 PM","0:00:00"
"System launcher","14/11/18","5:56:18 PM","0:00:16"
"App Usage","14/11/18","5:55:33 PM","0:00:45"
"App Usage","14/11/18","5:55:04 PM","0:00:13"
"Gmail","14/11/18","5:53:07 PM","0:01:57"
"App Usage","14/11/18","5:52:32 PM","0:00:33"
"Package installer","14/11/18","5:52:30 PM","0:00:01"
"App Usage","14/11/18","5:51:39 PM","0:00:51"
"Screen on (unlocked)","14/11/18","5:51:39 PM","0:00:00"
"Screen on (locked)","14/11/18","5:51:31 PM","0:00:08"
"Screen off (locked)","14/11/18","5:51:29 PM","0:00:02"
"App Usage","14/11/18","5:50:50 PM","0:00:39"
"System launcher","14/11/18","5:50:45 PM","0:00:05"
"App Usage","14/11/18","5:49:58 PM","0:00:47"
"Settings","14/11/18","5:49:55 PM","0:00:03"
"App Usage","14/11/18","5:49:51 PM","0:00:04"
"System launcher","14/11/18","5:49:25 PM","0:00:27"
"Screen on (unlocked)","14/11/18","5:49:24 PM","0:00:01"
"Screen off (locked)","14/11/18","4:27:40 PM","1:21:44"
"InCallUI","14/11/18","4:26:47 PM","0:00:53"
"Screen on (unlocked)","14/11/18","4:26:46 PM","0:00:01"
"Screen off (locked)","14/11/18","4:24:21 PM","0:02:25"
"System launcher","14/11/18","4:24:21 PM","0:00:00"
"InCallUI","14/11/18","4:24:01 PM","0:00:20"
"Screen on (unlocked)","14/11/18","4:24:01 PM","0:00:01"
"Screen off (locked)","14/11/18","4:04:04 PM","0:19:57"
"System launcher","14/11/18","4:04:03 PM","0:00:01"
"WhatsApp","14/11/18","4:03:42 PM","0:00:21"
"System launcher","14/11/18","4:03:41 PM","0:00:01"
"Screen on (unlocked)","14/11/18","4:03:41 PM","0:00:01"
"Screen off (locked)","14/11/18","4:03:24 PM","0:00:17"
"System launcher","14/11/18","4:03:24 PM","0:00:00"
"InCallUI","14/11/18","4:01:47 PM","0:01:37"
"Screen on (unlocked)","14/11/18","4:01:46 PM","0:00:01"
"Screen off (locked)","14/11/18","3:49:00 PM","0:12:47"
"System launcher","14/11/18","3:48:59 PM","0:00:01"
"WhatsApp","14/11/18","3:48:21 PM","0:00:37"
"System launcher","14/11/18","3:48:20 PM","0:00:02"
"InCallUI","14/11/18","3:48:05 PM","0:00:15"
"Screen on (unlocked)","14/11/18","3:48:04 PM","0:00:01"
"Screen off (locked)","14/11/18","3:47:38 PM","0:00:27"
"System launcher","14/11/18","3:47:37 PM","0:00:01"
"WhatsApp","14/11/18","3:46:35 PM","0:01:02"
"System launcher","14/11/18","3:46:34 PM","0:00:01"
"Screen on (unlocked)","14/11/18","3:46:34 PM","0:00:01"
"Screen off (locked)","14/11/18","3:45:44 PM","0:00:50"
"System launcher","14/11/18","3:45:42 PM","0:00:02"
"WhatsApp","14/11/18","3:44:37 PM","0:01:04"
"Screen on (unlocked)","14/11/18","3:44:37 PM","0:00:01"
"Screen off (locked)","14/11/18","3:43:40 PM","0:00:57"
"WhatsApp","14/11/18","3:43:39 PM","0:00:01"
"System launcher","14/11/18","3:43:39 PM","0:00:00"
"WhatsApp","14/11/18","3:43:13 PM","0:00:26"
"Screen on (unlocked)","14/11/18","3:43:12 PM","0:00:01"
"Screen off (locked)","14/11/18","3:42:36 PM","0:00:36"
"WhatsApp","14/11/18","3:40:55 PM","0:01:41"
"Screen on (unlocked)","14/11/18","3:40:55 PM","0:00:01"
"Screen off (locked)","14/11/18","3:40:18 PM","0:00:36"
"WhatsApp","14/11/18","3:38:20 PM","0:01:59"
"System launcher","14/11/18","3:38:13 PM","0:00:07"
"WhatsApp","14/11/18","3:38:04 PM","0:00:09"
"System launcher","14/11/18","3:38:03 PM","0:00:01"
"Settings","14/11/18","3:38:02 PM","0:00:01"
"System launcher","14/11/18","3:38:01 PM","0:00:02"
"Screen on (unlocked)","14/11/18","3:38:00 PM","0:00:01"
"Screen off (locked)","14/11/18","3:36:07 PM","0:01:53"
"System launcher","14/11/18","3:35:34 PM","0:00:34"
"WhatsApp","14/11/18","3:35:31 PM","0:00:03"
"System launcher","14/11/18","3:35:31 PM","0:00:00"
"WhatsApp","14/11/18","3:35:10 PM","0:00:21"
"System launcher","14/11/18","3:35:06 PM","0:00:04"
"Screen on (unlocked)","14/11/18","3:35:06 PM","0:00:01"
"Screen off (locked)","14/11/18","3:34:06 PM","0:00:59"
"System launcher","14/11/18","3:34:03 PM","0:00:03"
"WhatsApp","14/11/18","3:33:29 PM","0:00:34"
"System launcher","14/11/18","3:33:27 PM","0:00:02"
"Screen on (unlocked)","14/11/18","3:33:27 PM","0:00:01"
"Screen off (locked)","14/11/18","3:26:52 PM","0:06:34"
"System launcher","14/11/18","3:26:51 PM","0:00:01"
"WhatsApp","14/11/18","3:26:44 PM","0:00:07"
"System launcher","14/11/18","3:26:43 PM","0:00:01"
"Screen on (unlocked)","14/11/18","3:26:43 PM","0:00:01"
"Screen off (locked)","14/11/18","3:26:38 PM","0:00:05"
"System launcher","14/11/18","3:26:37 PM","0:00:01"
"WhatsApp","14/11/18","3:26:34 PM","0:00:03"
"System launcher","14/11/18","3:26:32 PM","0:00:02"
"Hotstar","14/11/18","3:26:29 PM","0:00:04"
"System UI","14/11/18","3:26:28 PM","0:00:01"
"WhatsApp","14/11/18","3:26:21 PM","0:00:07"
"System UI","14/11/18","3:26:20 PM","0:00:01"
"Hotstar","14/11/18","3:26:17 PM","0:00:03"
"System UI","14/11/18","3:26:16 PM","0:00:01"
"WhatsApp","14/11/18","3:26:05 PM","0:00:12"
"System launcher","14/11/18","3:26:04 PM","0:00:01"
"Hotstar","14/11/18","3:25:45 PM","0:00:19"
"System launcher","14/11/18","3:25:43 PM","0:00:02"
"WhatsApp","14/11/18","3:24:56 PM","0:00:46"
"System launcher","14/11/18","3:24:55 PM","0:00:01"
"Screen on (unlocked)","14/11/18","3:24:55 PM","0:00:01"
"Screen off (locked)","14/11/18","3:20:31 PM","0:04:23"
"System launcher","14/11/18","3:20:30 PM","0:00:01"
"System UI","14/11/18","3:20:30 PM","0:00:00"
"Camera","14/11/18","3:20:27 PM","0:00:03"
"System launcher","14/11/18","3:20:26 PM","0:00:01"
"Screen on (unlocked)","14/11/18","3:20:25 PM","0:00:01"
"Screen off (locked)","14/11/18","3:18:13 PM","0:02:12"
"System launcher","14/11/18","3:18:11 PM","0:00:02"
"System UI","14/11/18","3:18:09 PM","0:00:02"
"Browser","14/11/18","3:18:08 PM","0:00:02"
"System launcher","14/11/18","3:18:07 PM","0:00:00"
"System UI","14/11/18","3:18:07 PM","0:00:00"
"Browser","14/11/18","3:18:06 PM","0:00:01"
"System launcher","14/11/18","3:18:02 PM","0:00:03"
"Screen on (unlocked)","14/11/18","3:18:02 PM","0:00:01"
"Screen off (locked)","14/11/18","2:57:26 PM","0:20:36"
"System launcher","14/11/18","2:57:24 PM","0:00:01"
"WhatsApp","14/11/18","2:57:08 PM","0:00:16"
"System launcher","14/11/18","2:57:07 PM","0:00:01"
"Screen on (unlocked)","14/11/18","2:57:06 PM","0:00:01"
"Screen off (locked)","14/11/18","2:48:21 PM","0:08:45"
"System launcher","14/11/18","2:48:18 PM","0:00:03"
"WhatsApp","14/11/18","2:48:16 PM","0:00:02"
"System launcher","14/11/18","2:48:15 PM","0:00:01"
"Screen on (unlocked)","14/11/18","2:48:14 PM","0:00:01"
"Screen off (locked)","14/11/18","2:27:45 PM","0:20:30"
"System launcher","14/11/18","2:27:43 PM","0:00:02"
"WhatsApp","14/11/18","2:26:36 PM","0:01:07"
"System UI","14/11/18","2:26:35 PM","0:00:01"
"Hotstar","14/11/18","2:26:32 PM","0:00:04"
"System UI","14/11/18","2:26:31 PM","0:00:01"
"WhatsApp","14/11/18","2:26:11 PM","0:00:20"
"System launcher","14/11/18","2:26:10 PM","0:00:01"
"Hotstar","14/11/18","2:25:57 PM","0:00:13"
"InCallUI","14/11/18","2:25:56 PM","0:00:00"
"Truecaller","14/11/18","2:25:54 PM","0:00:03"
"Yellow pages","14/11/18","2:25:51 PM","0:00:03"
"Truecaller","14/11/18","2:25:50 PM","0:00:01"
"InCallUI","14/11/18","2:25:32 PM","0:00:18"
"Hotstar","14/11/18","2:23:23 PM","0:02:10"
"System UI","14/11/18","2:23:21 PM","0:00:02"
"System launcher","14/11/18","2:23:18 PM","0:00:02"
"Hotstar","14/11/18","2:23:06 PM","0:00:12"
"Screen on (unlocked)","14/11/18","2:23:06 PM","0:00:01"
"Screen off (locked)","14/11/18","2:23:04 PM","0:00:02"
"Hotstar","14/11/18","2:21:51 PM","0:01:13"
"System launcher","14/11/18","2:21:49 PM","0:00:01"
"Drive","14/11/18","2:21:48 PM","0:00:01"
"Screen on (unlocked)","14/11/18","2:21:48 PM","0:00:01"
"Screen off (locked)","14/11/18","2:19:51 PM","0:01:57"
"Drive","14/11/18","2:19:48 PM","0:00:03"
"Screen on (unlocked)","14/11/18","2:19:47 PM","0:00:01"
"Screen off (locked)","14/11/18","2:19:45 PM","0:00:03"
"Drive","14/11/18","2:17:54 PM","0:01:50"
"Screen on (unlocked)","14/11/18","2:17:53 PM","0:00:01"
"Screen off (locked)","14/11/18","2:16:31 PM","0:01:23"
"Drive","14/11/18","2:15:33 PM","0:00:58"
"Screen on (unlocked)","14/11/18","2:15:33 PM","0:00:01"
"Screen off (locked)","14/11/18","2:14:12 PM","0:01:21"
"Drive","14/11/18","2:10:52 PM","0:03:20"
"WhatsApp","14/11/18","2:10:23 PM","0:00:29"
"System launcher","14/11/18","2:10:17 PM","0:00:06"
"Screen on (unlocked)","14/11/18","2:10:17 PM","0:00:01"
"Screen off (locked)","14/11/18","2:06:18 PM","0:03:59"
"System launcher","14/11/18","2:06:17 PM","0:00:01"
"WhatsApp","14/11/18","2:06:02 PM","0:00:14"
