20,Google,0:2:47
20,Instagram,0:25:59
20,Pinterest,0:4:9
20,DAWebmail,0:0:40
20,YouTube,0:8:48
20,Snapchat,0:17:33
20,Amazon Shopping,0:06:14
20,Messaging,0:0:12
20,WhatsApp,0:21:53
20,InCallUI,0:3:34
21,Google,0:3:55
21,Instagram,0:40:30
21,YouTube,2:10:47
21,Snapchat,0:18:26
21,WhatsApp,0:21:22
21,InCallUI,0:12:22
22,Google,0:5:19
22,Instagram,0:1:35
22,DAWebmail,0:01:11
22,YouTube,0:15:16
22,Snapchat,0:20:6
22,Lite,0:03:25
22,WhatsApp,1:18:50
22,InCallUI,0:0:7
23,WhatsApp,0:58:28
23,Google,0:00:30
23,Instagram,0:13:16
23,Snapchat,0:9:37
23,InCallUI,0:1:9
1,WhatsApp,0:2:57
0,WhatsApp,0:25:20
0,Instagram,0:2:1
0,Snapchat,0:00:11
0,InCallUI,0:00:14
3,WhatsApp,0:4:29
5,Instagram,0:02:16
4,Messaging,0:0:12
4,WhatsApp,0:10:52
4,Instagram,0:12:26
4,Snapchat,0:1:15
7,Google,0:5:16
7,Instagram,0:8:47
7,Pinterest,0:05:32
7,DAWebmail,0:00:28
7,YouTube,0:00:23
7,Snapchat,0:10:8
7,Lite,0:01:17
7,WhatsApp,0:13:21
7,InCallUI,0:6:27
6,Messaging,0:00:01
6,WhatsApp,0:5:45
6,YouTube,0:00:15
6,Instagram,0:4:56
6,Snapchat,0:1:41
9,Google,0:21:2
9,Instagram,0:5:46
9,DAWebmail,0:0:4
9,YouTube,0:25:43
9,Snapchat,0:12:35
9,WhatsApp,0:19:12
9,InCallUI,0:0:14
8,Google,0:26:3
8,Instagram,0:15:14
8,DAWebmail,0:00:06
8,YouTube,0:33:12
8,Snapchat,0:3:37
8,Messaging,0:00:01
8,WhatsApp,0:13:38
8,InCallUI,0:1:4
11,Google,0:13:5
11,Instagram,0:9:37
11,YouTube,1:33:40
11,Snapchat,0:3:5
11,WhatsApp,0:50:57
11,InCallUI,0:0:54
10,Google,0:29:52
10,Instagram,0:22:48
10,DAWebmail,0:01:14
10,YouTube,0:51:49
10,Snapchat,0:4:11
10,Psych!,0:2:23
10,Messaging,0:00:03
10,WhatsApp,0:6:4
13,Google,0:11:34
13,Instagram,0:16:51
13,DAWebmail,0:00:15
13,YouTube,0:03:55
13,Snapchat,0:9:39
13,Amazon Shopping,0:8:54
13,Messaging,0:00:02
13,WhatsApp,0:24:38
13,InCallUI,0:2:2
12,Google,0:16:30
12,Instagram,0:12:3
12,YouTube,0:30:1
12,Snapchat,0:3:47
12,WhatsApp,0:30:18
12,InCallUI,0:1:40
15,Google,0:5:7
15,Instagram,0:02:09
15,Pinterest,0:3:21
15,YouTube,0:4:39
15,Snapchat,0:5:20
15,Amazon Shopping,0:02:40
15,Messaging,0:00:06
15,WhatsApp,0:12:23
15,InCallUI,0:1:47
14,Google,0:1:26
14,Instagram,0:30:16
14,Prime Video,0:01:39
14,DAWebmail,0:00:09
14,YouTube,0:31:51
14,Snapchat,0:2:12
14,Lite,0:00:50
14,Messaging,0:0:3
14,WhatsApp,0:24:40
14,InCallUI,0:10:18
17,Google,0:0:10
17,Instagram,0:4:35
17,Pinterest,0:9:39
17,YouTube,0:17:24
17,Snapchat,0:3:22
17,Psych!,0:00:02
17,WhatsApp,0:8:49
17,InCallUI,0:7:8
17,Gmail,0:00:22
16,Hotstar,0:00:01
16,Google,0:15:59
16,Instagram,0:6:13
16,Pinterest,0:03:09
16,YouTube,1:13:19
16,Snapchat,0:10:3
16,WhatsApp,0:23:27
16,InCallUI,0:8:24
19,Hotstar,0:00:34
19,Google,0:1:55
19,Instagram,0:15:27
19,DAWebmail,0:00:07
19,Snapchat,0:24:28
19,Bitmoji,0:9:33
19,Messaging,0:00:01
19,WhatsApp,0:52:15
19,Gmail,0:1:45
19,InCallUI,0:1:31
18,Hotstar,0:04:24
18,Google,0:2:34
18,Instagram,0:21:41
18,DAWebmail,0:00:20
18,YouTube,1:1:45
18,Snapchat,0:14:37
18,Amazon Shopping,0:07:51
18,Messaging,0:0:25
18,Bitmoji,0:2:52
18,WhatsApp,0:38:5
18,InCallUI,0:1:7
20,Google,0:2:51
20,Instagram,0:53:45
20,Pinterest,0:4:9
20,DAWebmail,0:0:40
20,Contacts,0:8:14
20,YouTube,0:11:26
20,Snapchat,0:17:33
20,Amazon Shopping,0:06:14
20,E-mail,0:0:2
20,Call management,0:0:7
20,Lite,0:0:35
20,Messaging,0:2:45
20,WhatsApp,1:24:53
20,Gmail,0:4:48
20,Slack,0:7:56
20,InCallUI,0:3:34
21,Google,0:3:59
21,Instagram,1:31:14
21,Contacts,0:15:53
21,YouTube,2:10:47
21,Snapchat,0:18:26
21,Call management,0:0:5
21,Lite,0:6:3
21,Messaging,0:3:43
21,WhatsApp,1:14:15
21,Gmail,0:8:36
21,Slack,0:2:2
21,InCallUI,0:12:22
22,Google,0:8:42
22,Instagram,0:35:26
22,Contacts,0:8:3
22,DAWebmail,0:01:11
22,YouTube,0:15:16
22,Snapchat,0:20:6
22,Call management,0:0:2
22,Lite,0:11:57
22,Messaging,0:2:29
22,WhatsApp,1:51:9
22,Gmail,0:1:22
22,Slack,0:2:44
22,InCallUI,0:0:7
23,Google,0:00:30
23,Instagram,2:4:15
23,Contacts,0:5:5
23,YouTube,1:27:42
