"App name","Usage time","Access count"
"Call screen","22:28:05","1697"
"WhatsApp","16:22:29","1456"
"Instagram","13:57:44","589"
"YouTube","7:41:55","70"
"Home & app drawer","7:09:21","3935"
"Chrome","4:35:27","361"
"Contacts","4:26:16","1397"
"Maps","2:51:41","132"
"Shutdown Monitor","1:52:00","5"
"Fruits Drawing Book & Coloring Book","1:34:25","32"
"Opera Mini","1:29:59","12"
"Paytm","1:26:43","160"
"Lite","1:20:01","89"
"System UI","1:12:57","1731"
"MakeMyTrip","1:01:49","69"
"Gallery","0:57:40","136"
"Slack","0:56:33","86"
"Gmail","0:51:26","80"
"QuickMemo+","0:50:37","181"
"Google Pay","0:44:25","99"
"Calculator","0:37:46","45"
"Truecaller","0:37:41","359"
"Drive","0:36:54","71"
"Messaging","0:30:04","135"
"Camera","0:29:52","98"
"IRCTC Rail Connect","0:24:31","38"
"inshorts","0:24:02","34"
"OlaCabs","0:23:00","30"
"SIM Toolkit","0:20:52","1"
"JioMusic","0:13:34","43"
"MyJio","0:11:22","9"
"Google Play services","0:07:20","27"
"App Usage","0:07:14","16"
"Google Play Store","0:07:10","28"
"Clock","0:05:41","41"
"Wi-Fi","0:05:39","37"
"BHIM","0:05:38","6"
"Network","0:05:11","11"
"Video","0:04:47","23"
"Google","0:04:28","25"
"Settings","0:04:10","47"
"Cyberoam iAccess","0:03:43","50"
"Documents","0:03:18","22"
"Unfollowers","0:02:48","3"
"SHAREit","0:02:20","3"
"Docs","0:02:12","3"
"AppLock","0:01:54","6"
"Calendar","0:01:53","5"
"Uber Lite","0:01:49","1"
"CaptivePortalLogin","0:01:16","17"
"Music","0:01:06","4"
"Package installer","0:01:04","13"
"Call management","0:00:52","77"
"Bluetooth","0:00:28","2"
"Weather","0:00:23","4"
"Sheets","0:00:16","1"
"File Manager","0:00:13","11"
"App Updates","0:00:07","2"
"com.lge.icecontacts","0:00:06","3"
"Cell Broadcast","0:00:04","4"
"E-mail","0:00:02","2"
"LG Keyboard","0:00:01","1"
"Downloads","0:00:01","1"
""
"Date","Usage time"
"13/11/2018","2:52:39"
"12/11/2018","4:33:43"
"11/11/2018","5:34:04"
"10/11/2018","4:33:36"
"09/11/2018","4:16:36"
"08/11/2018","6:12:16"
"07/11/2018","4:01:45"
"06/11/2018","4:06:18"
"05/11/2018","2:47:37"
"04/11/2018","1:41:21"
"03/11/2018","5:54:54"
"02/11/2018","4:41:08"
"01/11/2018","9:11:12"
"31/10/2018","5:11:59"
"30/10/2018","3:28:06"
"29/10/2018","6:39:56"
"28/10/2018","4:48:09"
"27/10/2018","5:06:02"
"26/10/2018","9:19:12"
"25/10/2018","5:03:49"
""
"Usage history, 13 November 2018 - 25 October 2018"
"Created by App Usage on Tuesday, 13 November 2018, 7:28 pm"
