"App name","Usage time","Access count"
"Instagram","4:04:16","93"
"PUBG MOBILE","3:32:16","9"
"Huawei Home","0:53:01","370"
"Chrome","0:49:28","34"
"MX Player","0:34:00","2"
"WhatsApp","0:29:29","70"
"Docs","0:18:38","11"
"Settings","0:10:27","34"
"FitIncluded","0:08:59","21"
"Phone Manager","0:07:09","144"
"Gmail","0:06:46","11"
"Gaana","0:06:30","14"
"Dialler","0:06:26","52"
"Clock","0:05:32","9"
"App Usage","0:05:09","13"
"Gallery","0:04:14","5"
"Contacts","0:03:59","36"
"System UI","0:02:32","103"
"Calculator","0:01:38","3"
"Google Play Store","0:01:19","3"
"Google","0:01:18","4"
"Camera","0:01:12","1"
"System update","0:00:53","2"
"Cyberoam iAccess","0:00:42","18"
"YouTube","0:00:25","1"
"Package installer","0:00:13","4"
"Phone","0:00:02","1"
"Call Management","0:00:01","1"
"Google Play services","0:00:01","1"
"ES File Explorer","0:00:00","3"
""
"Date","Usage time"
"14/11/2018","2:15:04"
"13/11/2018","0:22:54"
"02/11/2018","3:34:58"
"01/11/2018","3:12:46"
"31/10/2018","2:30:50"
""
"Usage history, 14 November 2018 - 29 October 2018"
"Created by App Usage on Wednesday, 14 November 2018, 9:43 pm"
