"App name","Usage time","Access count"
"WhatsApp","19:12:36","949"
"Instagram","18:49:04","390"
"Chrome","17:49:38","315"
"YouTube","17:29:53","69"
"TouchWiz home","6:26:00","1889"
"SonyLIV","3:20:43","14"
"Maps","2:18:59","49"
"Gmail","1:02:45","51"
"Contacts","1:01:01","228"
"Paytm","0:44:34","28"
"Words Story","0:43:32","1"
"Drive","0:42:30","58"
"Clock","0:41:44","123"
"Messages","0:40:13","111"
"Phone","0:37:27","384"
"System UI","0:37:01","1543"
"Video","0:34:46","58"
"Word","0:31:44","27"
"Settings","0:29:47","49"
"My Files","0:29:05","132"
"Gallery","0:26:33","146"
"Google Play Store","0:25:18","21"
"CamScanner","0:23:25","5"
"Memo","0:21:20","12"
"Photos","0:20:09","7"
"Google","0:17:19","12"
"Voice Recorder","0:10:13","82"
"Google Play Music","0:09:55","28"
"Perfect Piano","0:09:22","3"
"Amazon Alexa","0:09:19","6"
"Wynk Music","0:07:56","20"
"Anime Quotes","0:05:47","2"
"App Usage","0:05:46","23"
"Camera","0:04:27","16"
"Google Play services","0:04:10","20"
"Samsung Internet","0:03:23","10"
"Photo Editor","0:03:13","11"
"Uber","0:03:12","3"
"S Planner","0:03:03","2"
"Launcher","0:02:58","58"
"TeamViewer","0:02:42","6"
"HolaVPN","0:02:35","15"
"Calculator","0:02:28","1"
"Cyberoam iAccess","0:02:04","15"
"SIM card manager","0:01:53","8"
"Phone","0:01:30","10"
"GuitarTuna","0:01:22","4"
"Package installer","0:01:13","17"
"Hola Fake GPS","0:00:48","7"
"Samsung Pay mini","0:00:47","7"
"Documents","0:00:32","8"
"Photo Editor","0:00:20","2"
"Print Spooler","0:00:10","2"
"Phone","0:00:06","4"
"English Gujarati Dictionary","0:00:05","4"
"VpnDialogs","0:00:03","1"
"Smart Manager","0:00:02","2"
"Galaxy Apps","0:00:01","1"
"Samsung text-to-speech engine","0:00:01","1"
""
"Date","Usage time"
"14/11/2018","2:06:32"
"13/11/2018","4:03:26"
"12/11/2018","4:48:20"
"11/11/2018","5:23:43"
"10/11/2018","7:35:36"
"09/11/2018","4:03:42"
"08/11/2018","3:01:51"
"07/11/2018","5:51:35"
"06/11/2018","5:40:23"
"05/11/2018","5:31:28"
"04/11/2018","3:25:44"
"03/11/2018","3:51:58"
"02/11/2018","2:35:58"
"01/11/2018","7:30:42"
"31/10/2018","6:56:33"
"30/10/2018","5:13:52"
"29/10/2018","6:01:12"
"28/10/2018","1:29:00"
"27/10/2018","2:35:24"
"26/10/2018","7:19:10"
"25/10/2018","3:12:24"
""
"Usage history, 14 November 2018 - 25 October 2018"
"Created by App Usage on Wednesday, 14 November 2018, 1:15 p.m."
