"App name","Usage time","Access count"
"Instagram","40:00:14","1512"
"WhatsApp","18:44:43","2134"
"YouTube","13:24:34","177"
"OnePlus Launcher","6:43:36","6533"
"Chrome","3:30:50","276"
"Phone","3:15:06","1967"
"Gallery","2:58:17","225"
"TikTok","2:52:31","40"
"Drive","2:09:25","172"
"Tinder","1:57:18","159"
"Maps","1:50:59","121"
"IRCTC Rail Connect","1:22:52","141"
"Spotify","1:16:46","259"
"Docs","0:58:05","62"
"Sheets","0:57:26","65"
"Gmail","0:55:33","187"
"Saavn","0:51:37","116"
"Camera","0:43:56","76"
"Contacts","0:38:37","383"
"Amazon Kindle","0:37:32","6"
"Facebook","0:37:13","40"
"File Manager","0:35:23","195"
"Whats On India","0:32:32","4"
"Notes","0:26:40","42"
"NTES","0:24:47","68"
"Slack","0:24:07","74"
"Uber Eats","0:21:22","25"
"Faasos","0:20:38","11"
"Clock","0:16:59","98"
"Settings","0:16:41","82"
"Messages","0:14:06","56"
"App Usage","0:11:50","33"
" StorySaver","0:10:45","40"
"Photos","0:10:09","16"
"Google Play Store","0:10:01","33"
"Cyberoam iAccess","0:09:47","188"
"OlaCabs","0:09:44","27"
"Paytm","0:08:59","32"
"Uber","0:08:45","25"
"Quora","0:07:15","12"
"System Update","0:06:28","11"
"Calculator","0:06:08","14"
"Old School RuneScape","0:05:25","4"
"WPS Office","0:05:07","26"
"LHD","0:04:39","10"
"Turbo VPN","0:04:32","7"
"Sensor_Data","0:04:21","66"
"QualityTime","0:04:15","6"
"Jabong","0:04:05","3"
"Truecaller","0:04:03","85"
"OneNote","0:03:07","8"
"TunnelBear","0:02:45","1"
"Google Opinion Rewards","0:02:40","9"
"Zomato","0:02:36","7"
"App Usage Tracker","0:02:25","18"
"Files","0:02:12","39"
"Telegram","0:01:48","1"
"Google Play services","0:01:48","13"
"MyJio","0:01:44","3"
"Settings Suggestions","0:01:43","14"
"Package installer","0:01:27","35"
"YourHour","0:01:06","1"
"UnFollow","0:01:02","2"
"Pinterest","0:00:55","5"
"Order","0:00:49","1"
"Usage Analyzer","0:00:49","3"
"Phone Services","0:00:39","4"
"CPU-Z","0:00:34","3"
"System UI","0:00:31","19"
"La Pino'z","0:00:31","2"
"StayFree","0:00:25","2"
"foodpanda","0:00:25","2"
"Instant DP Downloader","0:00:24","1"
"YONO by SBI","0:00:23","1"
"PhoneUseFree","0:00:22","2"
"LIKE","0:00:22","11"
"Unfollow Pro for Instagram","0:00:20","1"
"Weather","0:00:19","3"
"Home","0:00:19","2"
"Usage Time","0:00:12","1"
"Call Management","0:00:10","24"
"Print Spooler","0:00:06","1"
"Messenger","0:00:05","2"
"com.oneplus.wifiapsettings","0:00:05","3"
"Prime Video","0:00:04","1"
"IRCTC Air","0:00:03","2"
"Calendar","0:00:02","2"
"Myntra","0:00:02","1"
"Coding Schedule","0:00:01","2"
"Google","0:00:01","1"
"Google Play Movies & TV","0:00:01","1"
"CaptivePortalLogin","0:00:01","1"
"Compass 360 Pro","0:00:01","1"
""
"Date","Usage time"
"11/13/18","3:16:49"
"11/12/18","5:05:23"
"11/11/18","6:26:14"
"11/10/18","4:43:02"
"11/9/18","3:49:42"
"11/8/18","5:38:13"
"11/7/18","5:40:07"
"11/6/18","7:29:35"
"11/5/18","7:23:45"
"11/4/18","5:36:44"
"11/3/18","4:24:43"
"11/2/18","5:10:25"
"11/1/18","4:24:11"
"10/31/18","6:57:11"
"10/30/18","0:27:57"
"10/29/18","4:45:14"
"10/28/18","5:38:54"
"10/27/18","2:48:18"
"10/26/18","4:11:20"
"10/25/18","3:46:25"
"10/24/18","5:26:59"
"10/23/18","5:03:13"
"10/22/18","4:57:46"
""
"Usage history, November 13, 2018 - October 22, 2018"
"Created by App Usage on Tuesday, November 13, 2018, 7:28 PM"
