"App name","Usage time","Access count"
"Instagram","10:14:43","346"
"WhatsApp","9:38:38","854"
"Drive","5:53:43","165"
"PUBG MOBILE","3:58:04","37"
"WPS Office","3:33:53","87"
"InCallUI","3:33:24","335"
"Browser","3:04:39","139"
"System launcher","2:51:14","2755"
"Saavn","1:59:28","374"
"YouTube","1:33:23","36"
"Clash Royale","1:27:55","10"
"Clock","1:19:51","127"
"hike","1:12:24","72"
"Chrome","1:10:25","90"
"CamScanner","1:00:12","24"
"LinkedIn","0:57:31","41"
"Paytm","0:52:29","51"
"Gallery","0:50:04","54"
"Quora","0:45:02","12"
"Facebook","0:43:32","58"
"Snapchat","0:38:31","21"
"Google Play Store","0:36:52","57"
"DAWebmail","0:32:02","132"
"Gmail","0:30:48","91"
"MX Player","0:29:34","26"
"Contacts and dialer","0:27:46","355"
"Maps","0:23:38","25"
"Google Play Music","0:23:28","47"
"Recorder","0:20:34","22"
"Oxford Dictionary of English","0:18:27","50"
"App Usage","0:17:45","28"
"Settings","0:17:11","90"
"Domino's","0:16:20","17"
"Messaging","0:15:51","63"
"Mi Remote","0:15:07","6"
"Word","0:13:44","28"
"System UI","0:13:22","362"
"Camera","0:11:07","30"
"Stay Focused","0:10:32","62"
"File Manager","0:09:07","53"
"Notes","0:08:34","10"
"Messenger","0:07:51","16"
"Flipkart","0:07:14","7"
"Xender","0:07:01","13"
"AppBlock","0:06:09","69"
"Google","0:05:24","14"
"Calculator","0:03:55","4"
"Notisave","0:03:36","6"
"Mi Video","0:03:32","6"
"Eagle Bus","0:03:19","9"
"Google Play services","0:02:52","11"
"Blast Balls Legend","0:02:38","22"
"Truecaller","0:02:36","94"
"Downloads","0:02:35","11"
"Security","0:02:10","12"
"Package installer","0:02:05","29"
"Package installer","0:02:04","68"
"Apps","0:02:00","4"
"Zomato","0:01:43","3"
"Limeroad","0:01:42","2"
"Amazon Shopping","0:01:35","1"
"Excel","0:01:34","2"
"Google Indic Keyboard","0:01:15","11"
"Calendar","0:00:51","1"
"MakeMyTrip","0:00:48","1"
"Phone Services","0:00:47","4"
"HTML Viewer","0:00:37","3"
"Mi Store","0:00:30","2"
"Cleaner","0:00:26","2"
"GeeksforGeeks","0:00:21","1"
"I-Fest Coordinator","0:00:20","1"
"Files","0:00:17","1"
"msa","0:00:16","10"
"Mindly","0:00:14","3"
"StickoText","0:00:13","6"
"Diwali Stickers","0:00:10","5"
"PowerPoint","0:00:10","2"
"Call Management","0:00:09","149"
"MyJio","0:00:07","5"
"Mi Drop","0:00:07","3"
"Mi Community","0:00:03","2"
"Follower Analyzer","0:00:03","1"
"GBike","0:00:02","3"
"Themes","0:00:02","1"
"Bluetooth","0:00:02","1"
"Lens","0:00:02","2"
"Conversations Legacy","0:00:01","1"
"Security Core Component","0:00:01","1"
"Google Text-to-speech engine","0:00:00","3"
""
"Date","Usage time"
"14/11/2018","5:07:19"
"13/11/2018","3:22:00"
"12/11/2018","4:29:56"
"11/11/2018","5:21:48"
"10/11/2018","3:49:08"
"09/11/2018","4:04:10"
"08/11/2018","3:18:34"
"07/11/2018","4:07:31"
"06/11/2018","4:59:29"
"05/11/2018","4:27:25"
"04/11/2018","4:55:57"
"03/11/2018","4:26:48"
"02/11/2018","5:25:06"
"01/11/2018","7:17:10"
""
"Usage history, 14 November 2018 - 1 November 2018"
"Created by App Usage on Wednesday, 14 November 2018, 22:20"
