"App name","Usage time","Access count"
"WhatsApp","29:03:18","1410"
"Clash Royale","24:52:34","324"
"Instagram","20:13:11","663"
"Phone","14:06:09","470"
"YouTube","9:52:59","109"
"Moto App Launcher","5:11:51","2562"
"Photos","3:09:48","73"
"Snapchat","2:47:08","149"
"Dead Target","2:04:46","14"
"Paytm","1:12:43","33"
"Chrome","1:10:55","67"
"Hi Security","1:05:05","158"
"Alarm Clock for Me","0:59:34","35"
"Gmail","0:56:57","85"
"Settings","0:33:55","93"
"Google","0:33:36","78"
"System UI","0:32:06","819"
"WPS Office","0:29:06","47"
"Messages","0:25:11","100"
"Gaana","0:22:04","50"
"Uber Eats","0:18:53","11"
"App Usage","0:17:09","41"
"Cyberoam iAccess","0:16:39","138"
"Hotstar","0:14:39","10"
"Drive","0:14:20","17"
"Dream11","0:14:01","9"
"Xender","0:12:52","5"
"Maps","0:12:36","21"
"Google Play Store","0:12:32","26"
"Photo Locker","0:11:38","7"
"ixigo trains","0:11:11","11"
"hike","0:09:08","6"
"Swiggy","0:08:47","4"
"Flipkart","0:08:45","12"
"Camera","0:08:44","21"
"Facebook","0:08:18","15"
"Contacts","0:05:15","30"
"Motorola Update Services","0:04:06","28"
"Zomato","0:02:57","4"
"File Manager","0:02:51","6"
"Domino's","0:02:48","7"
"My Airtel","0:02:48","1"
"Gboard","0:02:41","5"
"Google Play services","0:02:38","13"
"Messenger","0:02:36","10"
"OlaCabs","0:02:36","3"
"StickoText","0:02:01","7"
"Sheets","0:01:45","5"
"Package installer","0:01:41","13"
"Phone Services","0:01:01","3"
"Moto Display","0:00:51","1"
"PowerPoint","0:00:49","1"
"PhotoDirector","0:00:42","2"
"Clock","0:00:40","2"
"Google Play Movies & TV","0:00:40","2"
"Dolby Atmos","0:00:37","2"
"TalkBack","0:00:33","7"
"QualityTime","0:00:32","4"
"Dual Sim Settings","0:00:31","1"
"Emergency information","0:00:28","4"
"Quora","0:00:27","1"
"Calculator","0:00:20","2"
"All in One sticker","0:00:19","5"
"SIM Toolkit","0:00:17","3"
"Moto","0:00:11","3"
"Calendar","0:00:09","2"
"Wallpapers","0:00:08","2"
"Google Play Music","0:00:07","2"
"Twitter","0:00:06","1"
"ExpertOption","0:00:06","2"
"MYBYK","0:00:05","1"
"Moto Actions","0:00:04","2"
"Call Management","0:00:04","3"
"Translate","0:00:02","1"
"Day To Day Expenses","0:00:01","1"
""
"Date","Usage time"
"11/13/18","6:55:54"
"11/12/18","6:40:37"
"11/11/18","6:26:02"
"11/10/18","6:17:27"
"11/9/18","2:06:10"
"11/8/18","4:09:07"
"11/7/18","1:51:59"
"11/6/18","4:49:37"
"11/5/18","2:39:39"
"11/4/18","4:40:29"
"11/3/18","3:33:17"
"11/2/18","4:09:00"
"11/1/18","7:28:52"
"10/31/18","7:22:22"
"10/30/18","5:11:53"
"10/29/18","5:54:25"
"10/28/18","4:31:16"
"10/27/18","4:44:50"
"10/26/18","6:37:00"
"10/25/18","9:29:30"
"10/24/18","5:35:42"
"10/23/18","3:46:37"
"10/22/18","8:47:52"
""
"Usage history, November 13, 2018 - October 22, 2018"
"Created by App Usage on Tuesday, November 13, 2018, 7:29 PM"
