"App name","Usage time","Access count"
"Instagram","41:16:21","341"
"Facebook","11:35:57","54"
"YouTube","7:13:36","26"
"WhatsApp","6:49:29","326"
"InCallUI","6:06:42","117"
"UC Browser","5:35:42","45"
"System launcher","4:03:44","1715"
"MX Player","2:25:15","12"
"Gallery","2:03:32","78"
"Drive","1:33:34","17"
"Security","1:14:52","826"
"Chrome","1:06:17","33"
"Camera","0:59:07","78"
"hike","0:38:33","8"
"Gmail","0:31:29","54"
"Google Play Store","0:28:32","26"
"PhotoScan","0:25:44","10"
"Files","0:21:15","2"
"Gaana","0:14:51","5"
"Contacts and dialer","0:12:07","98"
"File Manager","0:11:25","31"
"Maps","0:11:19","11"
"Word","0:10:47","2"
"Xender","0:10:17","4"
"App Usage","0:08:27","23"
"Settings","0:07:44","38"
"System UI","0:07:19","204"
"Clock","0:06:56","35"
"PicsArt","0:05:59","1"
"Calculator","0:05:40","2"
"Adobe Acrobat","0:05:09","1"
"Paytm","0:05:00","7"
"Photos","0:04:36","7"
"Messaging","0:03:49","19"
"Browser","0:03:48","22"
"WhatsApp Stickers","0:03:15","5"
"GuitarTuna","0:03:09","5"
"Hotspot Shield","0:02:54","18"
"Scanner","0:02:31","2"
"HTML Viewer","0:02:26","12"
"Cleaner","0:01:35","5"
"Personal stickers for WhatsApp","0:01:18","7"
"WordWeb","0:01:07","2"
"Mi Video","0:01:02","10"
"Truecaller","0:00:51","15"
"Messenger","0:00:45","1"
"Gboard","0:00:45","2"
"Package installer","0:00:43","12"
"Google Play services","0:00:28","3"
"Cyberoam iAccess","0:00:22","6"
"Themes","0:00:21","1"
"Assemble test","0:00:18","1"
"Updater","0:00:15","2"
"System app updater","0:00:11","2"
"Google","0:00:07","2"
"Myntra","0:00:07","2"
"Weather","0:00:04","1"
"Call Management","0:00:03","5"
"MyJio","0:00:02","1"
"Phone Services","0:00:01","1"
"Yellow pages","0:00:01","1"
""
"Date","Usage time"
"13/11/18","5:51:43"
"12/11/18","3:32:53"
"11/11/18","4:25:22"
"10/11/18","6:05:26"
"09/11/18","5:38:57"
"08/11/18","7:13:46"
"07/11/18","2:54:25"
"06/11/18","4:37:19"
"05/11/18","3:20:44"
"04/11/18","3:14:47"
"03/11/18","4:42:08"
"02/11/18","6:17:39"
"01/11/18","6:43:35"
"31/10/18","4:27:28"
"30/10/18","5:06:27"
"29/10/18","6:03:54"
"28/10/18","3:07:06"
"27/10/18","1:56:10"
"26/10/18","2:32:12"
"25/10/18","2:32:26"
"24/10/18","4:23:46"
"23/10/18","2:21:25"
""
"Usage history, 13 November 2018 - 23 October 2018"
"Created by App Usage on Tuesday 13 November 2018, 7:29 PM"
