"App name","Usage time","Access count"
"Phone","18:37:18","830"
"Trebuchet","17:48:20","2356"
"WhatsApp","14:43:40","796"
"YouTube","9:23:01","123"
"Paytm","8:42:50","361"
"Chrome","7:05:11","416"
"Instagram","6:02:50","278"
"Clock","4:01:10","72"
"Telegram","3:11:31","224"
"Gurbani Searcher","2:09:58","14"
"JioMusic","1:13:46","96"
"Microsoft Launcher","1:12:23","434"
"Gmail","1:07:10","79"
"Truecaller","1:06:30","132"
"Maps","1:04:53","71"
"Messages","0:58:08","104"
"inshorts","0:58:05","32"
"Gallery","0:57:15","62"
"System UI","0:56:22","1267"
"Google Play Store","0:44:54","73"
"Mall","0:39:17","23"
"Camera","0:38:22","35"
"PNR Confirmation Status","0:37:59","41"
"WePhone","0:33:39","38"
"OlaCabs","0:30:46","24"
"Settings","0:28:06","97"
"Zomato","0:27:04","22"
"Uber Eats","0:20:42","8"
"CM Browser","0:17:51","10"
"Sine Line","0:15:20","7"
"Ball Blast","0:15:19","7"
"Amazon Shopping","0:14:49","28"
"Calculator","0:13:15","21"
"CaptivePortalLogin","0:12:21","2"
"Drive","0:10:25","22"
"Quora","0:09:19","11"
"Keep","0:09:04","27"
"Cyberoam iAccess","0:07:31","42"
"foodpanda","0:06:50","13"
"ES File Explorer","0:06:17","34"
"redBus","0:06:16","5"
"Google Play services","0:06:05","18"
"Flipkart","0:05:55","6"
"2ndLine","0:05:51","18"
"Paytm","0:05:21","15"
"App Usage","0:04:47","11"
"Limeroad","0:04:46","11"
"Lite","0:04:34","4"
"ixigo trains","0:04:13","6"
"CamScanner","0:04:07","5"
"Contacts","0:04:06","23"
"Swiggy","0:03:33","4"
"My Cloud","0:03:32","5"
"Psiphon Pro","0:02:58","18"
"Uber","0:02:41","7"
"Google","0:02:31","15"
"foodpanda","0:02:26","2"
"Google Pay","0:02:17","5"
"AudioFX","0:02:13","4"
" StorySaver","0:02:12","5"
"Docs","0:02:01","3"
"Package installer","0:02:01","35"
"Snapchat","0:01:52","3"
"Recorder","0:01:50","14"
"FormsApp","0:01:45","4"
"Dropbox","0:01:43","4"
"WPS Office","0:01:43","1"
"Cymera","0:01:41","1"
"Call Management","0:01:30","3"
"Cyberoam iAccess","0:01:23","19"
"Calendar","0:01:20","6"
"HaikuJAM","0:01:19","1"
"tmw","0:01:15","1"
"Sheets","0:00:57","1"
"Fake Call","0:00:48","2"
"Project Treble","0:00:44","2"
"Where is my Train","0:00:41","1"
"Bacon Camera","0:00:35","1"
"Gitter","0:00:35","2"
"Zoom","0:00:27","2"
"Fing","0:00:26","2"
"LineageOS Settings","0:00:26","4"
"Speedify","0:00:23","1"
"Files","0:00:22","4"
"OYO","0:00:17","3"
"Neutrino+","0:00:06","1"
"Telegram","0:00:05","1"
"Home Workout","0:00:04","1"
"Messenger Lite","0:00:03","1"
"IRCTC Rail Connect","0:00:03","2"
"TextNow","0:00:02","1"
"Camera FV-5 Lite","0:00:02","1"
"Email","0:00:01","1"
""
"Date","Usage time"
"14/11/18","2:34:27"
"13/11/18","8:22:25"
"12/11/18","12:28:47"
"11/11/18","7:09:53"
"10/11/18","7:08:52"
"09/11/18","4:05:53"
"08/11/18","8:24:46"
"07/11/18","7:21:56"
"06/11/18","3:53:10"
"05/11/18","5:58:18"
"04/11/18","3:45:33"
"03/11/18","4:02:27"
"02/11/18","11:53:46"
"01/11/18","9:29:24"
"31/10/18","6:34:50"
"30/10/18","7:13:57"
""
"Usage history, 14 November 2018 - 30 October 2018"
"Created by App Usage on Wednesday 14 November 2018, 6:12 PM"
