"App name","Usage time","Access count"
"WhatsApp","60:41:58","1689"
"YouTube","22:28:04","236"
"Launcher3","19:02:35","4601"
"Chrome","12:57:33","416"
"Phone","6:22:30","560"
"Lite","6:05:54","149"
"Swiggy","3:31:39","88"
"Adobe Acrobat","1:57:06","72"
"Paytm","1:34:12","96"
"Maps","1:27:57","55"
"System UI","1:24:02","2270"
"Docs","1:03:56","43"
"DAWebmail","1:01:07","148"
"Photos","0:52:40","66"
"File Manager","0:44:59","39"
"Calculator","0:36:15","12"
"Clock","0:27:48","85"
"UC Browser","0:26:58","51"
"Calendar","0:26:27","13"
"redBus","0:25:06","21"
"Order","0:22:17","31"
"Easy English Dictionary","0:21:57","10"
"Google Play Store","0:20:00","38"
"Amazon Shopping","0:18:55","15"
"Flipkart","0:18:10","10"
"WiFi Mouse","0:17:52","21"
"Uber Eats","0:17:47","28"
"Messages","0:16:55","69"
"OlaCabs","0:16:16","12"
"JioMusic","0:15:42","31"
"Google","0:15:03","33"
"Gmail","0:14:55","23"
"Truecaller","0:14:21","153"
"Camera","0:13:32","22"
"PhonePe","0:11:27","9"
"Drive","0:09:35","26"
"Settings","0:09:35","59"
"Sheets","0:09:22","15"
"Tez","0:08:33","14"
"Domino's","0:06:57","7"
"Zomato","0:05:06","8"
"App Usage","0:04:58","15"
"Uber","0:04:34","6"
"AppLock","0:04:26","250"
"Google Play services","0:04:20","14"
"Dual Sim Settings","0:04:06","8"
"Duo","0:03:28","5"
"Hoxx VPN","0:03:05","14"
"MYBYK","0:02:55","3"
"PicsArt","0:02:51","7"
"Xender","0:02:30","1"
"Callbreak","0:02:15","2"
"Prime Video","0:01:47","2"
"Contacts","0:01:38","23"
"Wallpapers","0:01:09","5"
"Package installer","0:00:55","24"
"VLC","0:00:50","1"
"CaptivePortalLogin","0:00:44","21"
"VidMate","0:00:20","2"
"Motorola Update Services","0:00:13","2"
"Nfc Service","0:00:11","1"
"Phone Services","0:00:05","1"
"Avast Mobile Security","0:00:04","3"
"Google Play Music","0:00:03","1"
"Call Management","0:00:02","2"
"Moto","0:00:02","2"
"Moto Help","0:00:01","1"
"Mall","0:00:01","1"
"UCO mPassbook","0:00:01","1"
"Hotstar","0:00:01","1"
"SIM Toolkit","0:00:01","1"
""
"Date","Usage time"
"11/14/18","5:48:34"
"11/13/18","9:08:38"
"11/12/18","4:37:50"
"11/11/18","6:26:36"
"11/10/18","8:36:38"
"11/9/18","10:29:22"
"11/8/18","8:59:32"
"11/7/18","9:52:27"
"11/6/18","7:23:35"
"11/5/18","9:07:24"
"11/4/18","9:32:15"
"11/3/18","10:20:22"
"11/2/18","6:21:30"
"11/1/18","7:14:37"
"10/31/18","4:07:10"
"10/30/18","6:07:39"
"10/29/18","4:55:09"
"10/28/18","4:03:52"
"10/27/18","5:34:11"
"10/26/18","3:59:42"
"10/25/18","6:43:35"
""
"Usage history, November 14, 2018 - October 25, 2018"
"Created by App Usage on Wednesday, November 14, 2018, 8:18 PM"
