"App name","Usage time","Access count"
"Instagram","12:04:30","538"
"Phone","7:59:50","601"
"JioTV","6:48:57","40"
"WhatsApp","5:16:32","588"
"Trebuchet","5:03:09","4425"
"Lite","4:35:11","189"
"YouTube","3:22:44","38"
"Paytm","2:02:20","99"
"Chrome","2:01:56","129"
"Retro Music","1:38:44","113"
"CamScanner","1:20:55","125"
"JioMusic","1:18:39","178"
"Drive","1:02:46","39"
"System UI","0:37:42","1445"
"Camera","0:36:05","44"
"Google Play Store","0:33:43","56"
"Telegram","0:32:23","75"
"Mall","0:27:41","27"
"Gallery","0:23:18","42"
"DAWebmail","0:20:29","118"
"Gmail","0:17:43","37"
"Settings","0:17:32","58"
"Maps","0:17:00","21"
"foodpanda","0:16:01","24"
"redBus","0:15:32","12"
"Opera Mini","0:15:17","3"
"Clock","0:13:50","63"
"Zomato","0:13:05","12"
"Messaging","0:11:35","56"
"Calculator","0:10:58","26"
"Calculator","0:08:47","6"
"Files","0:08:12","23"
"MiXplorer","0:06:59","20"
"Swiggy","0:05:16","4"
"OlaCabs","0:05:11","8"
"PhonePe","0:04:27","4"
"Truecaller","0:04:20","84"
"WPS Office","0:04:13","5"
"Cyberoam iAccess","0:04:08","63"
"2018 Calendar","0:03:05","7"
"AudioFX","0:02:53","7"
"App Usage","0:02:51","7"
"MyJio","0:02:20","3"
"Notes","0:02:17","6"
"Flipkart","0:02:15","3"
"Contacts","0:01:59","14"
"Google","0:01:09","9"
"Phone Services","0:00:51","7"
"Google Play services","0:00:46","8"
"Messages","0:00:28","5"
"Package installer","0:00:08","4"
"Via","0:00:05","2"
"Docs","0:00:04","1"
"Bluetooth","0:00:03","1"
"Recorder","0:00:02","1"
"Wallpapers","0:00:01","1"
"Camera","0:00:01","1"
"Call Management","0:00:01","2"
""
"Date","Usage time"
"11/14/18","2:58:07"
"11/13/18","4:36:29"
"11/12/18","4:59:33"
"11/11/18","2:34:53"
"11/10/18","3:19:07"
"11/9/18","3:12:03"
"11/8/18","3:48:44"
"11/7/18","1:35:34"
"11/6/18","2:51:02"
"11/5/18","2:29:42"
"11/4/18","2:16:41"
"11/3/18","4:54:42"
"11/2/18","5:58:43"
"11/1/18","5:08:22"
"10/31/18","5:02:00"
"10/30/18","6:03:18"
""
"Usage history, November 14, 2018 - October 30, 2018"
"Created by App Usage on Wednesday, November 14, 2018, 5:42 PM"
