"App name","Usage time","Access count"
"Launcher3","21:37:40","1481"
"YouTube","9:07:37","162"
"WhatsApp","4:51:37","182"
"Phone","4:17:45","253"
"Bubble Shooter","2:14:17","50"
"Angry Birds","1:39:18","25"
"Xender","1:26:52","63"
"Fruit Cut 3D","1:13:32","33"
"Chrome","0:50:16","48"
"A+ Gallery","0:47:01","35"
"Clock","0:42:30","10"
"Google","0:31:12","34"
"Media Storage","0:28:56","1"
"System UI","0:27:47","415"
"Contacts","0:26:31","76"
"App Usage","0:24:23","49"
"Camera","0:16:25","23"
"Photos","0:08:39","8"
"Google Play Store","0:05:25","24"
"Drive","0:05:23","1"
"RapidGo","0:04:54","12"
"Google Play Music","0:04:53","15"
"Paytm","0:04:01","5"
"QualityTime","0:03:57","9"
"Messages","0:02:30","37"
"Calculator","0:02:04","2"
"Package installer","0:01:33","12"
"Calendar","0:01:27","1"
"Settings","0:01:26","14"
"Google Play services","0:01:01","2"
"MYBYK","0:00:49","3"
"CaptivePortalLogin","0:00:20","3"
"Documents","0:00:16","2"
"Wallpapers","0:00:14","2"
"Call Management","0:00:04","4"
"Duo","0:00:03","1"
"Keep","0:00:02","1"
"Google Handwriting Input","0:00:02","1"
""
"Date","Usage time"
"13/11/18","1:28:41"
"12/11/18","3:03:09"
"11/11/18","3:38:02"
"10/11/18","2:24:13"
"09/11/18","3:52:26"
"08/11/18","4:21:21"
"07/11/18","4:05:18"
"06/11/18","5:29:30"
"05/11/18","6:56:33"
"04/11/18","4:55:50"
"03/11/18","5:11:46"
"02/11/18","2:05:43"
"01/11/18","1:39:36"
"31/10/18","3:00:33"
""
"Usage history, 13 November 2018 - 31 October 2018"
"Created by App Usage on Tuesday 13 November 2018, 7:30 PM"
