"App name","Usage time","Access count"
"Chrome","5:12:57","171"
"Facebook","2:36:02","90"
"YouTube","2:12:48","52"
"Medium","1:25:40","33"
"Cyberoam iAccess","1:19:43","1"
"Maps","1:13:46","4"
"InCallUI","1:07:31","100"
"WhatsApp","0:59:25","145"
"Voot","0:53:18","10"
"Instagram","0:43:48","12"
"System launcher","0:42:41","438"
"System UI","0:35:12","72"
"Mi Store","0:25:24","17"
"Camera","0:19:28","51"
"Clock","0:19:21","66"
"Settings","0:16:28","48"
"Drive","0:16:19","12"
"Paytm","0:15:50","8"
"Quora","0:14:21","8"
"Contacts and dialer","0:10:37","113"
"Gmail","0:08:59","29"
"Mi Remote","0:07:50","13"
"Gaana","0:07:18","17"
"App Usage","0:06:56","30"
"Gallery","0:06:53","27"
"File Manager","0:06:37","15"
"MyJio","0:05:42","9"
"Google Play Store","0:05:14","9"
"Hotspot Shield","0:04:46","27"
"Show Box","0:04:42","2"
"Notes","0:03:26","12"
"Google","0:02:58","10"
"Messenger Lite","0:02:35","6"
"Phone Services","0:01:27","5"
"Zomato","0:01:20","4"
"Mi Cloud","0:01:04","6"
"Mi Account","0:01:01","3"
"Messaging","0:00:25","5"
"Google Play services","0:00:18","2"
"ReThinkKeyboard","0:00:17","1"
"Package installer","0:00:15","3"
"Xender","0:00:11","3"
"Print Spooler","0:00:10","1"
"Package installer","0:00:07","4"
"inshorts","0:00:07","2"
"Hotstar","0:00:05","2"
"Calendar","0:00:04","2"
"Files","0:00:04","1"
"Call Management","0:00:03","22"
"VpnDialogs","0:00:03","2"
"Downloads","0:00:03","1"
"Weather","0:00:01","1"
"Certificate Installer","0:00:00","2"
""
"Date","Usage time"
"13/11/18","0:00:16"
"11/11/18","0:37:47"
"10/11/18","3:05:05"
"09/11/18","4:39:02"
"08/11/18","3:11:33"
"07/11/18","4:14:59"
"06/11/18","2:28:23"
"05/11/18","2:52:47"
"04/11/18","1:31:50"
""
"Usage history, 13 November 2018 - 4 November 2018"
"Created by App Usage on Tuesday 13 November 2018, 11:18 PM"
