"App name","Usage time","Access count"
"System UI","142:24:30","208"
"Netflix","8:52:54","45"
"YouTube","6:41:36","34"
"Prime Video","3:39:57","43"
"Hotstar","2:54:01","13"
"Saavn","2:24:59","70"
"Chrome","2:04:50","18"
"WhatsApp","1:52:56","135"
"Instagram","1:37:57","53"
"InCallUI","0:50:49","136"
"Drive","0:47:18","17"
"System launcher","0:39:38","477"
"Facebook","0:29:16","9"
"Contacts and dialer","0:23:00","127"
"DAWebmail","0:18:04","9"
"Clock","0:09:37","25"
"Camera","0:05:00","2"
"Google","0:04:53","13"
"Faasos","0:04:10","2"
"Uber Eats","0:03:02","3"
"HTML Viewer","0:03:02","19"
"Amazon Shopping","0:02:50","11"
"File Manager","0:02:49","6"
"hike","0:02:07","6"
"Messaging","0:01:28","9"
"Google Play Store","0:01:22","4"
"App Usage","0:01:10","5"
"Truecaller","0:00:43","36"
"Psiphon Pro","0:00:39","5"
"Settings","0:00:31","9"
"Package installer","0:00:09","1"
"Call Management","0:00:05","46"
"Security","0:00:04","2"
"Yellow pages","0:00:04","3"
"Gallery","0:00:02","2"
"WiFi Web Login","0:00:01","1"
""
"Date","Usage time"
"14/11/2018","2:57:20"
"13/11/2018","6:42:31"
"12/11/2018","5:09:01"
"11/11/2018","0:15:41"
"07/11/2018","3:38:18"
"06/11/2018","8:37:31"
"05/11/2018","3:03:52"
"30/10/2018","146:21:22"
""
"Usage history, 14 November 2018 - 30 October 2018"
"Created by App Usage on Wednesday, 14 November 2018, 5:47 pm"
