"App name","Usage time","Access count"
"Seekers Notes: Hidden Mystery","4:12:37","10"
"Voot","3:25:40","6"
"YouTube","1:00:12","7"
"Snapchat","0:32:01","22"
"Psych!","0:31:44","4"
"Instagram","0:27:52","22"
"Hotstar","0:26:32","4"
"JioTV","0:16:58","10"
"PUBG MOBILE","0:15:10","2"
"Chrome","0:13:30","14"
"Pinterest","0:10:20","3"
"Keep Notes","0:07:58","17"
"Albums","0:07:57","20"
"Photos","0:07:23","2"
"Photo Editor","0:05:41","9"
"Drive","0:05:28","15"
"Google","0:04:38","15"
"Facebook","0:04:04","10"
"Myntra","0:03:58","2"
"Saavn","0:02:20","9"
"Air Hockey Challenge","0:02:19","1"
"Camera","0:02:16","12"
"Hello Cats","0:02:00","1"
"WhatsApp","0:01:51","21"
"DAWebmail","0:01:50","15"
"DailyObjects","0:01:47","1"
"Phone management","0:01:40","18"
"FuntouchOS Launcher","0:01:26","21"
"Google Play Store","0:01:25","9"
"4 Pics 1 Word","0:01:24","3"
"Settings","0:01:21","16"
"Followers - Unfollowers","0:01:21","5"
"Gmail","0:01:12","5"
"File Manager","0:01:11","10"
"Splitwise","0:01:10","6"
"Wi-Fi","0:01:08","8"
"Snake VS Block","0:01:04","1"
"Club Factory","0:01:03","4"
"Flipkart","0:01:02","2"
"Bluetooth settings","0:00:56","2"
"Messages","0:00:56","9"
"Phone","0:00:54","19"
"SHEIN","0:00:52","3"
"App Usage","0:00:51","1"
"Uber","0:00:46","2"
"Amazon Shopping","0:00:44","2"
"Recorder","0:00:41","5"
"Contacts","0:00:40","9"
"Control Center","0:00:40","24"
"Truecaller","0:00:36","15"
"Sheets","0:00:34","1"
"Zomato","0:00:33","1"
"Clock","0:00:33","8"
"TouchPal for vivo","0:00:32","5"
"Bewakoof","0:00:29","1"
"Paytm","0:00:27","6"
"Google Play services","0:00:25","10"
"Domino's","0:00:25","1"
"Messenger Lite","0:00:23","2"
"parshwanath Travels","0:00:22","1"
"Maps","0:00:21","2"
"Package installer","0:00:20","12"
"Notes","0:00:19","16"
"Personal Hotspot","0:00:13","1"
"bigbasket","0:00:11","1"
"Wattpad","0:00:09","1"
"Browser","0:00:08","1"
"WPS Office","0:00:07","1"
"Calculator","0:00:07","1"
"redBus","0:00:07","1"
"Video","0:00:06","2"
"Documents","0:00:05","1"
"Jabong","0:00:03","2"
"Phone service","0:00:03","3"
"TOI","0:00:03","1"
"i Manager","0:00:03","2"
"Shoppers Stop","0:00:02","1"
"i Music","0:00:02","1"
"inshorts","0:00:02","1"
"PitchLab Lite","0:00:02","1"
"Magazine unlock services","0:00:02","2"
"Super power-saving","0:00:02","1"
"Bitmoji","0:00:01","1"
"WSOP","0:00:01","1"
"vivoCloud","0:00:01","1"
"Battery","0:00:01","1"
"Cut It","0:00:01","1"
"Calendar","0:00:01","1"
"Uber Eats","0:00:00","1"
"LogoQuiz","0:00:00","1"
""
"Date","Usage time"
"11/13/18","0:58:49"
"11/12/18","0:43:00"
"11/11/18","1:25:00"
"11/10/18","0:12:29"
"11/9/18","1:14:09"
"11/8/18","1:16:09"
"11/7/18","0:33:07"
"11/6/18","0:44:04"
"11/5/18","2:04:35"
"11/4/18","0:15:22"
"11/3/18","0:29:50"
"11/2/18","0:09:17"
"11/1/18","1:53:01"
"10/31/18","1:07:49"
""
"Usage history, November 13, 2018 - October 31, 2018"
"Created by App Usage on Tuesday, November 13, 2018, 7:37 PM"
