"App name","Usage time","Access count"
"YouTube","12:36:20","120"
"Instagram","3:09:13","62"
"mCent Browser","2:22:44","66"
"Lenovo Launcher","2:22:08","1134"
"World Cricket Championship 2","2:17:07","12"
"BASEBALL 9","2:02:19","46"
"InCallUI","1:26:46","129"
"OneAD","1:21:22","171"
"Chrome","1:05:45","32"
"Twitter","0:49:04","21"
"Lite","0:30:11","17"
"Contact Manager","0:29:46","174"
"Sling Drift","0:22:18","28"
"Settings","0:16:28","15"
"Paytm","0:14:19","18"
"Google Play Store","0:13:37","19"
"Google","0:11:14","21"
"System UI","0:09:48","271"
"App Usage","0:09:38","23"
"Gallery","0:06:13","17"
"Amazon Shopping","0:05:09","1"
"Cricket","0:04:19","3"
"Video","0:03:55","11"
"Google+","0:03:44","1"
"Drive","0:03:22","2"
"Package installer","0:02:58","34"
"Gmail","0:02:52","4"
"Camera","0:02:30","10"
"Google Play services","0:02:25","15"
"Messenger Lite","0:01:33","1"
"Translate","0:01:07","3"
"Hangouts","0:00:30","1"
"Cleartrip","0:00:17","2"
"MX Player","0:00:16","2"
"Call recorder","0:00:09","1"
"Calendar","0:00:09","3"
"CamScanner","0:00:05","2"
"Phone","0:00:04","6"
"Weather & Clock Widget","0:00:04","1"
"SIM management","0:00:03","1"
"Theme Center","0:00:01","1"
""
"Date","Usage time"
"14/11/18","1:13:45"
"13/11/18","2:06:24"
"12/11/18","4:32:13"
"11/11/18","2:04:03"
"10/11/18","2:10:12"
"09/11/18","3:00:46"
"08/11/18","1:47:49"
"07/11/18","2:48:43"
"06/11/18","2:43:55"
"05/11/18","1:48:10"
"04/11/18","1:03:58"
"03/11/18","3:52:13"
"02/11/18","1:25:23"
"01/11/18","2:14:15"
""
"Usage history, 14 November 2018 - 1 November 2018"
"Created by App Usage on Wednesday 14 November 2018, 8:06 PM"
