"App name","Usage time","Access count"
"WhatsApp","38:11:38","1310"
"YouTube","23:46:09","193"
"Hotstar","15:25:43","154"
"Instagram","13:12:41","183"
"Moto App Launcher","11:05:38","3432"
"Phone","9:38:10","262"
"Sudoku","6:27:38","94"
"A+ Gallery","4:08:34","266"
"Google","3:42:01","210"
"StarMaker","3:28:22","70"
"Clean Master","3:15:27","139"
"Chrome","2:52:41","148"
"Settings","2:35:06","75"
"Adobe Acrobat","2:06:11","72"
"Google Play Store","1:25:08","110"
"Flipkart","1:23:48","46"
"Opera Mini","1:20:09","33"
"Dream11","1:07:43","9"
"YouCam Perfect","1:02:37","19"
"Ludo King","1:01:42","7"
"System UI","1:01:03","1809"
"Contacts","1:00:05","191"
"TubeMate","0:53:11","39"
"VideoShow","0:46:21","7"
"Music","0:41:18","73"
"Amazon Shopping","0:39:32","17"
"MX Player","0:37:32","87"
"100 Doors Brain Teasers 1","0:37:00","17"
"MyJio","0:30:41","24"
"Ringtone Setter","0:29:49","14"
"Candy Legend","0:29:49","2"
"Camera","0:29:22","39"
"Club Factory","0:29:19","4"
"Zomato","0:28:03","11"
"Paytm","0:27:44","13"
"Maps","0:20:59","22"
"Clock","0:19:25","50"
"YouCut - Video Editor","0:19:10","11"
"Gmail","0:19:09","21"
"Calculator","0:18:59","13"
"Messages","0:18:38","35"
"WPS Office","0:18:38","26"
"OlaCabs","0:18:30","16"
"Hello English","0:18:27","3"
"Xender","0:18:19","8"
"Step Tracker","0:15:29","25"
"Quiz of Knowledge","0:13:30","2"
"Phone Services","0:11:13","16"
"Efectum","0:10:15","7"
"Motivational Wallpapers","0:08:02","2"
"StickoText","0:07:42","21"
"App Usage","0:07:08","27"
"Package installer","0:06:19","85"
"BRTS Ahmedabad","0:06:04","11"
"Calendar","0:06:00","10"
"SportsGuru","0:05:42","6"
"Followers Assistant","0:05:07","14"
"Swiggy","0:04:19","4"
"Truecaller","0:04:18","46"
"AajTak","0:04:04","3"
"English Gujarati Dictionary","0:03:59","16"
"ColorNote","0:03:04","23"
"Stupidsid Study Resources","0:03:01","4"
"Emergency information","0:02:49","4"
"Word","0:02:48","2"
"NDTV News","0:02:15","2"
"File Manager","0:02:03","10"
"Drive","0:02:02","2"
"Google Play services","0:01:54","19"
"Gboard","0:01:50","10"
"Goodreads","0:01:48","2"
"Files","0:01:46","12"
"Gujarati Calendar","0:01:07","3"
"JioTV","0:01:06","2"
"Personal stickers for WhatsApp","0:00:55","6"
"Slow Motion FX","0:00:46","2"
"Confirmtkt","0:00:44","3"
"Uber Eats","0:00:39","1"
"WhatsApp Sticker","0:00:31","4"
"Diwali Stickers","0:00:31","5"
"Photos","0:00:27","3"
"Translate","0:00:20","2"
"Call Management","0:00:17","17"
"C++ Programming","0:00:13","1"
"MP3 Video Converter","0:00:13","7"
"Google Play Music","0:00:10","1"
"Google Text-to-speech engine","0:00:04","5"
"Media storage","0:00:01","1"
""
"Date","Usage time"
"13/11/18","7:40:26"
"12/11/18","7:06:59"
"11/11/18","7:54:18"
"10/11/18","6:07:35"
"09/11/18","6:51:23"
"08/11/18","5:10:16"
"07/11/18","8:04:36"
"06/11/18","8:31:50"
"05/11/18","6:07:48"
"04/11/18","5:33:45"
"03/11/18","8:01:14"
"02/11/18","7:03:29"
"01/11/18","8:34:57"
"31/10/18","10:35:43"
"30/10/18","7:03:27"
"29/10/18","6:06:52"
"28/10/18","6:45:36"
"27/10/18","5:39:33"
"26/10/18","7:05:39"
"25/10/18","9:16:20"
"24/10/18","7:15:36"
"23/10/18","10:03:27"
""
"Usage history, 13 November 2018 - 23 October 2018"
"Created by App Usage on Tuesday 13 November 2018, 11:12 PM"
