"App name","Usage time","Access count"
"System UI","136:15:11","172"
"Real Cricket™ 18","8:23:20","417"
"Instagram","3:55:32","227"
"Chrome","2:09:38","150"
"System launcher","1:52:53","1183"
"WhatsApp","1:46:50","242"
"Score! Hero","1:22:30","40"
"InCallUI","1:09:48","160"
"YouTube","0:54:58","20"
"CamScanner","0:16:08","8"
"Drive","0:16:08","16"
"Paytm","0:12:49","27"
"Contacts and dialer","0:09:56","156"
"Gallery","0:08:26","41"
"Camera","0:08:01","54"
"Zomato","0:07:44","9"
"CricHeroes","0:05:49","2"
"Excel","0:05:34","1"
"App Usage","0:04:07","9"
"Google Play services","0:03:46","134"
"Saavn","0:03:21","9"
"Calculator","0:03:05","4"
"Uber Eats","0:02:55","2"
"Google Play Store","0:02:53","6"
"Facebook","0:02:18","4"
"Flipkart","0:02:16","3"
"Mall","0:02:16","2"
"Swiggy","0:02:15","2"
"Calendar","0:02:08","5"
"Faasos","0:02:07","1"
"Cyberoam iAccess","0:02:05","27"
"Settings","0:02:01","19"
"Amazon Shopping","0:01:58","2"
"Google Pay","0:01:53","6"
"Browser","0:01:30","17"
"Word","0:01:29","4"
"Updater","0:01:27","3"
"IRCTC Rail Connect","0:01:15","4"
"Truecaller","0:00:48","37"
"Gmail","0:00:43","12"
"Downloads","0:00:42","4"
"Messaging","0:00:32","7"
"Speedify","0:00:32","7"
"Files","0:00:27","13"
"Google","0:00:15","10"
"WeChat","0:00:11","2"
"Badoo","0:00:09","2"
"SBI Anywhere Personal","0:00:07","2"
"Dream League","0:00:07","2"
"inshorts","0:00:06","2"
"Apps","0:00:06","2"
"HTML Viewer","0:00:06","4"
"Messenger","0:00:05","2"
"Yellow pages","0:00:05","3"
"Call Management","0:00:04","64"
"Mi Video","0:00:04","1"
"Security","0:00:03","4"
"System app updater","0:00:03","1"
"Weather","0:00:03","2"
"Music","0:00:03","1"
"Notes","0:00:03","1"
"Package installer","0:00:02","3"
""
"Date","Usage time"
"09/11/2018","0:02:26"
"08/11/2018","3:01:58"
"02/11/2018","137:53:15"
"01/11/2018","6:40:01"
"31/10/2018","4:53:12"
"30/10/2018","7:42:59"
""
"Usage history, 14 November 2018 - 30 October 2018"
"Created by App Usage on Wednesday, 14 November 2018, 18:54"
