"App name","Usage time","Access count"
"System UI","35:49:01","479"
"Instagram","5:09:56","342"
"WhatsApp","3:50:51","492"
"Snapchat","3:29:54","238"
"System launcher","2:34:53","1855"
"Clash Royale","2:12:30","43"
"InCallUI","1:06:28","153"
"Truecaller","1:01:26","32"
"Chrome","0:25:57","43"
"Maps","0:20:53","7"
"DAWebmail","0:20:30","39"
"Snapdeal","0:18:05","15"
"Photos","0:16:37","14"
"Drive","0:14:01","23"
"Contacts and dialer","0:13:24","168"
"Security","0:11:14","656"
"Uber","0:09:47","11"
"Snake VS Block","0:09:41","5"
"Clash of Clans","0:09:24","4"
"Hotstar","0:06:59","5"
"Google","0:05:32","31"
"HTML Viewer","0:05:10","18"
"YouTube","0:04:42","1"
"Facebook","0:04:39","6"
"Zomato","0:04:35","6"
"Helix Jump","0:04:28","3"
"Gallery","0:04:26","9"
"Settings","0:04:20","42"
"Hotspot Shield","0:04:00","3"
"BookMyShow","0:03:55","7"
"Google Play Store","0:03:51","11"
"Themes","0:03:01","2"
"Cricbuzz","0:02:29","1"
"Scale","0:02:24","1"
"Clock","0:02:18","15"
"App Usage","0:02:04","9"
"Uber Eats","0:01:22","1"
"Prime Video","0:01:17","5"
"Splitwise","0:01:11","6"
"Notes","0:01:07","3"
"Gmail","0:01:00","2"
"Psych!","0:00:56","3"
"Yoga VPN","0:00:54","6"
"Messaging","0:00:53","4"
"Speedtest","0:00:52","4"
"Followers - Unfollowers","0:00:46","3"
"Google Play services","0:00:43","11"
"Meme Stickers","0:00:36","46"
"Wallpaper Carousel","0:00:33","4"
"Phone Services","0:00:31","7"
"Package installer","0:00:24","5"
"PUBG MOBILE","0:00:20","2"
"Cyberoam iAccess","0:00:20","1"
"Docs","0:00:16","2"
"Amazon Shopping","0:00:13","2"
"Camera","0:00:12","1"
"App vault","0:00:11","2"
"Package installer","0:00:09","5"
"Call Management","0:00:08","82"
"Tinder","0:00:06","1"
"Calculator","0:00:06","1"
"ES File Explorer","0:00:05","5"
"Jabong","0:00:05","1"
"Discord","0:00:04","2"
"OlaCabs","0:00:04","2"
"redBus","0:00:04","1"
"Documents","0:00:02","1"
"Weather","0:00:02","1"
"VpnDialogs","0:00:01","1"
"Browser","0:00:01","1"
"hike","0:00:01","2"
"Mi Community","0:00:01","1"
"µTorrent","0:00:01","1"
"Mi Video","0:00:01","1"
""
"Date","Usage time"
"13/11/2018","1:31:14"
"07/11/2018","4:48:20"
"05/11/2018","35:07:23"
"03/11/2018","0:33:27"
"02/11/2018","5:49:25"
"01/11/2018","0:25:43"
"31/10/2018","4:29:23"
"30/10/2018","6:44:10"
""
"Usage history, 14 November 2018 - 30 October 2018"
"Created by App Usage on Wednesday, 14 November 2018, 3:11 pm"
