"App name","Usage time","Access count"
"App Usage","0:03:14","12"
"WhatsApp","0:02:00","6"
"Google Play Store","0:00:44","4"
"Instagram","0:00:32","3"
"System launcher","0:00:28","13"
"Helo","0:00:15","7"
"Android System","0:00:13","8"
"Settings","0:00:11","7"
"Package installer","0:00:04","1"
"Gallery","0:00:02","2"
"System UI","0:00:02","1"
""
"Date","Usage time"
"14/11/18","0:07:45"
""
"Usage history, 14 November 2018 - 31 October 2018"
"Created by App Usage on Wednesday 14 November 2018, 11:22 PM"
