"App name","Usage time","Access count"
"Instagram","9:39:30","445"
"Chrome","4:45:45","228"
"WhatsApp","3:51:38","457"
"System launcher","3:32:18","3239"
"InCallUI","2:41:00","150"
"YouTube","2:05:02","67"
"MX Player","1:51:13","6"
"Facebook","1:25:42","65"
"File Manager","1:03:08","149"
"KineMaster","0:51:21","20"
"Adobe Acrobat","0:47:37","24"
"UC Browser","0:47:14","29"
"Cricbuzz","0:43:41","124"
"Paytm","0:39:43","51"
"Google Play Store","0:38:39","70"
"PUBG MOBILE","0:38:11","5"
"Browser","0:35:00","34"
"Translate","0:30:32","45"
"Settings","0:28:52","129"
"App Usage","0:23:01","70"
"Security","0:21:33","758"
"Clock","0:20:09","86"
"Drive","0:19:03","18"
"System UI","0:18:58","558"
"Gmail","0:16:35","27"
"Contacts and dialer","0:13:58","175"
"DAWebmail","0:12:56","16"
"Mail","0:12:25","47"
"Messaging","0:11:15","25"
"Maps","0:09:13","15"
"Videoder Video Downloader","0:06:53","12"
"Google Play services","0:06:05","12"
"Package installer","0:05:59","50"
"Gallery","0:04:21","46"
"Camera","0:03:46","33"
"Truecaller","0:03:39","69"
"Coding Schedule","0:03:34","3"
"Notes","0:02:54","12"
"Package installer","0:02:53","27"
"Apps","0:02:28","11"
"My Application","0:02:10","4"
"Mi Remote","0:01:51","2"
"Calculator","0:01:20","4"
"Themes","0:01:18","2"
"Downloads","0:01:04","11"
"flappy bi rd","0:00:47","2"
"Keepsafe","0:00:46","2"
"Mi Video","0:00:45","8"
"Cleaner","0:00:40","4"
"HTML Viewer","0:00:40","10"
"Phone Services","0:00:33","3"
"Calendar","0:00:28","2"
"Security Core Component","0:00:27","3"
"QuizUp","0:00:24","2"
"Screen Recorder","0:00:24","43"
"Cyberoam iAccess","0:00:23","10"
"Google","0:00:22","14"
"Scanner","0:00:21","2"
"WPS Office","0:00:20","5"
"Connect 3","0:00:14","1"
"Music","0:00:07","3"
"Mi Account","0:00:06","2"
"SIM Tool Kit","0:00:05","2"
"Call Management","0:00:05","64"
"My Application","0:00:03","1"
"My Application","0:00:02","1"
"Mi Cloud","0:00:00","2"
""
"Date","Usage time"
"13/11/18","1:27:46"
"12/11/18","2:16:07"
"11/11/18","4:23:52"
"10/11/18","1:29:00"
"09/11/18","1:17:22"
"08/11/18","2:43:22"
"07/11/18","2:41:42"
"06/11/18","3:09:12"
"05/11/18","1:01:33"
"04/11/18","1:04:12"
"03/11/18","0:58:23"
"02/11/18","4:33:23"
"01/11/18","1:43:14"
"31/10/18","2:48:13"
"30/10/18","1:10:17"
"29/10/18","2:03:57"
"28/10/18","0:38:14"
"27/10/18","1:14:22"
"26/10/18","1:14:53"
"25/10/18","1:54:28"
"24/10/18","0:44:26"
"23/10/18","0:55:31"
""
"Usage history, 13 November 2018 - 23 October 2018"
"Created by App Usage on Tuesday 13 November 2018, 11:23 PM"
