"App name","Usage time","Access count"
"Instagram","53:06:43","861"
"WhatsApp","15:30:03","1006"
"Lenovo Launcher","14:12:21","2847"
"InCallUI","5:42:34","207"
"Chrome","4:00:02","113"
"YouTube","3:17:20","23"
"Gaana","2:08:13","20"
"Firefox","2:05:59","164"
"Drive","1:39:23","55"
"Google Play Music","1:23:07","16"
"Facebook","1:18:33","32"
"Gallery","1:14:30","52"
"YourQuote","1:12:38","25"
"System UI","1:10:26","1547"
"hike","1:04:44","62"
"Clock","0:55:19","91"
"Contact Manager","0:50:52","195"
"WPS Office","0:41:18","58"
"Apps lock","0:40:41","876"
"CamScanner","0:39:53","46"
"Camera","0:32:18","51"
"Settings","0:30:43","63"
"Gmail","0:28:44","40"
"TTT","0:26:51","10"
"Quora","0:23:36","7"
"Zomato","0:22:18","12"
"Paytm","0:21:38","8"
"Maps","0:15:52","15"
"Messaging","0:14:55","29"
"Gallery Lock","0:12:46","31"
"MX Player","0:12:07","12"
"Amazon Shopping","0:10:42","14"
"Google Play Store","0:09:46","16"
"Recorder","0:09:37","15"
"Xender","0:08:41","9"
"File Manager","0:08:11","19"
"Calculator","0:07:12","14"
"App Usage","0:05:11","55"
"Goibibo","0:05:04","4"
"Flipkart","0:04:31","4"
"Gboard","0:04:09","8"
"Calendar","0:03:43","7"
"Messenger","0:03:29","5"
"Hotspot Shield Free","0:03:16","25"
"Telegram","0:02:34","3"
"Google","0:02:20","15"
"Google Pay","0:02:02","4"
"IMG2PDF","0:01:50","8"
"HashTags","0:01:39","4"
"Google Play services","0:01:33","10"
"Dolby Atmos","0:01:23","3"
"Space Clean","0:01:21","2"
"Call settings","0:01:19","1"
"Package installer","0:01:08","21"
"Media Storage","0:01:08","2"
"UC Mini","0:01:02","3"
"Evernote","0:00:57","4"
"Pratilipi","0:00:44","3"
"Color Profiles","0:00:44","2"
"SIM management","0:00:43","1"
"MediaSaver","0:00:43","2"
"Lenovo Weather","0:00:41","2"
"Documents","0:00:30","2"
"Phone Services","0:00:18","4"
"EyeProtector","0:00:07","2"
"Call Management","0:00:06","10"
"JioTV","0:00:05","1"
"McAfee Security","0:00:05","2"
"External Display Controller","0:00:03","1"
""
"Date","Usage time"
"11/13/18","4:41:52"
"11/12/18","4:41:27"
"11/11/18","5:13:29"
"11/10/18","6:42:44"
"11/9/18","8:50:15"
"11/8/18","7:10:54"
"11/7/18","5:47:08"
"11/6/18","5:28:21"
"11/5/18","5:01:52"
"11/4/18","7:47:59"
"11/3/18","6:31:14"
"11/2/18","6:02:54"
"11/1/18","4:40:49"
"10/31/18","6:39:32"
"10/30/18","5:42:56"
"10/29/18","2:42:21"
"10/28/18","4:04:50"
"10/27/18","4:22:05"
"10/26/18","3:19:21"
"10/25/18","3:33:03"
"10/24/18","5:03:42"
"10/23/18","4:36:19"
""
"Usage history, November 13, 2018 - October 23, 2018"
"Created by App Usage on Tuesday, November 13, 2018, 11:09 PM"
