"App name","Usage time","Access count"
"Instagram","9:50:47","272"
"WhatsApp","9:29:03","474"
"Hotstar","6:22:54","36"
"World Cricket Championship 2","6:19:19","50"
"Chrome","5:40:06","150"
"Samsung Experience Home","4:46:53","2942"
"Cricbuzz","4:33:46","161"
"Subway Surf","3:15:30","41"
"Phone","2:20:04","120"
"Paytm","2:17:35","72"
"inshorts","2:12:29","61"
"YouTube","1:48:36","33"
"Facebook","1:10:45","42"
"Sandesh ePaper","1:05:09","17"
"Email","1:00:01","100"
"System UI","0:55:36","2533"
"My Files","0:53:23","147"
"Photos","0:48:56","49"
"Contacts","0:47:20","238"
"MX Player","0:45:51","57"
"Samsung Themes","0:40:46","34"
"Settings","0:36:14","156"
"WPS Office","0:32:57","50"
"Cyberoam iAccess","0:28:14","475"
"Drive","0:26:06","29"
"Gallery","0:25:48","82"
"Gmail","0:25:18","21"
"Google Play Store","0:22:04","102"
"App Lock","0:21:09","813"
"Clock","0:15:16","59"
"NTES","0:15:09","16"
"Phone","0:14:41","32"
"World Cricket Championship Lt","0:14:32","10"
"Messenger","0:12:35","11"
"Samsung Notes","0:11:00","27"
"Xender","0:10:59","17"
"App Usage","0:10:51","18"
"Videoder Video Downloader","0:10:19","25"
"Telegram","0:08:57","8"
"Mi Drop","0:08:48","6"
"Messages","0:08:24","22"
"English Gujarati Dictionary","0:08:11","40"
"Samsung Internet","0:08:06","1"
"Amazon Shopping","0:07:36","3"
"Maps","0:06:49","5"
"Camera","0:05:37","15"
"Samsung Members","0:05:33","4"
"Galaxy Apps","0:05:11","13"
"Samsung Cloud","0:04:26","5"
"Samsung Keyboard","0:04:11","6"
"Sensor_Data","0:04:05","67"
"Package installer","0:03:45","83"
"Device maintenance","0:03:40","5"
"CamScanner","0:03:23","3"
"SBI Anywhere Personal","0:03:13","2"
"Udemy","0:02:51","4"
"Calculator","0:02:24","7"
"VPN Express","0:02:18","18"
"Files","0:02:07","9"
"Google Play services","0:02:03","14"
"Google","0:02:02","6"
"Samsung Pay mini","0:01:51","9"
"Software update","0:01:51","7"
"Calendar","0:01:13","4"
"Samsung Experience Service","0:01:00","9"
"Radio","0:00:42","2"
"Wallpapers","0:00:39","6"
"Translate","0:00:37","1"
"Finder","0:00:12","5"
"Samsung text-to-speech engine","0:00:08","9"
"CaptivePortalLogin","0:00:08","4"
"Bluetooth","0:00:06","1"
"Wi-Fi Direct","0:00:04","1"
"Video Player","0:00:02","1"
"VpnDialogs","0:00:02","1"
"Phone","0:00:02","1"
"Hindu Calendar","0:00:01","1"
""
"Date","Usage time"
"13/11/2018","4:49:36"
"12/11/2018","3:46:43"
"11/11/2018","5:52:52"
"10/11/2018","3:46:45"
"09/11/2018","2:35:56"
"08/11/2018","2:36:50"
"07/11/2018","2:27:47"
"06/11/2018","1:16:40"
"05/11/2018","1:50:08"
"04/11/2018","2:11:59"
"03/11/2018","1:11:35"
"01/11/2018","5:30:46"
"31/10/2018","4:13:34"
"30/10/2018","4:54:32"
"29/10/2018","3:58:36"
"28/10/2018","3:39:58"
"27/10/2018","3:36:46"
"26/10/2018","4:44:49"
"25/10/2018","3:03:42"
"24/10/2018","6:27:51"
"23/10/2018","2:02:54"
""
"Usage history, 13 November 2018 - 23 October 2018"
"Created by App Usage on Tuesday, 13 November 2018, 11:46 pm"
